Reason_DeASSO_DeAUTH,Definition_DeASSO_DeAUTH
0,Reserved.
1,Unspecified reason.
2,Previous authentication no longer valid.
3,Deauthenticated because sending station (STA) is leaving or has left Independent Basic Service Set (IBSS) or ESS.
4,Disassociated due to inactivity.
5,Disassociated because WAP device is unable to handle all currently associated STAs.
6,Class 2 frame received from nonauthenticated STA.
7,Class 3 frame received from nonassociated STA.
8,Disassociated because sending STA is leaving or has left Basic Service Set (BSS).
9,STA requesting (re)association is not authenticated with responding STA.
10,Disassociated because the information in the Power Capability element is unacceptable.
11,Disassociated because the information in the Supported Channels element is unacceptable.
12,Disassociated due to BSS Transition Management.
13,Invalid element- that is an element defined in this standard for which the content does not meet the specifications in Clause 8.
14,Message integrity code (MIC) failure.
15,4-Way Handshake timeout.
16,Group Key Handshake timeout.
17,Element in 4-Way Handshake different from (Re)Association Request/ Probe Response/Beacon frame.
18,Invalid group cipher.
19,Invalid pairwise cipher.
20,Invalid AKMP.
21,Unsupported RSNE version.
22,Invalid RSNE capabilities.
23,IEEE 802.1X authentication failed.
24,Cipher suite rejected because of the security policy.
32,Disassociated for unspecified- QoSrelated reason 
33,Disassociated because QoS AP lacks sufficient bandwidth for this QoS STA
34,Disassociated because excessive number of frames need to be acknowledged- but are not acknowledged due to AP transmissions and/or poor channel conditions
35,Disassociated because STA is transmitting outside the limits of its TXOPs.
38,Requested from peer STA as the STA received frames using the mechanism for which a setup is required.
39,Requested from peer STA due to timeout
45,Peer STA does not support the requested cipher suite
99,“No Reason Code” / Unknown State
108,108
