status,description,type
*100*,Continue,Informational 1XX
*101*,Switching Protocols,Informational 1XX
*200*,OK,Successful 2XX
*201*,Created,Successful 2XX
*202*,Accepted,Successful 2XX
*203*,Non-Authoritative Information,Successful 2XX
*204*,No Content,Successful 2XX
*205*,Reset Content,Successful 2XX
*206*,Partial Content,Successful 2XX
*300*,Multiple Choices,Redirection 3XX
*301*,Moved Permanently,Redirection 3XX
*302*,Found,Redirection 3XX
*303*,See Other,Redirection 3XX
*304*,Not Modified,Redirection 3XX
*305*,Use Proxy,Redirection 3XX
*307*,Temporary Redirect,Redirection 3XX
*400*,Bad Request,Client Error 4XX
*401*,Unauthorized,Client Error 4XX
*402*,Payment Required,Client Error 4XX
*403*,Forbidden,Client Error 4XX
*404*,Not Found,Client Error 4XX
*405*,Method Not Allowed,Client Error 4XX
*406*,Not Acceptable,Client Error 4XX
*407*,Proxy Authentication Required,Client Error 4XX
*408*,Request Timeout,Client Error 4XX
*409*,Conflict,Client Error 4XX
*410*,Gone,Client Error 4XX
*411*,Length Required,Client Error 4XX
*412*,Precondition Failed,Client Error 4XX
*413*,Request Entity Too Large,Client Error 4XX
*414*,Request-URI Too Long,Client Error 4XX
*415*,Unsupported Media Type,Client Error 4XX
*416*,Requested Range Not Satisfiable,Client Error 4XX
*417*,Expectation Failed,Client Error 4XX
*500*,Internal Server Error,Server Error 5XX
*501*,Not Implemented,Server Error 5XX
*502*,Bad Gateway,Server Error 5XX
*503*,Service Unavailable,Server Error 5XX
*504*,Gateway Timeout,Server Error 5XX
*505*,HTTP Version Not Supported,Server Error 5XX
