displayName,description,suggestedAction,documentationLink,provider,category,service,level,mitre_tactic,mitre_technique,mitre_id,mitre_link
A CloudTrail log has been deleted or disabled (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  AWS CloudTrail logs AWS API calls used within an AWS account, including calls made from the AWS Management Console, SDKs, command line tools, and other AWS services.  When a CloudTrail trail is deleted or disabled without your knowledge, that may be evidence of malicious activity.
",Verify that disabled CloudTrail is desired and which credential was used to make the configuration change.,https://kb.securestate.vmware.com/aws-guardduty-cloud-trail-logging-disabled.html,aws,Stealth,iam,Low,Not Available,Not Available,Not Available,Not Available
A Key Vault secret has no scheduled expiration,"Azure Key Vault secrets allow for storage of sensitive information like passwords and database connection strings.  By default, secrets do not expire, but you can set an expiration.  CIS 8.2 recommends that you set expirations for all secrets.  Expiring secrets will ensure that they cannot be used beyond their intended lifetime and will help to ensure that you rotate the passwords, connection strings, or other data contained in secrets.  Secrets do not expire by default; you must set an expiration date.
","You should schedule expiration dates for all Key Vault secrets to help ensure that passwords, connection strings, and other secret data is rotated periodically.",https://kb.securestate.vmware.com/azure-key-vault-expiry-date-set-for-all-secrets.html,azure,Security,Microsoft.KeyVault,Medium,Not Available,Not Available,Not Available,Not Available
A password policy is not configured,"Amazon recommends that you set a password policy for your AWS account that enforces password expiration, length, complexity, and other parameters.
",You should create and use a password policy to ensure that passwords are more difficult to compromise.,https://kb.securestate.vmware.com/iam-missing-password-policy.html,aws,Access,iam,High,Not Available,Not Available,Not Available,Not Available
A port range is defined in a security group,"AWS security groups act as firewalls, controlling both inbound and outbound traffic.  Although it is possible to configure security group rules that use a port range, the best practice is to specify individual ports.  By specifying a port range, you may inadvertently allow access to ports that are not used by your application.

This rule will alert on all security group rules that use a port range.  A port range is not necessarily a problem and there may be situations where it makes sense to use one, such as when an application uses a large number of contiguous ports.
","You should create security group rules for specific ports, rather than for ranges of ports.",https://kb.securestate.vmware.com/ec2-ports-range.html,aws,Security,ec2,Low,Not Available,Not Available,Not Available,Not Available
A principal has attempted to assign a highly permissive policy to themselves. This behavior is associated with a privilege escalation attack (GuardDuty),"This finding informs you that a specific principal in your AWS environment is exhibiting behavior that can be indicative of a privilege escalation attack. This finding is triggered when a user or role attempts to assign a highly permissive policy to themselves. If the user or role in question is not meant to have administrative privileges, either the user's credentials may be compromised or the role's permissions may not be configured properly. In an effort to maximize their ability to access your account, even after they have been discovered, attackers can use stolen credentials or a misconfigured role to escalate their privileges and then create new users, add access policies to existing users, create access keys, etc.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-privilege-escalation-iamuser-administrative-permissions.html,aws,PrivilegeEscalation,iam,Low,Persistence,Account Manipulation,T1098,https://attack.mitre.org/techniques/T1098/
A Redshift cluster is accessible from the Internet,"You can configure an Amazon Redshift cluster to be publicly accessible from the Internet or they can be deployed within VPCs and accessed according to security group and routing policies.  We recommend that you configure Redshift clusters so that they are not publicly accessible.
",You should deploy Redshift within a VPC and restrict access from the Internet.,https://kb.securestate.vmware.com/redshift-publicly-accessible.html,aws,Security,redshift,High,Collection,Data from Cloud Storage Object,T1530,https://attack.mitre.org/techniques/T1530/
A security group allows unrestricted protocol access,"AWS security groups act as firewalls, controlling both inbound and outbound traffic.  Other than when troubleshooting or testing, you should not configure a security group to allow any protocol.  Attackers can use protocols like ICMP and UDP to gain information about your network and virtual machines.
",You should configure security groups to allow only those protocols that you require.,https://kb.securestate.vmware.com/ec2-all-ports-all-protocols.html,aws,Security,ec2,Low,Initial Access,Exploit Public-Facing Application,T1190,https://attack.mitre.org/techniques/T1190/
A security group is configured to allow unrestricted access,"AWS security groups act as firewalls, controlling both inbound and outbound traffic.  If you configure a rule that uses a source address of 0.0.0.0/0 or ::/0, you are allowing connections from any combination of address and port.  Although you might need to occasionally remove all restrictions for testing or troubleshooting, it is never safe in a production environment.  The best practice is to restrict access to the minimum number of IP addresses and ports that are required for your application.
",You should restrict security groups to the minimum number of IP addresses and ports that you require.,https://kb.securestate.vmware.com/ec2-unrestricted-traffic.html,aws,Security,ec2,Low,Initial Access,Exploit Public-Facing Application,T1190,https://attack.mitre.org/techniques/T1190/
A security group's FTP control port (21) is accessible through any source address,"Because FTP is a plain text protocol, the FTP ports are attractive targets for attackers.  At minimum, you should configure the security group to restrict access to the FTP control port, TCP port 21.  We recommend that you disable access to FTP and use a more secure file transfer service.
",You should restrict access to the FTP control port.,https://kb.securestate.vmware.com/ec2-TCP-21.html,aws,Security,ec2,Low,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A security group's FTP data port (20) is accessible through any source address,"Because FTP is a plain text protocol, the FTP ports are attractive targets for attackers.  At minimum, you should configure the security group to restrict access to the FTP data port, TCP port 20.  We recommend that you disable access to FTP and use a more secure file transfer service.
",You should restrict access to the FTP data port.,https://kb.securestate.vmware.com/ec2-TCP-20.html,aws,Security,ec2,Low,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A security group's MongoDB server port (27017) is accessible through any source address,"Because it is commonly used for database access, the default MongoDB listener port is an attractive target for attackers.  We recommend that you restrict access to the MongoDB port (TCP 27017) with a security group.
",You should restrict access to the MongoDB server port.,https://kb.securestate.vmware.com/ec2-TCP-27017-0.0.0.0-0.html,aws,Security,ec2,Low,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A security group's MySQL Server port (3306) is accessible through any source address,"Because it is commonly used for database access, the default MySQL Server listener port is an attractive target for attackers.  We recommend that you restrict access to the MySQL port (TCP 3306) with a security group.
",You should restrict access to the MySQL server port.,https://kb.securestate.vmware.com/ec2-TCP-3306-0.0.0.0-0.html,aws,Security,ec2,Low,Initial Access,Exploit Public-Facing Application,T1190,https://attack.mitre.org/techniques/T1190/
A security group's Oracle SQL port (1521) is accessible through any source address,"Because it is commonly used for database access, the default Oracle SQL Listener port is an attractive target for attackers.  We recommend that you restrict access to the Oracle SQL port (TCP 1521) with a security group.
",You should restrict access to the Oracle SQL port.,https://kb.securestate.vmware.com/ec2-TCP-1521-0.0.0.0-0.html,aws,Security,ec2,Low,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A security group's PostgreSQL Server port (5432) is accessible through any source address,"Because it is commonly used for database access, the default PostgreSQL Server listener port is an attractive target for attackers.  We recommend that you restrict access to the PostgreSQL port (TCP 5432) with a security group.
",You should restrict access to the PostgreSQL server port.,https://kb.securestate.vmware.com/ec2-TCP-5432-0.0.0.0-0.html,aws,Security,ec2,Low,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A security group's Redshift port (5439) is accessible through any source address,"Because it is well known port, the default Redshift port is an attractive target for attackers.  We recommend that you restrict access to the Redshift port (TCP 5439) with a security group.
",You should restrict access to the Redshift port.,https://kb.securestate.vmware.com/ec2-TCP-5439-0.0.0.0-0.html,aws,Security,ec2,Low,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A security group's Remote Desktop port (3389) is accessible through any source address,"Because it is commonly used for administrative access, the Remote Desktop Protocol is an attractive target for attackers.  CIS 4.2 recommends that you restrict access to the RDP port (TCP 3389) with a security group.
",You should restrict access to the Remote Desktop port.,https://kb.securestate.vmware.com/ec2-TCP-3389-0.0.0.0-0.html,aws,Security,ec2,Medium,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
