NUMBER,call,Station Name,,Latitude,Longitude,Elevation_Meter
10010,ENJA,JAN MAYEN(NOR-NAVY),NO,70.933333,-8.666667,9
10014,ENSO,STORD/SOERSTOKKEN,NO,59.8,5.35,49
10015,ENBL,FORDE/BRINGELAND,NO,61.45,5.866667,150
10017,ENFR,FRIGG,NO,59.933333,2,
10030,,HORNSUND RIVER,NO,77,15.5,12
10040,ENAS,NY-ALESUND II,NO,78.916667,11.933333,8
10080,ENSB,SVALBARD/LONGYEAR,NO,78.25,15.466667,29
10100,ENAN,ANDOYA/ANDENES(AFB),NO,69.3,16.15,14
10150,,HEKKINGEN (LGT-H),NO,69.6,17.833333,14
10160,,SENJA/GRASMYRSKOGEN,NO,69.283333,17.766667,50
10230,ENDU,BARDUFOSS (CIV/MIL),NO,69.05,18.55,79
10250,ENTC,TROMSO/LANGNES,NO,69.683333,18.916667,10
10280,ENBJ,BJORNOYA ISLAND,NO,74.516667,19.016667,14
10320,,OVERBYGD,NO,69.016667,19.283333,78
10330,,TORSVAG (LGT-H),NO,70.25,19.5,24
10340,,FUGLOYKALVEN (LH),NO,70.316667,20.15,37
10350,,KVESMENES-RYENG,NO,69.25,19.983333,37
10410,,NORDREISA,NO,69.75,21.033333,4
10430,,LOPPA,NO,70.333333,21.466667,11
10435,ENHK,HASVIK,NO,70.483333,22.15,10
10450,,NORDSTRAUM I KVAENA,NO,69.833333,21.883333,6
10460,ENSR,SORKJOSEN,NO,69.783333,20.966667,6
10470,ENKA,KAUTOKEINO II,NO,69.016667,23.066667,330
10490,ENAT,ALTA AIRPORT,NO,69.983333,23.366667,3
10510,,SOLOVOMI,NO,69.583333,23.533333,374
10520,ENHF,HAMMERFEST,NO,70.666667,23.666667,81
10550,,FRUHOLMEN (LGT-H),NO,71.1,24,14
10570,,CUOVDATMAKKI,NO,69.366667,24.433333,286
10590,ENNA,BANAK/LAKSELV (AFB),NO,70.066667,24.983333,8
10620,ENHO,HOPEN ISLAND,NO,76.5,25.066667,10
10650,,KARASJOK,NO,69.466667,25.5,133
10660,,HELNES (LGT-H),NO,71.066667,26.233333,33
10680,ENHV,HONNINGSVAG/VALAN,NO,71.016667,25.983333,14
10740,ENMH,MEHAMN,NO,71.033333,27.833333,13
10750,,RUSTEFJELBMA,NO,70.4,28.2,11
10780,,SLETNES (LGT-H),NO,71.083333,28.233333,10
10830,ENBV,BERLEVAG,NO,70.866667,29.033333,13
10840,,PASVIK,NO,69.166667,29.25,54
10880,ENVD,VADSO,NO,70.066667,29.85,39
10885,ENBS,BATSFJORD,NO,70.633333,29.733333,10
10890,ENKR,KIRKENES (CIV/MIL),NO,69.733333,29.9,91
10920,,MAKKAUR (LGT-H),NO,70.7,30.083333,9
10970,ENSS,SVARTNES,NO,70.35,31.05,12
10980,,VARDO,NO,70.366667,31.1,15
11020,,SKLINNA (LGT-H),NO,65.2,11,16
11030,,LEKA ISLAND,NO,65.1,11.7,47
11060,,ROST II ISLAND,NO,67.5,12.083333,11
