SI_SIGID,agileSI-Profile_Parameter_Violation,LowValue,HighValue,Value1,Value2,agileSI-Profile_Parameter_Violations_Policy,agileSI-SAP_Application_Area
abap/ext_debugging_possible,true_value,,,2,,Value equals 2,ABAP
auth/object_disabling_active,true_value,,,N,,Value equals N,Authentication
auth/rfc_authority_check,true_value,,,1,,Value equals 1,Authentication
auth/tcodes_not_checked,true,,,,,Any Value,Authentication
gw/accept_remote_trace_level,true_value,,,0,,Value equals 0,Gateway
gw/acl_mode,true_value,,,1,,Value equals 1,Gateway
gw/monitor,true_value,,,1,,Value equals 1,Gateway
gw/reg_no_conn_info,true_value,,,60,,Value equals 60,Gateway
gw/sim_mode,true_value,,,0,,Value equals 0,Gateway
icm/accept_remote_trace_level,true_value,,,0,,Value equals 0,ICM/ICF
is/HTTP/show_detailed_errors,true_value,,,FALSE,,Value equals FALSE,ICM/ICF
is/HTTP/show_server_header,true_value,,,FALSE,,Value equals FALSE,ICM/ICF
login/accept_sso2_ticket,true_value,,,1,,Value equals 1,Logon
login/create_sso2_ticket,true_value,,,2,,Value equals 2,Logon
login/disable_multi_gui_login,true_value,,,1,,Value equals 1,Logon
login/failed_user_auto_unlock,true_value,,,0,,Value equals 0,Logon
login/fails_to_session_end,true_range,0,2,,,Range of values (0 - 2),Logon
login/fails_to_user_lock,true_range,0,4,,,Range of values (0 - 4),Logon
login/min_password_digits,true_range_min,4,,,,Value greater than 4,Logon
login/min_password_letters,true_range_min,4,,,,Value greater than 4,Logon
login/min_password_lng,true_range_min,6,,,,Value greater than 6,Logon
login/min_password_lowercase,true_range_min,4,,,,Value greater than 4,Logon
login/min_password_specials,true_range_min,1,,,,Value greater than 1,Logon
login/min_password_uppercase,true_range_min,4,,,,Value greater than 4,Logon
login/no_automatic_user_sapstar,true_value,,,1,,Value equals 1,Logon
login/password_change_waittime,true_range_min,2,,,,Value greater than 2,Logon
login/password_charset,true_range_min,2,,,,Value greater than 2,Logon
login/password_compliance_to_current_policy,true_value,,,1,,Value equals 1,Logon
login/password_downwards_compatibility,true_value,,,0,,Value equals 0,Logon
login/password_expiration_time,true_range,60,90,,,Range of values (60 - 90),Logon
login/password_history_size,true_range_min,10,,,,Value greater than 10,Logon
login/password_max_idle_initial,true_range,1,3,,,Range of values (1 - 3),Logon
login/password_max_idle_productive,true_range,1,90,,,Range of values (1 - 90),Logon
login/ticket_only_by_https,true_value,,,1,,Value equals 1,Logon
ms/monitor,true_value,,,0,,Value equals 0,Message server
rdisp/gui_auto_logout,true_range,0,7200,,,Range of values (0 - 7200),Dispatcher and Task Handler
rdisp/TRACE,true_range_max,,2,,,Value less than 2,Dispatcher and Task Handler
rfc/disable_debugger_command_field,true_value,,,2,,Value equals 2,ABAP
rfc/ext_debugging,true_value,,,0,,Value equals 0,ABAP
rfc/reject_expired_passwd,true_value,,,1,,Value equals 1,ABAP
service/protectedwebmethods,true_value2,,,SDEFAULT,ALL,"Value equals ""SDEFAULT"" or ""ALL""",ICM/ICF
snc/accept_insecure_cpic,true_value,,,0,,Value equals 0,SNC - Secure network communication
snc/accept_insecure_gui,true_value,,,0,,Value equals 0,SNC - Secure network communication
snc/accept_insecure_rfc,true_value,,,0,,Value equals 0,SNC - Secure network communication
snc/data_protection/max,true_value,,,3,,Value equals 3,SNC - Secure network communication
snc/data_protection/min,true_value,,,3,,Value equals 3,SNC - Secure network communication
snc/data_protection/use,true_range,3,9,,,Range of values (3 - 9),SNC - Secure network communication
snc/enable,true_value,,,1,,Value equals 1,SNC - Secure network communication
snc/permit_insecure_start,true_value,,,0,,Value equals 0,SNC - Secure network communication
rdisp/j2ee_start,true_value,,,0,,Value equals 0,Dispatcher and Task Handler
rec/client,true_value2,,,"001,002,003",OFF,"Value equals ""001,002,003"" or ""OFF""",Database
rsau/enable,true_value,,,1,,Value equals 1,General system
gw/logging,true,,,,,Value doesn't have an Information about any ACTION,Gateway
sapgui/user_scripting,true_value,,,FALSE,,Value equals FALSE,GUI
sapgui/user_scripting_disable_recording,true_value,,,TRUE,,Value equals TRUE,GUI
sapgui/user_scripting_force_notification,true_value,,,TRUE,,Value equals TRUE,GUI
sapgui/user_scripting_per_user,true_value,,,FALSE,,Value equals FALSE,GUI
sapgui/user_scripting_set_readonly,true_value,,,FALSE,,Value equals FALSE,GUI
