SI_TCODE,agileSI-Blacklist_of_TCodes
AUTH_SWITCH_OBJECTS,true
LN08,true
MMPV,true
MMRV,true
PFCG,true
RZ04,true
RZ06,true
RZ10,true
RZ11,true
SA38,true
SBGRFCCONF,true
SBGRFCMON,true
SCC1,true
SCC4,true
SCC5,true
SCC6,true
SCC7,true
SCC8,true
SCC9,true
SCCL,true
SE01,true
SE06,true
SE09,true
SE10,true
SE11,true
SE13,true
SE16,true
SE16N,true
SE24,true
SE37,true
SE38,true
SE41,true
SE80,true
SE93,true
SM01,true
SM02,true
SM12,true
SM13,true
SM19,true
SM30,true
SM31,true
SM35,true
SM49,true
SM50,true
SM51,true
SM54,true
SM55,true
SM56,true
SM58,true
SM59,true
SM63,true
SM69,true
SMLG,true
SMLT,true
SMQ1,true
SMQ2,true
SNR0,true
SPAD,true
SPAM,true
SPRO,true
STMS,true
STMS_IMPORT,true
SU01,true
SU02,true
SU03,true
SU05,true
SU10,true
SU12,true
SU20,true
SU21,true
SU22,true
SU24,true
SU25,true
SU26,true
CA87,true
CAT6,true
CL04,true
COMMPR02,true
F.34,true
F.80,true
FI01,true
FI02,true
FI06,true
FI12,true
FP22,true
FPVC,true
IP30,true
KA10,true
KA12,true
KA16,true
KA18,true
MASS,true
ME59,true
MEMASSPO,true
MMDE,true
MRRS,true
OABL,true
OB_GLACC11,true
OB_GLACC12,true
OB_GLACC13,true
OB52,true
OBR1,true
PA20,true
PA30,true
PA70,true
S_ALR_87003642,true
SARA,true
VARK,true
XD99,true
XK99,true
