SI_EXTR,SI_NAME,SI_USECASE,Compliance,Compliance_Table_Data
SI_TABLE,NO_DATA,ITCUBE 1115,agileSI - Table Data,agileSI - Missing list of forbidden passwords defined
SI_TABLE,NO_DATA,ITCUBE 1511-1,agileSI - Table Data,agileSI - Settings for Security Audit Log: no static Security Audit Log filter defined active
SI_TABLE,NO_DATA,ITCUBE 1511-3,agileSI - Table Data,agileSI - Settings for Security Audit Log: no FULLY customized static filter active
SI_TABLE,NO_DATA,ITCUBE 1511-2,agileSI - Table Data,agileSI - Settings for Security Audit Log: static configuration settings deactivated
SI_TABLE,NO_DATA,ITCUBE 3111,agileSI - Table Data,agileSI - System change option set modifiable
SI_TABLE,Table Content,ITCUBE 3125,agileSI - Table Data,agileSI - Changes to Client settings (T000) are not logged
SI_TABLE,Table Content,ITCUBE 3122-1,agileSI - Table Data,agileSI - Client customizing allowed
SI_TABLE,Table Content,ITCUBE 3122-2,agileSI - Table Data,agileSI - Changes to Repository or cross-client customizing allowed
SI_TABLE,Table Content,ITCUBE 3122-3,agileSI - Table Data,agileSI - No restriction regarding client copy program
SI_TABLE,Table Content,ITCUBE 3122-4,agileSI - Table Data,agileSI - CATT or eCATT allowed
SI_TABLE,Table Content,ITCUBE 3111-1,agileSI - Table Data,agileSI - System Change Options for Software Components: changes allowed
SI_TABLE,Table Content,ITCUBE 3111-2,agileSI - Table Data,agileSI - System Change Options for Namespaces: changes allowed
