SI_STRING2,agileSI-Changes_on_authorization_objects
AUTH,true
ACGR,true
ACGT,true
SUCK,true
SUCO,true
SUCU,true
SUKR,true
SUSC,true
SUSG,true
SUSH,true
SUSI,true
SUSK,true
SUSO,true
SUSP,true
SUST,true
