"asset_type",exposure,location,"asset_count","asset_criticality","priority_join"
PLC,,,,low,"plc::"
Server,,,,low,"server::"
Broadcast,,,,low,"broadcast::"
Broadcast,,,,low,"broadcast::"
"Engineering Workstation",,,,low,"engineering workstation::"
PLC,,,,low,"plc::"
HMI,,,,low,"hmi::"
Server,,,,low,"server::"
Server,,,,low,"server::"
switch,,,,low,"switch::"
switch,,,,low,"switch::"
Server,,,,low,"server::"
Server,,,,low,"server::"
PLC,,,,low,"plc::"
PLC,,,,low,"plc::"
HMI,,,,medium,"hmi::"
"iot_device",,,,medium,"iot_device::"
Server,,,,medium,"server::"
PLC,,,,medium,"plc::"
"ip_camera",,,,medium,"ip_camera::"
Server,,,,medium,"server::"
PLC,,,,medium,"plc::"
PLC,,,,medium,"plc::"
"Engineering Workstation",,,,medium,"engineering workstation::"
Broadcast,,,,medium,"broadcast::"
Broadcast,,,,medium,"broadcast::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Broadcast,,,,medium,"broadcast::"
Broadcast,,,,medium,"broadcast::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Broadcast,,,,medium,"broadcast::"
"Engineering Workstation",,,,medium,"engineering workstation::"
Server,,,,medium,"server::"
switch,,,,medium,"switch::"
switch,,,,medium,"switch::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
PLC,,,,medium,"plc::"
HMI,,,,medium,"hmi::"
switch,,,,medium,"switch::"
Server,,,,medium,"server::"
Router,,,,medium,"router::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
"Engineering Workstation",,,,medium,"engineering workstation::"
Router,,,,medium,"router::"
Broadcast,,,,medium,"broadcast::"
HMI,,,,medium,"hmi::"
"Engineering Workstation",,,,medium,"engineering workstation::"
PLC,,,,medium,"plc::"
"Engineering Workstation",,,,medium,"engineering workstation::"
HMI,,,,medium,"hmi::"
HMI,,,,medium,"hmi::"
PLC,,,,medium,"plc::"
PLC,,,,medium,"plc::"
"Engineering Workstation",,,,medium,"engineering workstation::"
PLC,,,,medium,"plc::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
switch,,,,medium,"switch::"
Server,,,,medium,"server::"
Server,,,,medium,"server::"
PLC,,,,medium,"plc::"
Server,,,,medium,"server::"
