status,description,action
success,allowed,allowed
failure,blocked,blocked
100,Continue,information
101,Switching Protocols,information
102,Processing,information
103,Early Hints,information
200,OK,success
201,Created,success
202,Accepted,success
203,Non-Authoritative Information,success
204,No Content,success
205,Reset Content,success
206,Partial Content,success
207,Multi-Status,success
208,Already Reported,success
226,IM Used,success
300,Multiple Choices,redirection
301,Moved Permanently,redirection
302,Found,redirection
303,See Other,redirection
304,Not Modified,redirection
305,Use Proxy,redirection
306,Switch Proxy,redirection
307,Temporary Redirect,redirection
308,Permanent Redirect,redirection
400,Bad Request,client_failure
401,Unauthorized,client_failure
402,Payment Required,client_failure
403,Forbidden,client_failure
404,Not Found,client_failure
405,Method Not Allowed,client_failure
406,Not Acceptable,client_failure
407,Proxy Authentication Required,client_failure
408,Request Timeout,client_failure
409,Conflict,client_failure
410,Gone,client_failure
411,Length Required,client_failure
412,Precondition Failed,client_failure
413,Payload Too Large,client_failure
414,URI Too Long,client_failure
415,Unsupported Media Type,client_failure
416,Range Not Satisfiable,client_failure
417,Expectation Failed,client_failure
418,I'm a teapot,client_failure
419,Page Expired,client_failure
420,Method Failure / Enhance Your Calm,client_failure
421,Misdirected Request,client_failure
422,Unprocessable Entity,client_failure
423,Locked,client_failure
424,Failed Dependency,client_failure
425,Too Early,client_failure
426,Upgrade Required,client_failure
428,Precondition Required,client_failure
429,Too Many Requests,client_failure
431,Request Header Fields Too Large,client_failure
440,Login Time-out,client_failure
444,No Response,client_failure
449,Retry With,client_failure
450,Blocked by Windows Parental Controls,client_failure
451,Unavailable For Legal Reasons,client_failure
460,client closed connection before idle timeout,client_failure
463,X-Forwarded-For header with more than 30 IP addresses,client_failure
494,Request header too large,client_failure
495,SSL Certificate Error,client_failure
496,SSL Certificate Required,client_failure
497,HTTP Request Sent to HTTPS Port,client_failure
498,Invalid Token,client_failure
499,client Closed Request,client_failure
500,Internal Server Error,server_failure
501,Not Implemented,server_failure
502,Bad Gateway,server_failure
503,Service Unavailable,server_failure
504,Gateway Timeout,server_failure
505,HTTP Version Not Supported,server_failure
506,Variant Also Negotiates,server_failure
507,Insufficient Storage,server_failure
508,Loop Detected,server_failure
509,Bandwidth Limit Exceeded,server_failure
510,Not Extended,server_failure
511,Network Authentication Required,server_failure
520,Web Server Returned an Unknown Error,server_failure
521,Web Server Is Down,server_failure
522,Connection Timed Out,server_failure
523,Origin Is Unreachable,server_failure
524,A Timeout Occurred,server_failure
525,SSL Handshake Failed,server_failure
526,Invalid SSL Certificate,server_failure
527,Railgun Error,server_failure
530,Origin DNS Error,server_failure
598,Network Read Timeout Error,server_failure
599,Network Connect Timeout Error,server_failure
