"software_type"
"HTTP::APPSERVER"
"HTTP::BROWSER"
"HTTP::SERVER"
"OS::WINDOWS"
"SMTP::MAIL_CLIENT"
"SSH::CLIENT"
"SSH::SERVER"
"FTP::CLIENT"
