user,is_default
$aloc$,true
$system,true
3comcso,true
4dgifts,true
a,true
aaa,true
accounting,true
acer,true
adams,true
adfexc,true
adm,true
admin,true
admin2,true
administrator,true
adminstrator,true
adminttd,true
admn,true
adsl,true
advmail,true
allin1,true
allin1mail,true
allinone,true
ami,true
anon,true
anonymous,true
any,true
ap2svp,true
apc,true
apl2pp,true
applsys,true
apps,true
aqdemo,true
aquser,true
archivist,true
askokeoh,true
at4400,true
aurora$orb$unauthenticated,true
aurora@orb@unauthenticated,true
autocad,true
autolog1,true
backup,true
batch,true
batch1,true
batch2,true
bbs,true
bbsd-client,true
bciim,true
bcim,true
bcms,true
bcnas,true
bin,true
blake,true
blue,true
boss,true
browse,true
cablecom,true
cac_admin,true
catalog,true
ccc,true
ccrusr,true
cdemo82,true
cdemocor,true
cdemorid,true
cdemoucb,true
checkfs,true
checkfsys,true
checksys,true
chey_archsvr,true
cisco,true
cjecyhgy,true
client,true
cmaker,true
cmsbatch,true
cmsuser,true
company,true
computer,true
config,true
cpnuc,true
cprm,true
craft,true
cspuser,true
ctxdemo,true
ctxsys,true
cust,true
customer,true
cview,true
d-link,true
daemon,true
datamove,true
dba,true
dbqfingu,true
dbsnmp,true
dcl,true
ddic,true
debug,true
decmail,true
decnet,true
default,true
demo,true
demo1,true
demo2,true
demo3,true
demo4,true
demo8,true
demos,true
deskalt,true
deskman,true
desknorm,true
deskres,true
desquetop,true
diag,true
direct,true
dirmaint,true
diskcnt,true
disttech,true
dni,true
ds,true
dsa,true
dta,true
e250,true
e500,true
echo,true
egcr,true
emaq,true
emp,true
enable,true
eng,true
enquiry,true
erep,true
essex,true
event,true
ezsetup,true
f,true
fal,true
fax,true
faxuser,true
faxworks,true
fgh,true
field,true
finance,true
fnd,true
ftp,true
ftp_admi,true
ftp_inst,true
ftp_nmc,true
ftp_oper,true
games,true
gateway,true
gcs,true
gen1,true
gen2,true
glftpd,true
gonzo,true
gopher,true
gpfd,true
gpld,true
gropher,true
guest,true
guest1,true
halt,true
hello,true
help,true
helpdesk,true
host,true
hplaser,true
hydrasna,true
ibm,true
idms,true
idmsse,true
ifoczvhc,true
iips,true
inads,true
info,true
informix,true
ingres,true
init,true
install,true
installer,true
intel,true
ioftpd,true
ipc,true
ipfserv,true
ispvm,true
ivpm1,true
ivpm2,true
james,true
jde,true
kermit,true
keyscan,true
l2,true
l3,true
laser,true
laserwriter,true
library,true
link,true
localcomserver,true
locate,true
login,true
lp,true
lpadm,true
lpadmin,true
lucent01,true
lucent02,true
lynx,true
m1122,true
mail,true
mailer,true
maint,true
man,true
manager,true
managers,true
manuf,true
mbmanager,true
mbwatch,true
mcveadmin,true
mdsys,true
me,true
mediator,true
memotec,true
mfd,true
mfg,true
mfovsivcm,true
mfsadogol,true
mge,true
mgr,true
micro,true
miller,true
misglopo,true
mjscyevt,true
mlusr,true
mm,true
mmo2,true
modtest,true
moeserv,true
monitor,true
moreau,true
mountfs,true
mountfsys,true
mountsys,true
mtch,true
mtcl,true
mtysys,true
multi,true
museadmin,true
naadmin,true
names,true
naxhmcko,true
nbfdeicwe,true
ncrm,true
netcon,true
netlink,true
netman,true
netmgr,true
netnonpriv,true
netop,true
netopia,true
netpriv,true
netrangr,true
netscreen,true
netserver,true
network,true
neview,true
newingres,true
news,true
niconex,true
nilmxyno,true
nms,true
nobody,true
none,true
nop,true
npobuxev,true
nuucp,true
ocitest,true
oltsep,true
oocdhuvr,true
op,true
op1,true
opcuvsus,true
operatns,true
operator,true
opervax,true
oracle,true
ordplugins,true
ordsys,true
orpdxpka,true
outln,true
outofbox,true
pappu,true
patrol,true
pbx,true
pcuser,true
pdmremi,true
pdp11,true
pdp8,true
peng,true
pepino,true
perfgyho,true
pfcuser,true
phantom,true
piranha,true
pmd,true
po,true
po8,true
poeqsgme,true
poll,true
post,true
postmaster,true
powercartuser,true
powerdown,true
praisenetwork,true
primary,true
prime,true
primenet,true
primos_cs,true
print,true
printer,true
priv,true
procal,true
prodbm,true
promail,true
pseadmin,true
psfmaint,true
public,true
pubsub,true
pvm,true
qsecofr,true
qserv,true
qsrv,true
qsrvbas,true
qsvr,true
qsysopr,true
quser,true
rcust,true
rdm470,true
re,true
read,true
readonly,true
readwrite,true
replicator,true
report,true
rhmykeil,true
rje,true
rmail,true
rman,true
rmuser1,true
ro,true
rodqdidmo,true
root,true
router,true
rsbcmon,true
rscs,true
rscsv2,true
rurpccft,true
rw,true
rwa,true
sa,true
sabre,true
sample,true
sap,true
sapcpic,true
satan,true
savsys,true
sd,true
secdemo,true
secoff,true
secofr,true
security,true
self,true
service,true
servlet,true
setup,true
sfcmi,true
sfcntrl,true
shutdown,true
signa,true
smart,true
smc,true
snake,true
software,true
spcl,true
spoolman,true
sqldba,true
sqluser,true
ss,true
storwatch,true
student,true
su,true
super,true
superuser,true
supervisor,true
support,true
symbol,true
sync,true
sys,true
sysadm,true
sysadmin,true
