sc_status,http_status_message
100,Continue
101,Switching Protocols
102,Processing
200,OK
201,Created
202,Accepted
203,Non-Authoritative Information
204,No Content (Delete Success)
205,Reset Content
206,Partial Content (Range Header Support)
207,Multi-Status
208,Already Reported
226,Instance Manipulation Used
300,Multiple Choices
301,Moved Permanently
302,Found
303,See Other URI
304,Not Modified
305,Use Proxy
306,Switch Proxy
307,Temporary Redirect
308,Permanent Redirect or Resume Incomplete
400,Bad Request
401,Unauthorized
402,Payment Required
403,Forbidden
404,Not Found
405,Method Not Allowed
406,Not Acceptable
407,Proxy Auth Required
408,Request Timeout
409,Conflict
410,Gone
411,Length Required
412,Precondition Failed
413,Payload Too Large
414,Request-URI Too Long
415,Unsupported Media Type
416,Request Range Unsatisfiable
417,Expectation Failed
418,I'm a Teapot
419,Auth Timeout
420,Method Failure (Twitter EYC)
421,Misdirected Request
422,Unprocessable Entity
423,Locked
424,Failed Dependency
426,Upgrade Required
428,Precondition Required
429,Too Many Requests
431,Request Header Fields Too Large
440,Login Timeout
444,No Response
449,Retry With
450,Windows Parental Control Blocked
451,Redirect or Denied For Legality
494,Request Header Too Large
495,Cert Error
496,No Cert
497,HTTP to HTTPS
498,Token expired/invalid
499,Client Closed Request
499,Token required
500,Internal Server Error
501,Not Implemented
502,Bad Gateway
503,Service Unavailable
504,Gateway Timeout
505,HTTP Version Not Supported
506,Variant Also Negotiates
507,Insufficient Storage
508,Loop Detected
509,Bandwidth Limit Exceeded
510,Not Extended
511,Network Auth Required
520,Unknown Error
522,Origin Connection Timeout
598,Network Read Timeout
599,Network Connect Timeout
