md5,name
3ea7d00dedd30bcdf46191358c36ffa4,Test.EICAR
116D2FC1665CE7524826A624BE0DED1C,Trojan.Sofacy
82F06D7157DD28A75F1FBB47728AEA25,Trojan.Sofacy
2F04B8EB993CA4A3D98607824A10ACFB,Trojan.Sofacy
9FE3A0FB3304D749AEED2C3E2E5787EB,Trojan.Sofacy
BED5BC0A8AAE2662EA5D2484F80C1760,Trojan.Sofacy
F62182CF0AB94B3C97B0261547DFC6CF,Trojan.Sofacy
504182AAA5575BB38BF584839BEB6D51,Trojan.Sofacy
647EDDDF61954822DDB7AB3341F9A6C5,Trojan.Sofacy
20FF290B8393F006EAF4358F09F13E99,Trojan.Sofacy
C789EC7537E300411D523AEF74407A5E,Trojan.Sofacy
27FAA10D1BEC1A25F66E88645C695016,Trojan.Sofacy
D79A21970CAD03E22440EA66BD85931F,Trojan.Sofacy
296C956FE429CEDD1B64B78E66797122,Trojan.Sofacy
8C3F5F1FFF999BC783062DD50357BE79,Trojan.Sofacy
5882A8DD4446ABD137C05D2451B85FEA,Trojan.Sofacy
62DEAB0E5D61D6BF9E0BA83D9E1D7E2B,Trojan.Sofacy
B137C809E3BF11F2F5D867A6F4215F95,Trojan.Sofacy
CDB58C2999EEDA58A9D0C70F910D1195,Trojan.Sofacy
F8E92D8B5488EA76C40601C8F1A08790,Trojan.Sofacy
E228CD74103DC069663BB87D4F22D7D5,Trojan.Sofacy
4B02DFDFD44DF3C88B0CA8C2327843A4,Trojan.Sofacy
1421419D1BE31F1F9EA60E8ED87277DB,Trojan.Sofacy
9B10685B774A783EABFECDB6119A8AA3,Trojan.Sofacy
1C6F8EBA504F2F429ABF362626545C79,Trojan.Sofacy
34DC9A69F33BA93E631CD5048D9F2624,Trojan.Sofacy
