_key,Category,Description,FredID,Frequency,Name,URL
5f2fd8e516e1ee3a18003241,Manufacturing,"U.S. Census Bureau, Value of Manufacturers' New Orders for Consumer Goods Industries",ACOGNO,Monthly,Value of Manufacturers' New Orders for Consumer Goods Industries,https://fred.stlouisfed.org/series/ACOGNO
5f2fd8e516e1ee3a18003242,Corporate Bonds,"This data represents the Option-Adjusted Spread (OAS) of the ICE BofAML US Corporate C Index, a subset of the ICE BofAML US High Yield Master II Index tracking the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market.",BAMLH0A3HYC,Daily,ICE BofAML US High Yield CCC or Below Option-Adjusted Spread,https://fred.stlouisfed.org/series/BAMLH0A3HYC
5f2fd8e516e1ee3a18003243,Corporate Bonds,"This data represents the effective yield of the ICE BofAML US Corporate C Index, a subset of the ICE BofAML US High Yield Master II Index tracking the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market.",BAMLH0A3HYCEY,Daily,ICE BofAML US High Yield CCC or Below Effective Yield,https://fred.stlouisfed.org/series/BAMLH0A3HYCEY
5f2fd8e516e1ee3a18003244,Monetary Data,The series equals total balances maintained plus currency in circulation.,BOGMBASEW,Weekly,Monetary Base Total,https://fred.stlouisfed.org/series/BOGMBASEW
5f2fd8e516e1ee3a18003245,Consumer,"The Consumer Price Index for All Urban Consumers: All Items (CPIAUCSL) is a measure of the average monthly change in the price for goods and services paid by urban consumers between any two time periods. This particular index includes roughly 88 percent of the total population. - Units:  Index 1982-1984=100, Seasonally Adjusted",CPIAUCSL,Monthly,Consumer Price Index for All Urban Consumers: All Items,fred.stlouisfed.org/series/CPIAUCSL
5f2fd8e516e1ee3a18003246,Housing,The S&P CoreLogic Case-Shiller U.S. National Home Price NSA Index is a composite of single-family home price indices for the nine U.S. Census divisions and is calculated monthly. Not Seasonally Adjusted,CSUSHPINSA,Monthly,S&P/Case-Shiller U.S. National Home Price Index,https://fred.stlouisfed.org/series/CSUSHPINSA
5f2fd8e516e1ee3a18003247,Corporate Bonds,Moody's Seasoned Aaa Corporate Bond Yield These instruments are based on bonds with maturities 20 years and above. ,DAAA,Daily,Moody's Seasoned Aaa Corporate Bond Yield,https://fred.stlouisfed.org/series/DAAA
5f2fd8e516e1ee3a18003248,Corporate Bonds,Moody's Seasoned Baa Corporate Bond Yield These instruments are based on bonds with maturities 20 years and above.,DBAA,Daily,Moody's Seasoned Baa Corporate Bond Yield,https://fred.stlouisfed.org/series/DBAA
5f2fd8e516e1ee3a18003249,Commodities,"Dollars per Barrel, Not Seasonally Adjusted",DCOILWTICO,Daily,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma",https://fred.stlouisfed.org/series/DCOILWTICO
5f2fd8e516e1ee3a1800324a,Exchange Rates,Brazil / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXBZUS,Daily,Brazil / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXBZUS
5f2fd8e516e1ee3a1800324b,Exchange Rates,Canada / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXCAUS,Daily,Canada / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXCAUS
5f2fd8e516e1ee3a1800324c,Transportation,"U.S. Bureau of Economic Analysis, Light Weight Vehicle Sales: Autos and Light Trucks",ALTSALES,Monthly,Light Weight Vehicle Sales,https://fred.stlouisfed.org/series/ALTSALES
5f2fd8e516e1ee3a1800324d,Exchange Rates,China / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXCHUS,Daily,China / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXCHUS
5f2fd8e516e1ee3a1800324e,Exchange Rates,India / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXINUS,Daily,India / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXINUS
5f2fd8e516e1ee3a1800324f,Exchange Rates,Japan / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXJPUS,Daily,Japan / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXJPUS
5f2fd8e516e1ee3a18003250,Exchange Rates,South Korea / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXKOUS,Daily,South Korea / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXKOUS
5f2fd8e516e1ee3a18003251,Exchange Rates,Mexico / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXMXUS,Daily,Mexico / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXMXUS
5f2fd8e516e1ee3a18003252,Exchange Rates,U.S. / Australia Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXUSAL,Daily,U.S. / Australia Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXUSAL
5f2fd8e516e1ee3a18003253,Exchange Rates,U.S. / Euro Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXUSEU,Daily,U.S. / Euro Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXUSEU
5f2fd8e516e1ee3a18003254,Exchange Rates,U.S. / U.K. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXUSUK,Daily,U.S. / U.K. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXUSUK
5f2fd8e516e1ee3a18003255,Interest Rates,"The federal funds rate is the interest rate at which depository institutions trade federal funds (balances held at Federal Reserve Banks) with each other overnight. When a depository institution has surplus balances in its reserve account, it lends to other banks in need of larger balances. In simpler terms, a bank with excess cash, which is often referred to as liquidity, will lend to another bank that needs to quickly raise liquidity.",DFF,Daily,Effective Federal Funds Rate,https://fred.stlouisfed.org/series/DFF
5f2fd8e516e1ee3a18003256,Manufacturing,"U.S. Bureau of the Census, Manufacturers' New Orders: Durable Goods",DGORDER,Monthly,Manufacturers' New Orders: Durable Goods,https://fred.stlouisfed.org/series/DGORDER
5f2fd8e516e1ee3a18003257,Manufacturing,"U.S. Census Bureau, Value of Manufacturers' New Orders for All Manufacturing Industries",AMTMNO,Monthly,Value of Manufacturers' New Orders for All Manufacturing Industries,https://fred.stlouisfed.org/series/AMTMNO
5f2fd8e516e1ee3a18003258,Interest Rates,Board of Governors of the Federal Reserve System 1-Year Treasury Constant Maturity Rate,DGS1,Daily,1-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS1
