control_desc,control_label,control_number,view,splunk_use_case
Limit information system access to authorized users processes acting on behalf of authorized users or devices (including other information systems).,Limit system access to authorized users,3.1.1,cc_app_3_01_01,true
Limit information system access to the types of transactions and functions that authorized users are permitted to execute.,Limit system access to permitted transactions,3.1.2,cc_app_3_01_02,false
Control the flow of CUI in accordance with approved authorizations.,Control the flow of CUI,3.1.3,cc_app_3_01_03,false
Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,Separation of duties,3.1.4,cc_app_3_01_04,false
Employ the principle of least privilege  including for specific security functions and privileged accounts.,Least privilege,3.1.5,cc_app_3_01_05,false
Use non-privileged accounts or roles when accessing non-security functions.,Use of non-privileged accounts,3.1.6,cc_app_3_01_06,true
Prevent non-privileged users from executing privileged functions and audit the execution of such functions,Prevention of privileged functions,3.1.7,cc_app_3_01_07,true
Limit unsuccessful logon attempts.,Unsuccessful logon attempts,3.1.8,cc_app_3_01_08,true
Provide privacy and security notices consistent with applicable CUI rules.,Privacy and Security notices,3.1.9,cc_app_3_01_09,false
Use session lock with pattern-hiding displays to prevent access/viewing of data after period of inactivity.,Session locks,3.1.10,cc_app_3_01_10,false
Terminate (automatically) a user session after a defined condition.,Session termination,3.1.11,cc_app_3_01_11,false
Monitor and control remote access sessions.,Monitor remote access,3.1.12,cc_app_3_01_12,true
Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,Protect remote access,3.1.13,cc_app_3_01_13,false
Route remote access via managed access control points.,Route remote access,3.1.14,cc_app_3_01_14,false
Authorize remote execution of privileged commands and remote access to security relevant information.,Authorize remote access and execution,3.1.15,cc_app_3_01_15,false
Authorize wireless access prior to allowing such connections.,Authorize wireless access,3.1.16,cc_app_3_01_16,false
Protect wireless access using authentication and encryption.,Protect wireless access,3.1.17,cc_app_3_01_17,false
Control connection of mobile devices.,Control connection of mobile devices.,3.1.18,cc_app_3_01_18,false
Encrypt CUI on mobile devices.,Encrypt CUI on mobile devices.,3.1.19,cc_app_3_01_19,false
Verify and control/limit connections to and use of external information systems.,Use of external systems,3.1.20,cc_app_3_01_20,true
Limit use of organizational portable storage devices on external information systems.,Portable storage,3.1.21,cc_app_3_01_21,true
Control information posted or processed on publicly accessible information systems.,Publicly accessible systems,3.1.22,cc_app_3_01_22,false
Ensure that managers  systems administrators  and users of organizational information systems are made aware of the security risks associated with their activities and of the applicable policies  standards  and procedures related to the security of organizational information systems.,Administrator security awareness,3.2.1,cc_app_3_02_01,false
Ensure that organizational personnel are adequately trained to carry out their assigned information security-related duties and responsibilities.,User security awareness,3.2.2,cc_app_3_02_02,false
3 Provide security awareness training on recognizing and reporting potential indicators of insider threat.,Insider threat security awareness,3.2.3,cc_app_3_02_03,false
Create  protect  and retain information system audit records to the extent needed to enable the monitoring  analysis  investigation  and reporting of unlawful  unauthorized  or inappropriate information system activity.,Create  protect and retain audit records,3.3.1,cc_app_3_03_01,true
Ensure that the actions of individual information system users can be uniquely traced to those users so they can be held accountable for their actions.,User action audit,3.3.2,cc_app_3_03_02,true
Review and update audited events,Audit event reviews,3.3.3,cc_app_3_03_03,true
Alert in the event of an audit process failure.,Audit failure alerts,3.3.4,cc_app_3_03_04,true
Correlate audit review  analysis  and reporting processes for investigation and response to indications of inappropriate  suspicious  or unusual activity.,Audit event monitoring,3.3.5,cc_app_3_03_05,true
Provide audit reduction and report generation to support on-demand analysis and reporting.,On-demand audit analysis and reporting,3.3.6,cc_app_3_03_06,true
Provide an information system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,Time synchronization,3.3.7,cc_app_3_03_07,true
Protect audit information and audit tools from unauthorized access  modification  and deletion.,Protect audit information and tools,3.3.8,cc_app_3_03_08,true
Limit management of audit functionality to a subset of privileged users.,Limit audit management users,3.3.9,cc_app_3_03_09,true
Establish and maintain baseline configurations and inventories of organizational information systems (including hardware  software  firmware  and documentation) throughout the respective system development life cycles.,Baseline configurations,3.4.1,cc_app_3_04_01,false
Establish and enforce security configuration settings for information technology products employed in organizational information systems.,Security configurations,3.4.2,cc_app_3_04_02,false
Track  review  approve/disapprove  and audit changes to information systems.,Change control,3.4.3,cc_app_3_04_03,false
Analyze the security impact of changes prior to implementation.,Change control security impact,3.4.4,cc_app_3_04_04,false
Define  document  approve  and enforce physical and logical access restrictions associated with changes to the information system.,Change restriction,3.4.5,cc_app_3_04_05,false
Employ the principle of least functionality by configuring the information system to provide only essential capabilities.,Least functionality,3.4.6,cc_app_3_04_06,true
Restrict  disable  and prevent the use of nonessential functions  ports  protocols  and services.,Nonessential functions  ports  protocols  and services,3.4.7,cc_app_3_04_07,true
Apply deny-by-exception (blacklist) policy to prevent the use of unauthorized software or deny-all  permit-by-exception (whitelisting) policy to allow the execution of authorized software.,Default deny,3.4.8,cc_app_3_04_08,true
Control and monitor user installed software.,Control and monitor user installed software.,3.4.9,cc_app_3_04_09,true
Identify information system users  processes acting on behalf of users  or devices.,User identification,3.5.1,cc_app_3_05_01,false
Authenticate (or verify) the identities of those users  processes  or devices  as a prerequisite to allowing access to organizational information systems.,Authentication for access,3.5.2,cc_app_3_05_02,false
Use multi-factor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,Multi-factor authentication,3.5.3,cc_app_3_05_03,false
Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,Replay resistance,3.5.4,cc_app_3_05_04,false
Prevent reuse of identifiers for a defined period.,Identifier reuse,3.5.5,cc_app_3_05_05,false
Disable identifiers after a defined period of inactivity.,Identifier inactivity,3.5.6,cc_app_3_05_06,true
Enforce a minimum password complexity and change of characters when new passwords are created.,Password complexity,3.5.7,cc_app_3_05_07,false
Prohibit password reuse for a specified number of generations.,Password reuse,3.5.8,cc_app_3_05_08,false
Allow temporary password use for system logons with an immediate change to a permanent password.,Temporary passwords,3.5.9,cc_app_3_05_09,false
Store and transmit only encrypted representation of passwords.,Password transmission,3.5.10,cc_app_3_05_10,false
Obscure feedback of authentication information.,Authentication feedback,3.5.11,cc_app_3_05_11,false
Establish an operational incident-handling capability for organizational information systems that includes adequate preparation  detection  analysis  containment  recovery  and user response activities.,Incident handling,3.6.1,cc_app_3_06_01,false
Track  document  and report incidents to appropriate organizational officials and/or authorities.,Incident tracking,3.6.2,cc_app_3_06_02,false
Test the organizational incident response capability.,Incident response testing,3.6.3,cc_app_3_06_03,false
Perform maintenance on organizational information systems.,System maintenance,3.7.1,cc_app_3_07_01,false
Provide effective controls on the tools  techniques  mechanisms  and personnel used to conduct system maintenance.,System maintenance tools and methods,3.7.2,cc_app_3_07_02,false
Ensure equipment removed for off-site maintenance is sanitized of any CUI.,Off-site equipment,3.7.3,cc_app_3_07_03,false
Check media containing diagnostic and test programs for malicious code before the media are used in the information system.,Removable media scanning,3.7.4,cc_app_3_07_04,false
Require multi-factor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,Maintenance sessions,3.7.5,cc_app_3_07_05,false
Supervise the maintenance activities of maintenance personnel without required access authorization.,Maintenance supervision,3.7.6,cc_app_3_07_06,false
Protect (i.e.  physically control and securely store) information system media containing CUI  both paper and digital.,Protect CUI media,3.8.1,cc_app_3_08_01,false
Limit access to CUI on information system media to authorized users.,Limit CUI media access,3.8.2,cc_app_3_08_02,false
Sanitize or destroy information system media containing CUI before disposal or release for reuse.,CUI media disposal,3.8.3,cc_app_3_08_03,false
Mark media with necessary CUI markings and distribution limitations.,CUI media identification,3.8.4,cc_app_3_08_04,false
Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,CUI media transportation access,3.8.5,cc_app_3_08_05,false
Implement cryptographic mechanisms to protect the confidentiality of information stored on digital media during transport outside of controlled areas unless otherwise protected by alternative physical safeguards.,CUI media encryption,3.8.6,cc_app_3_08_06,false
Control the use of removable media on information system components.,Removable media,3.8.7,cc_app_3_08_07,true
Prohibit the use of portable storage devices when such devices have no identifiable owner.,Ownerless media,3.8.8,cc_app_3_08_08,false
Protect the confidentiality of backup CUI at storage locations.,Backup security,3.8.9,cc_app_3_08_09,false
Screen individuals prior to authorizing access to information systems containing CUI.,Personnel screening,3.9.1,cc_app_3_09_01,false
Ensure that CUI and information systems containing CUI are protected during and after personnel actions such as terminations and transfers.,Personnel process,3.9.2,cc_app_3_09_02,false
Limit physical access to organizational information systems  equipment  and the respective operating environments to authorized individuals,Physical access,3.10.1,cc_app_3_10_01,false
Protect and monitor the physical facility and support infrastructure for those information systems.,Physical access monitoring,3.10.2,cc_app_3_10_02,false
Escort visitors and monitor visitor activity.,Visitor escort,3.10.3,cc_app_3_10_03,false
Maintain audit logs of physical access,Physical access auditing,3.10.4,cc_app_3_10_04,false
Control and manage physical access devices.,Physical access devices,3.10.5,cc_app_3_10_05,false
Enforce safeguarding measures for CUI at alternate work sites (e.g.  telework sites).,Alternate work sites,3.10.6,cc_app_3_10_06,false
Periodically assess the risk to organizational operations (including mission  functions  image  or reputation)  organizational assets  and individuals  resulting from the operation of organizational information systems and the associated processing  storage  or transmission of CUI.,Risk assessment,3.11.1,cc_app_3_11_01,false
Scan for vulnerabilities in the information system and applications periodically and when new vulnerabilities affecting the system are identified.,Vulnerability scanning,3.11.2,cc_app_3_11_02,true
Remediate vulnerabilities in accordance with assessments of risk.,Vulnerability remediation,3.11.3,cc_app_3_11_03,true
Periodically assess the security controls in organizational information systems to determine if the controls are effective in their application.,Security assessment,3.12.1,cc_app_3_12_01,false
