dest,process,is_allowed,comment
*,explorer.exe,true,"Windows Explorer"
*,splunk.exe,true,"Splunk"
*,splunkd.exe,true,"Splunk"
*,splunk-MonitorNoHandle.exe,true,"Splunk"
*,splunk-admon.exe,true,"Splunk"
*,splunk-netmon,true,"Splunk"
*,splunk-powershell,true,"Splunk"
*,splunk-regmon,true,"Splunk"
*,splunk-winprintmon,true,"Splunk"
*,explorer.exe,true,"Windows Explorer"
