enabled,logfile,host,sourcetype,source,date_updated,updated_by
TRUE,data_ex_atm_trans.log.gz,ch-demo-01,vj:ATM,vj:ATM_Transaction,1569359427,nobody
TRUE,data_ex_aws_cwatch_web-01.log.gz,web-01,vj:aws:cloudwatch,vj:08675309:web-01:AWS/EC2,1569359427,nobody
TRUE,data_ex_aws_cwatch_web-02.log.gz,web-02,vj:aws:cloudwatch,vj:08675309:web-02:AWS/EC2,1569359427,nobody
TRUE,data_ex_aws_cwatch_web-03.log.gz,web-03,vj:aws:cloudwatch,vj:08675309:web-03:AWS/EC2,1569359427,nobody
TRUE,data_ex_aws_cwatch_web-04.log.gz,web-04,vj:aws:cloudwatch,vj:08675309:web-04:AWS/EC2,1569359427,nobody
TRUE,data_ex_aws_cwatch_web-05.log.gz,web-05,vj:aws:cloudwatch,vj:08675309:web-05:AWS/EC2,1569359427,nobody
TRUE,data_ex_ba_pos_mobile.log.gz,mobile_sys_1,vj:mobileapp,vj:mobileapp_mobilepush,1569359427,nobody
TRUE,data_ex_ba_pos.csv.gz,mobile_sys_2,vj:pos,vj:pos,1569359427,nobody
TRUE,data_ex_cisco_asa_10_10_3_133.log.gz,10.10.3.133,vj:cisco:asa,vj:UDP:515,1569359427,nobody
TRUE,data_ex_cisco_asa_10_84_159_171.log.gz,10.84.159.171,vj:cisco:asa,vj:UDP:514,1569359427,nobody
TRUE,data_ex_cisco_asa_10_90_57_155.log.gz,10.90.57.155,vj:cisco:asa,vj:UDP:514,1569359427,nobody
TRUE,data_ex_cisco_asa_10_119_1_133.log.gz,10.119.1.133,vj:cisco:asa,vj:UDP:515,1569359427,nobody
TRUE,data_ex_cisco_asa_10_151_68_71.log.gz,10.151.68.71,vj:cisco:asa,vj:UDP:514,1569359427,nobody
TRUE,data_ex_cisco_asa_10_176_221_247.log.gz,10.176.221.247,vj:cisco:asa,vj:UDP:514,1569359427,nobody
TRUE,data_ex_cisco_asa_10_186_177_160.log.gz,10.186.177.160,vj:cisco:asa,vj:UDP:514,1569359427,nobody
TRUE,data_ex_cisco_fwsm_10_10_3_132.log.gz,10.10.3.132,vj:cisco:fwsm,vj:UDP:515,1569359427,nobody
TRUE,data_ex_cisco_fwsm_10_119_1_132.log.gz,10.119.1.132,vj:cisco:fwsm,vj:UDP:515,1569359427,nobody
TRUE,data_ex_mysql_config_mysql_1.log.gz,mysql_1,vj:mysql:config,/vj/walk/opt/mysql/log/amgt_mysql_1.log,1569359427,nobody
TRUE,data_ex_mysql_perf_mysql_1.log.gz,mysql_1,vj:mysql:perf,/vj/usr/local/mysql/logs/mysqld_perf.log,1569359427,nobody
TRUE,data_ex_mysql_login_mysql_1.log.gz,mysql_1,vj:mysql:login,/vj/usr/local/mysql/logs/mysqld_login.log,1569359427,nobody
TRUE,data_ex_mysql_perf_mysql_2.log.gz,mysql_2,vj:mysql:perf,/vj/usr/local/mysql/logs/mysqld_perf.log,1569359427,nobody
TRUE,data_ex_mysql_login_mysql_2.log.gz,mysql_2,vj:mysql:login,/vj/usr/local/mysql/logs/mysqld_login.log,1569359427,nobody
TRUE,data_ex_iot_building.log.gz,bldg_get-01,vj:building_data,vj:building_data,1569359427,nobody
TRUE,data_ex_iot_rck_event.log.gz,RCK_HMI,vj:RCK_EVENT_LOG,vj:IndustrialData.txt,1569359427,nobody
TRUE,data_ex_mint_network.log.gz,mint-collector-01,vj:mint:network,vj:mint,1569359427,nobody
TRUE,data_ex_scen_admon_dc_pla_01.log.gz,dc-pla-01,vj:ActiveDirectory,vj:ActiveDirectory,1569359427,nobody
TRUE,data_ex_scen_winapp_ceo_wkstn.log.gz,ceo_wkstn,vj:WinEventLog,vj:WinEventLog:Application,1569359427,nobody
TRUE,data_ex_scen_winapp_coredev_006.log.gz,coredev-006,vj:WinEventLog,vj:WinEventLog:Application,1569359427,nobody
TRUE,data_ex_scen_winsec_ceo_wkstn.log.gz,ceo_wkstn,vj:WinEventLog,vj:WinEventLog:Security,1569359427,nobody
TRUE,data_ex_scen_winsec_coredev_006.log.gz,coredev-006,vj:WinEventLog,vj:WinEventLog:Security,1569359427,nobody
TRUE,data_ex_scen_winsec_dc_pla_01.log.gz,dc-pla-01,vj:WinEventLog,vj:WinEventLog:Security,1569359427,nobody
TRUE,data_ex_sec_notable.log.gz,vj_es_sec_serv,vj:notable_stash,vj:ex_sec_notable.log,1569359427,nobody
TRUE,data_ex_stream_mysql.log.gz,network_span-01,vj:stream:mysql,vj:stream:mysql,1569359427,nobody
TRUE,data_ex_win_ad_dns_windrep.log.gz,win_dc_01,vj:WinEventLog,vj:WinEventLog:DFS Replication,1569359427,nobody
TRUE,data_ex_win_ad_dns_windsrv.log.gz,win_dc_01,vj:WinEventLog,vj:WinEventLog:Directory Services,1569359427,nobody
