model_name,model_display,provider,input_price_per_million,output_price_per_million,context_window,supports_streaming,tier
claude-sonnet-4-5-20250929,Claude Sonnet 4.5,Anthropic,3.00,15.00,200000,true,premium
claude-sonnet-4-0,Claude 4 Sonnet,Anthropic,3.00,15.00,200000,true,premium
claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,Anthropic,3.00,15.00,200000,true,premium
claude-3-5-sonnet-20240620,Claude 3.5 Sonnet (Legacy),Anthropic,3.00,15.00,200000,true,premium
claude-3-opus-20240229,Claude 3 Opus,Anthropic,15.00,75.00,200000,true,premium
claude-3-sonnet-20240229,Claude 3 Sonnet,Anthropic,3.00,15.00,200000,true,standard
claude-3-haiku-20240307,Claude 3 Haiku,Anthropic,0.25,1.25,200000,true,budget
gemini-2.0-flash-001,Gemini 2.0 Flash,Google,0.00,0.00,1000000,true,free
gemini-2.0-flash-exp,Gemini 2.0 Flash Experimental,Google,0.00,0.00,1000000,true,free
gemini-1.5-pro-latest,Gemini 1.5 Pro,Google,1.25,5.00,2000000,true,premium
gemini-1.5-flash-latest,Gemini 1.5 Flash,Google,0.075,0.30,1000000,true,budget
gpt-5-mini-2025-08-07,GPT-5 Mini,OpenAI,0.08,0.32,128000,true,budget
gpt-4.1-mini-2025-04-14,GPT-4.1 Mini,OpenAI,0.15,0.60,128000,true,budget
gpt-4-turbo,GPT-4 Turbo,OpenAI,10.00,30.00,128000,true,premium
gpt-4o,GPT-4o,OpenAI,5.00,15.00,128000,true,premium
gpt-4o-mini,GPT-4o Mini,OpenAI,0.15,0.60,128000,true,budget
gpt-3.5-turbo,GPT-3.5 Turbo,OpenAI,0.50,1.50,16000,true,budget
