cim_field,data_model
ssl_name,Certificates
ssl_policies,Certificates
ssl_publickey,Certificates
ssl_publickey_algorithm,Certificates
ssl_serial*,Certificates
ssl_session_id,Certificates
ssl_signature_algorithm,Certificates
ssl_start_time*,Certificates
ssl_subject_email,Certificates
ssl_subject_locality,Certificates
ssl_subject_organization,Certificates
ssl_subject_state,Certificates
ssl_subject_street,Certificates
ssl_subject_unit,Certificates
ssl_version,Certificates
ssl_hash*,Certificates
ssl_is_valid,Certificates
ssl_issuer*,Certificates
ssl_issuer_common_name*,Certificates
ssl_issuer_email_domain*,Certificates
ssl_subject*,Certificates
ssl_subject_common_name*,Certificates
ssl_subject_email_domain*,Certificates
ssl_validity_window,Certificates
dest_bunit,Change
dest_category,Change
dest_priority,Change
src_bunit,Change
src_category,Change
src_priority,Change
tag,Change
user_agent,Change
user_bunit,Change
user_category,Change
user_priority,Change
user_type,Change
vendor_account,Change
vendor_region,Change
src_user_bunit,Change
src_user_category,Change
src_user_priority,Change
src_user_type,Change
action*,Change
change_type*,Change
command*,Change
dest*,Change
dvc*,Change
object*,Change
object_attrs*,Change
object_category*,Change
object_id*,Change
object_path*,Change
result*,Change
result_id*,Change
src*,Change
status*,Change
user*,Change
user_name*,Change
vendor_product*,Change
dest_nt_domain*,Change
src_nt_domain*,Change
src_user*,Change
src_user_name*,Change
dest_bunit,Change_Analysis
dest_category,Change_Analysis
dest_priority,Change_Analysis
src_bunit,Change_Analysis
src_category,Change_Analysis
src_priority,Change_Analysis
tag,Change_Analysis
user_bunit,Change_Analysis
user_category,Change_Analysis
user_priority,Change_Analysis
src_user_bunit,Change_Analysis
src_user_category,Change_Analysis
src_user_priority,Change_Analysis
dest_nt_domain*,Change_Analysis
src_nt_domain*,Change_Analysis
src_user*,Change_Analysis
action*,Change_Analysis
change_type*,Change_Analysis
command*,Change_Analysis
dest*,Change_Analysis
dvc*,Change_Analysis
object*,Change_Analysis
object_attrs*,Change_Analysis
object_category*,Change_Analysis
object_id*,Change_Analysis
object_path*,Change_Analysis
result*,Change_Analysis
result_id*,Change_Analysis
src*,Change_Analysis
status*,Change_Analysis
user*,Change_Analysis
vendor_product*,Change_Analysis
file_access_time*,Change_Analysis
file_acl*,Change_Analysis
file_create_time*,Change_Analysis
file_hash*,Change_Analysis
file_modify_time*,Change_Analysis
file_name*,Change_Analysis
file_path*,Change_Analysis
file_size*,Change_Analysis
description,Compute_Inventory
dest_bunit,Compute_Inventory
dest_category,Compute_Inventory
dest_priority,Compute_Inventory
enabled,Compute_Inventory
family,Compute_Inventory
hypervisor_id,Compute_Inventory
serial,Compute_Inventory
status,Compute_Inventory
tag,Compute_Inventory
version,Compute_Inventory
cpu_cores*,Compute_Inventory
cpu_count*,Compute_Inventory
cpu_mhz*,Compute_Inventory
mem*,Compute_Inventory
dest_ip,Compute_Inventory
dns*,Compute_Inventory
inline_nat,Compute_Inventory
interface*,Compute_Inventory
ip*,Compute_Inventory
lb_method,Compute_Inventory
mac*,Compute_Inventory
name*,Compute_Inventory
node,Compute_Inventory
node_port,Compute_Inventory
src_ip,Compute_Inventory
vip_port,Compute_Inventory
array,Compute_Inventory
blocksize,Compute_Inventory
cluster,Compute_Inventory
fd_max,Compute_Inventory
latency,Compute_Inventory
mount*,Compute_Inventory
parent,Compute_Inventory
read_blocks,Compute_Inventory
read_latency,Compute_Inventory
read_ops,Compute_Inventory
storage*,Compute_Inventory
write_blocks,Compute_Inventory
write_latency,Compute_Inventory
write_ops,Compute_Inventory
shell,Compute_Inventory
user_bunit,Compute_Inventory
user_category,Compute_Inventory
user_id,Compute_Inventory
user_priority,Compute_Inventory
hypervisor*,Compute_Inventory
interactive*,Compute_Inventory
password*,Compute_Inventory
user*,Compute_Inventory
os*,Compute_Inventory
dest*,Compute_Inventory
vendor_product*,Compute_Inventory
size*,Compute_Inventory
snapshot*,Compute_Inventory
time,Compute_Inventory
app,DLP
dest_bunit,DLP
dest_category,DLP
dest_priority,DLP
dest_zone,DLP
dvc_bunit,DLP
dvc_category,DLP
dvc_priority,DLP
dvc_zone,DLP
severity_id,DLP
signature_id,DLP
src_bunit,DLP
src_category,DLP
src_priority,DLP
src_user_bunit,DLP
src_user_category,DLP
src_user_priority,DLP
src_zone,DLP
tag,DLP
user_bunit,DLP
user_category,DLP
user_priority,DLP
action*,DLP
category*,DLP
dest*,DLP
dlp_type*,DLP
dvc*,DLP
object*,DLP
object_category*,DLP
object_path*,DLP
severity*,DLP
signature*,DLP
src*,DLP
src_user*,DLP
user*,DLP
vendor_product*,DLP
application_id,Data_Access
dest_name,Data_Access
dest_url,Data_Access
dvc,Data_Access
email,Data_Access
object_path,Data_Access
owner,Data_Access
owner_email,Data_Access
owner_id,Data_Access
parent_object,Data_Access
parent_object_category,Data_Access
parent_object_id,Data_Access
signature-required,Data_Access
signature_id,Data_Access
user_agent,Data_Access
user_email,Data_Access
user_group,Data_Access
user_id,Data_Access
user_role,Data_Access
user_type,Data_Access
vendor_product_id,Data_Access
vendor_region,Data_Access
action*,Data_Access
app*,Data_Access
dest*,Data_Access
object*,Data_Access
object_attrs*,Data_Access
object_category*,Data_Access
object_id*,Data_Access
object_size*,Data_Access
src*,Data_Access
user*,Data_Access
user_name*,Data_Access
vendor_account*,Data_Access
vendor_product*,Data_Access
dest,Databases
dest_bunit,Databases
dest_category,Databases
dest_priority,Databases
duration,Databases
object,Databases
response_time,Databases
src,Databases
src_bunit,Databases
src_category,Databases
src_priority,Databases
tag,Databases
user,Databases
user_bunit,Databases
user_category,Databases
user_priority,Databases
vendor_product,Databases
instance_name,Databases
instance_version,Databases
process_limit,Databases
session_limit,Databases
availability,Databases
avg_executions,Databases
dump_area_used,Databases
instance_reads,Databases
instance_writes,Databases
number_of_users,Databases
processes,Databases
sessions,Databases
sga_buffer_cache_size,Databases
sga_buffer_hit_limit,Databases
sga_data_dict_hit_ratio,Databases
sga_fixed_area_size,Databases
sga_free_memory,Databases
sga_library_cache_size,Databases
sga_redo_log_buffer_size,Databases
sga_shared_pool_size,Databases
sga_sql_area_size,Databases
start_time,Databases
tablespace_used,Databases
last_call_minute,Databases
lock_mode,Databases
lock_session_id,Databases
logon_time,Databases
obj_name,Databases
os_pid,Databases
serial_num,Databases
buffer_cache_hit_ratio,Databases
commits,Databases
cpu_used,Databases
cursor,Databases
elapsed_time,Databases
logical_reads,Databases
machine,Databases
memory_sorts,Databases
physical_reads,Databases
seconds_in_wait,Databases
session_id,Databases
session_status,Databases
table_scans,Databases
wait_state,Databases
wait_time,Databases
query,Databases
query_id,Databases
query_time,Databases
records_affected,Databases
indexes_hit,Databases
query_plan_hit,Databases
stored_procedures_called,Databases
tables_hit,Databases
free_bytes,Databases
tablespace_name,Databases
tablespace_reads,Databases
tablespace_status,Databases
tablespace_writes,Databases
delay,Email
dest_bunit,Email
dest_category,Email
dest_priority,Email
duration,Email
file_hash,Email
file_name,Email
file_size,Email
internal_message_id,Email
message_id,Email
message_info,Email
orig_dest,Email
orig_recipient,Email
orig_src,Email
process,Email
process_id,Email
protocol,Email
recipient_status,Email
response_time,Email
retries,Email
return_addr,Email
size,Email
src_bunit,Email
src_category,Email
src_priority,Email
src_user_bunit,Email
src_user_category,Email
src_user_priority,Email
status_code,Email
subject,Email
tag,Email
url,Email
user,Email
user_bunit,Email
user_category,Email
user_priority,Email
xdelay,Email
xref,Email
filter_action,Email
filter_score,Email
signature*,Email
signature_extra,Email
signature_id,Email
action*,Email
dest*,Email
recipient*,Email
recipient_count,Email
recipient_domain*,Email
src*,Email
src_user*,Email
src_user_domain*,Email
vendor_product*,Email
dest_bunit,Endpoint
dest_category,Endpoint
dest_priority,Endpoint
dest_requires_av,Endpoint
dest_should_timesync,Endpoint
dest_should_update,Endpoint
file_access_time*,Endpoint
file_create_time*,Endpoint
file_modify_time*,Endpoint
process_guid,Endpoint
process_id,Endpoint
tag,Endpoint
user_bunit,Endpoint
user_category,Endpoint
user_priority,Endpoint
creation_time,Endpoint
dest_bunit,Endpoint
dest_category,Endpoint
dest_port*,Endpoint
dest_priority,Endpoint
dest_requires_av,Endpoint
dest_should_timesync,Endpoint
dest_should_update,Endpoint
process_guid,Endpoint
process_id,Endpoint
src_bunit,Endpoint
src_category,Endpoint
src_priority,Endpoint
src_requires_av,Endpoint
src_should_timesync,Endpoint
src_should_update,Endpoint
state,Endpoint
tag,Endpoint
transport*,Endpoint
transport_dest_port,Endpoint
user_bunit,Endpoint
user_category,Endpoint
user_priority,Endpoint
action,Endpoint
cpu_load_percent,Endpoint
dest_bunit,Endpoint
dest_category,Endpoint
dest_is_expected,Endpoint
dest_priority,Endpoint
