appType,displayName,description,packageName
ABA,Actor Behavior Analytics,BlueVoyant Actor Behavior Analytics,bvaba
XVAW,Extreme Vigilance,Scianta Extreme Vigilance,xvaw
XR,Extreme Rules,Scianta Extreme Rules,xr
