signal_name,signal_type
DATA ACQUISITION PROFILE SIGNAL,DataAcquisitionProfile
UNKNOWN RESOURCES SIGNAL,UnknownResources
PEER ANALYSIS PROFILE,PeerAnalysisProfile
PEER ANALYSIS ACTOR RANKING,PeerAnalysisActorRanking
PEER ANALYSIS ANOMALOUS ACTOR WARNING,PeerAnalysisAnomalousActorWarning
PEER ANALYSIS ACTOR SIMILARITY MATRIX,PeerAnalysisActorSimilarityMatrix
PEER ANALYSIS ACTOR COMPRESSED DATA TERRAIN,PeerAnalysisActorCompressedDataTerrain
PEER ANALYSIS COMPRESSED SIMILARITY TERRAIN,PeerAnalysisActor2ActorCompressedSimilarityTerrain
PEER ANALYSIS ACTOR TERRAIN RANKING,PeerAnalysisAnomalousActorTerrainRanking
P2P PEER TERRAIN LIST,PeerAnalysisPeerTerrainList
P2P ACTOR OUTLIER TERRAINS,PeerAnalysisActorOutlierTerrains
PEER ANALYSIS COMPRESSED SIMILARITY LANDSCAPE,PeerAnalysisActor2ActorCompressedSimilarityLandscape
ACTOR ANALYSIS PROFILE,ActorAnalysisProfile
ACTOR ANALYSIS ANOMALOUS TERRAI,ActorAnalysisAnomalousTerrain
ACTOR ANALYSIS TERRAIN TIMESLICE SIMILARITY,ActorAnalysisTerrainTimesliceSimilarity
ACTOR ANALYSIS ANOMALOUS ACTOR,ActorAnalysisAnomalousActorWarning
THRESHOLD OUTLIER EVENT VALUE SIGNAL,EventValueOutlierWarning
EVENT VALUE NEAR THRESHOLD SIGNAL,EventValueNearThresholdWarning
EVENT VALUE THRESHOLD VIOLATION SIGNAL,EventValueThresholdViolationWarning
TERRAIN VALUE OUTLIER SIGNAL,TerrainValueOutlierWarning
TERRAIN VALUE NEAR THRESHOLD SIGNAL,TerrainValueNearThresholdWarning
TERRAIN VALUE THRESHOLD VIOLATION SIGNAL,TerrainValueThresholdViolationWarning
UNUSUAL ACTIVITY TIME,UnusualActivityTime
UNUSUAL ASSET ACCESS,UnusualAssetAccess
RARE ASSET ACCESS,RareAssetAccess
UNUSUAL ACTIVITY,UnusualActivity
THRESHOLD PROFILE,ThresholdProfile
ACTOR DOW PROFILE SIGNAL,ActorDayOfWeekProfile
ACTOR DOW TERRAIN RESULTS SIGNAL,ActorDayOfWeekTerrainResults
ACTOR DOW ANOMALOUS TERRAIN SIGNAL,ActorDayOfWeekAnomalousTerrain
INVALID ACTOR SEQUENCE SIGNAL,invalidActorSequence
RARE ACTOR SEQUENCE SIGNAL,rareActorSequence
UNCOMMON ACTOR SEQUENCE SIGNAL,uncommonActorSequence
VALID ACTOR SEQUENCE SIGNAL,validActorSequence
LOW AVERAGE EDGE STRENGTH SIGNAL,lowAverageEdgeStrength
SEQUENCE PROFILE,SequenceProfile
HAZARD DETECTION PROFILE SIGNAL,HazardDetectionProfile
HAZARD DETECTION ACTOR RISKS SIGNAL,ActorRisks
THREAT DETECTION PROFILE SIGNAL,ThreatDetectionProfile
THREAT DETECTION ACTOR THREAT SIGNAL,ActorThreat
THREAT DETECTION ASSET THREAT SIGNAL,AssetThreat
