algo_name,algo_enabled
a_threat_hunting_notebook,0
anomaly_detection_ecod,0
appNLP_eval_summarization,0
autoencoder,0
autosklearn_classification,0
barebone_spark,0
barebone_template,0
binary_nn_classifier_designer,0
binary_nn_classifier_onnx,0
binary_nn_classifier,0
causalnex,0
correlationmatrix,0
dask_kmeans,0
detect_dns_data_exfiltration_using_pretrained_model_in_dsdl,0
detect_suspicious_dns_txt_records_using_pretrained_model_in_dsdl,0
detect_suspicious_processnames_using_pretrained_model_in_dsdl,0
dnn_regressor,0
drift_detection,0
graph_algo_louvain,0
graph_algo,0
graphistry_notebook,0
grid_search_svm_mlflow,0
grid_search_svm,0
hashing_encoder_difference,0
hashing_encoder_distance,0
hashing_encoder,0
hidden_markov_model,0
ja3_encoder,0
linear_regressor,0
llm_rag_document_encoder,1
llm_rag_function_calling,1
llm_rag_log_encoder,1
llm_rag_milvus_management,1
llm_rag_milvus_search,1
llm_rag_ollama_model_manager,1
llm_rag_ollama_text_processing,1
llm_rag_script_saas_llm,1
llm_rag_script,1
multivariate_lstm,0
pretrained_dga_model_dsdl,0
prophet_forecast,0
push_to_milvus,0
pytorch_logistic_regression,0
pytorch_nn,0
query_milvus,0
random_cut_forest,0
rapids_umap_dga,0
rapids_umap,0
river_halfspacetree,0
seasonality_and_trend_decomposition,0
shap_xgboost,0
soar_llm_prompt_formatted,0
spacy_ner_ja,0
spacy_ner,0
spacy_sentiment,0
spark_fp_growth,0
spark_gradient_boosting_classifier,0
spark_recommender,0
stumpy,0
transformers_classification,0
transformers_sentencebert,0
transformers_summarization,0
transformers_zeroshot_classification,0
umap,0
univariate_cnn_forecast,0
univariate_rnn_forecast,0
xgboost_regressor,0
