parent_process_name, process_name, process
,,"C:\Windows\System32\NETSTAT.EXE -nao"
splunkd.exe,splunk.exe,
splunkd.exe,splunkd.exe,
splunkd.exe,splunk-optimize.exe,
splunkd.exe,splunk-MonitorNoHandle.exe,
splunkd.exe,splunk-powershell.exe,
splunkd.exe,splunk-admon.exe,
splunkd.exe,splunk-netmon.exe,
splunkd.exe,splunk-regmon.exe,
splunkd.exe,splunk-winprintmon.exe,
splunkd.exe,splunk-winevtlog.exe,
splunkd.exe,OriginThinSetupInternal.exe,
splunkd.exe,BraveUpdate.exe,
splunkd.exe,OneDriveSetup.exe,
splunkd.exe,cmd.exe,
splunkd.exe,cmd.exe,
,,"C:\WINDOWS\system32\cmd.exe /c "C:\Program Files\Splunk*"
splunkd.exe,powershell.exe,
python3.exe,splunkd.exe,
splunkd.exe,python3.exe,
MBAMService.exe,ig.exe,
MBAMService.exe,ig-1.exe,
MBAMService.exe,ig-2.exe,
MBAMService.exe,ig-3.exe,
MBAMService.exe,ig-4.exe,
MBAMService.exe,ig-5.exe,
MBAMService.exe,ig-6.exe,
MBAMService.exe,ig-7.exe,
MBAMService.exe,ig-8.exe,
MBAMService.exe,ig-9.exe,
MBAMService.exe,ig-10.exe,
MBAMService.exe,ig-11.exe,
MBAMService.exe,ig-12.exe,
MBAMService.exe,ig-13.exe,
MBAMService.exe,ig-14.exe,
MBAMService.exe,ig-15.exe,
MBAMService.exe,ig-16.exe,
MBAMService.exe,ig-17.exe,
MBAMService.exe,ig-18.exe,
MBAMService.exe,ig-19.exe,
MBAMService.exe,ig-20.exe,
MBAMService.exe,ig-21.exe,
MBAMService.exe,ig-22.exe,
MBAMService.exe,ig-23.exe,
MBAMService.exe,ig-24.exe,
MBAMService.exe,ig-25.exe,
MBAMService.exe,ig-26.exe,
MBAMService.exe,ig-27.exe,
MBAMService.exe,ig-28.exe,
MBAMService.exe,ig-29.exe,
MBAMService.exe,ig-30.exe,
MBAMService.exe,ig-31.exe,
MBAMService.exe,ig-32.exe,
MBAMService.exe,ig-33.exe,
MBAMService.exe,ig-34.exe,
MBAMService.exe,ig-35.exe,
MBAMService.exe,ig-36.exe,
MBAMService.exe,ig-37.exe,
MBAMService.exe,ig-38.exe,
MBAMService.exe,ig-39.exe,
MBAMService.exe,ig-40.exe,
MBAMService.exe,ig-41.exe,
MBAMService.exe,ig-42.exe,
MBAMService.exe,ig-43.exe,
MBAMService.exe,ig-44.exe,
MBAMService.exe,ig-45.exe,
MBAMService.exe,ig-46.exe,
MBAMService.exe,ig-47.exe,
MBAMService.exe,ig-48.exe,
MBAMService.exe,ig-49.exe,
MBAMService.exe,ig-50.exe,
PanGpHip.exe,cmd.exe,







