field_names,keyword,monitor,name,priority,regex,status,template
EVENTTIME BID FROM TO REASON,reason,0,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMSlave\s+-\s+searchState\s+transition\s+bid=(?P<BID>[^\s+]+)\s+from=(?P<FROM>[^\s+]+)\s+to=(?P<TO>[^\s+]+)\s+reason=(?P<REASON>.*),Active,EVENTTIME INFO  CMSlave - searchState transition bid=BID from=FROM to=TO reason=REASON
EVENTTIME INDEXNAME ID,indexname,TRUE,CMBucketId - New indexName,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMBucketId\s+-\s+CMIndexId:\s+New\s+indexName=(?P<INDEXNAME>[^\s+]+)\s+inserted,\s+mapping\s+to\s+id=(?P<ID>[^\s+]+)",Active,"EVENTTIME INFO  CMBucketId - CMIndexId: New indexName=INDEXNAME inserted, mapping to id=ID"
EVENTTIME SHUTDOWN_MESSAGE,shutdownhandler,0,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ShutdownHandler\s+-\s+shutting\s+down\s+level\s+\""(?P<SHUTDOWN_MESSAGE>.*)""",Active,"EVENTTIME INFO  ShutdownHandler - shutting down level ""SHUTDOWN_MESSAGE"""
EVENTTIME BID1 NODE HOST S2SPORT BID2,node,TRUE,BucketReplicator - Replicating warm bucket bid,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+BucketReplicator\s+-\s+Replicating\s+warm\s+bucket\s+bid=(?P<BID1>[^\s+]+)\s+node=(?P<NODE>[^\s+]+)\s+host=(?P<HOST>[^\s+]+)\s+s2sport=(?P<S2SPORT>[^\s+]+)\s+bid=(?P<BID2>[^\s+]+),Active,EVENTTIME INFO  BucketReplicator - Replicating warm bucket bid=BID1 node=NODE host=HOST s2sport=S2SPORT bid=BID2
EVENTTIME DIR,dir,TRUE,  HotBucketRoller - Rolled hot DB,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+HotBucketRoller\s+-\s+Rolled\s+hot\s+DB\s+at\s+dir=(?P<DIR>\S+),Active,EVENTTIME INFO  HotBucketRoller - Rolled hot DB at dir=DIR
EVENTTIME GROUP NAME MGMT_HTTPD SPLUNKER TAIL UDPIN,udpin,0,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+name=(?P<NAME>[^\s+]+)\s+mgmt_httpd=(?P<MGMT_HTTPD>[^\s+]+)\s+savedsplunker=(?P<SPLUNKER>[^\s+]+)\s+tail=(?P<TAIL>[^\s+]+)\s+udpin=(?P<UDPIN>[^\s+]+),Active,EVENTTIME INFO  Metrics - group=GROUP name=NAME mgmt_httpd=MGMT_HTTPD savedsplunker=SPLUNKER tail=TAIL udpin=UDPIN
EVENTTIME WARNING_CODE,initialized,0,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+LMStackMgr\s+-\s+Initialized\s+hideQuotaWarning\s+=\s+\""(?P<WARNING_CODE>\d+\.?\d*)\""",Active,"EVENTTIME INFO  LMStackMgr - Initialized hideQuotaWarning = ""WARNING_CODE"""
EVENTTIME FILE,table,TRUE, SearchOperator:inputcsv - sid,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+SearchOperator:inputcsv\s+-\s+sid:\s+The\s+lookup\s+table\s+'(?P<FILE>\S+)'\s+is\s+invalid.,Active,EVENTTIME WARN SearchOperator:inputcsv - sid: The lookup table 'FILE' is invalid.
EVENTTIME IDX,idx,TRUE,IndexWriter - idx Sync before shutdown,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexWriter\s+-\s+idx=(?P<IDX>[^\s+]+)\s+Sync\s+before\s+shutdown,Active,EVENTTIME INFO  IndexWriter - idx=IDX Sync before shutdown
EVENTTIME JOB BID SOURCE_GUID TARGET_GUID FAILING_GUID1 FAILING_GUID2 SEARCHABLE _MASK VSZ VET VLT,failingguid,TRUE,CMRepJob succeeded,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMRepJob\s+-\s+job=(?P<JOB>[^\s+]+)\s+bid=(?P<BID>[^\s+]+)\s+srcGuid=(?P<SOURCE_GUID>[^\s+]+)\s+tgtGuid=(?P<TARGET_GUID>[^\s+]+)\s+failingGuid=(?P<FAILING_GUID1>[^\s+]+)\s+failingGuid=(?P<FAILING_GUID2>[^\s+]+)\s+searchable=(?P<SEARCHABLE>[^\s+]+)\s+_mask=(?P<_MASK>[^\s+]+)\s+vsz=(?P<VSZ>[^\s+]+)\s+vet=(?P<VET>[^\s+]+)\s+vlt=(?P<VLT>[^\s+]+)\s+succeeded,Active,EVENTTIME INFO  CMRepJob - job=JOB bid=BID srcGuid=SOURCE_GUID tgtGuid=TARGET_GUID failingGuid=FAILING_GUIDSEARCHABLE failingGuid=FAILING_GUID2 searchable=1 _mask=_MASK vsz=VSZ vet=VET vlt=VLT succeeded
EVENTTIME GROUP NAME ACTIVE IDLE PROCESSES_CREATED PROCESSES_REUSED USER CONFIG BUNDLE MANY_SEARCHES REAPED_LONG REAPED_TIME REAPED_CONTROL REAPED_SURPLUS DUTY_CYCLE_LAUNCH DUTY_CYCLE_REAP DUTYCYCLEE_CONTROL WAKEUPS,processes_created,TRUE,  Metrics - group processes_reaped_accumulated_time,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+name=(?P<NAME>[^\s+]+)\s+active=(?P<ACTIVE>[^\s+]+)\s+idle=(?P<IDLE>[^\s+]+)\s+processes_created=(?P<PROCESSES_CREATED>[^\s+]+)\s+processes_reused_same_user=(?P<PROCESSES_REUSED>[^\s+]+)\s+processes_reused_different_user=(?P<USER>[^\s+]+)\s+processes_reaped_with_old_config=(?P<CONFIG>[^\s+]+)\s+processes_reaped_with_old_bundle=(?P<BUNDLE>[^\s+]+)\s+processes_reaped_ran_too_many_searches=(?P<MANY_SEARCHES>[^\s+]+)\s+processes_reaped_ran_too_long=(?P<REAPED_LONG>[^\s+]+)\s+processes_reaped_accumulated_time=(?P<REAPED_TIME>[^\s+]+)\s+processes_reaped_after_control=(?P<REAPED_CONTROL>[^\s+]+)\s+processes_reaped_surplus=(?P<REAPED_SURPLUS>[^\s+]+),\s+dutycycle_launching=(?P<DUTY_CYCLE_LAUNCH>[^\s+]+)\s+dutycycle_reaping=(?P<DUTY_CYCLE_REAP>[^\s+]+)\s+dutycycle_control=(?P<DUTYCYCLEE_CONTROL>[^\s+]+)\s+periodic_reaper_wakeups=(?P<WAKEUPS>[^\s+]+)",Active,"EVENTTIME INFO  Metrics - group=GROUP name=NAME active=ACTIVE idle=IDLE processes_created=PROCESSES_CREATED processes_reused_same_user=PROCESSES_REUSED processes_reused_different_user=USER processes_reaped_with_old_config=CONFIG processes_reaped_with_old_bundle=BUNDLE processes_reaped_ran_too_many_searches=MANY_SEARCHES processes_reaped_ran_too_long=REAPED_LONG processes_reaped_accumulated_time=REAPED_TIME processes_reaped_after_control=REAPED_CONTROL processes_reaped_surplus=REAPED_SURPLUS, dutycycle_launching=DUTY_CYCLE_LAUNCH dutycycle_reaping=DUTY_CYCLE_REAP dutycycle_control=DUTYCYCLEE_CONTROL periodic_reaper_wakeups=WAKEUPS"
EVENTTIME,generation,TRUE,ulimit - Core file generation disabled.,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+ulimit\s+-\s+Core\s+file\s+generation\s+disabled.,Active,EVENTTIME WARN ulimit - Core file generation disabled.
EVENTTIME FILE,file,TRUE, loader - Writing out composite configuration file,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+loader\s+-\s+Writing\s+out\s+composite\s+configuration\s+file:\s+(?P<FILE>.*),Active,EVENTTIME INFO loader - Writing out composite configuration file: FILE
EVENTTIME,command_name,1,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ModularInputs\s+-\s+Endpoint\s+argument\s+settings\s+for\s+\""command_name\"":",Active,"EVENTTIME INFO ModularInputs - Endpoint argument settings for ""command_name"":"
EVENTTIME BID,values,1,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexerIf\s+-\s+Asked\s+to\s+add\s+or\s+update\s+bucket\s+manifest\s+values,\s+bid=(?P<BID>[^\s+]+)",Active,"EVENTTIME INFO IndexerIf - Asked to add or update bucket manifest values, bid=BID"
EVENTTIME SCHEDULE,schedule,TRUE,ExecProcessor - cron schedule,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ExecProcessor\s+-\s+cron\s+schedule:\s+\""(?P<SCHEDULE>\d+\.?\d*)\s+\*\s+\*\s+\*\s+\*\""",Active,"EVENTTIME INFO  ExecProcessor - 	cron schedule: ""SCHEDULE * * * *"""
EVENTTIME XML_FILE_PATH,directory,1,ConfContentsCache :FileNotFound,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+ConfContentsCache\s+-\s+Cannot\s+read:\s+(?P<XML_FILE_PATH>[^\s+]+)\s+No\s+such\s+file\s+or\s+directory,Active,EVENTTIME ERROR ConfContentsCache - Cannot read: XML_FILE_PATH No such file or directory
EVENTTIME GROUP NAME REAPER_MAX REAPER_MEAN,group,TRUE, Metrics - group dispatch_dir_reaper_max_ms,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+name=(?P<NAME>[^\s+]+)\s+dispatch_dir_reaper_max_ms=(?P<REAPER_MAX>[^\s+]+)\s+dispatch_dir_reaper_mean_ms=(?P<REAPER_MEAN>[^\s+]+),Active,EVENTTIME INFO  Metrics - group=GROUP name=NAME dispatch_dir_reaper_max_ms=REAPER_MAX dispatch_dir_reaper_mean_ms=REAPER_MEAN
EVENTTIME,shcconfig,TRUE, SHCConfig - Default pass4symkey is being used,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+SHCConfig\s+-\s+Default\s+pass4symkey\s+is\s+being\s+used.\s+Please\s+change\s+to\s+a\s+random\s+one.,Active,EVENTTIME WARN SHCConfig - Default pass4symkey is being used. Please change to a random one.
EVENTTIME COUNT,count,TRUE, BucketMover - count jobs canceled from FilesystemOpExecutor,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+BucketMover\s+-\s+count=(?P<COUNT>[^\s+]+)\s+jobs\s+canceled\s+from\s+FilesystemOpExecutor,Active,EVENTTIME INFO  BucketMover - count=COUNT jobs canceled from FilesystemOpExecutor
EVENTTIME KEY_PATH,localhost,TRUE,  KeyManagerLocalhost - Reading public key for localhost,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+KeyManagerLocalhost\s+-\s+Reading\s+public\s+key\s+for\s+localhost:\s+(?P<KEY_PATH>\S+),Active,EVENTTIME INFO  KeyManagerLocalhost - Reading public key for localhost: KEY_PATH
EVENTTIME,callback,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+TailReader\s+-\s+Registering\s+metrics\s+callback\s+for:\s+tailreader0,Active,EVENTTIME INFO TailReader - Registering metrics callback for: tailreader0
EVENTTIME,no_proxy,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ProxyConfig\s+-\s+Failed\s+to\s+initialize\s+the\s+no_proxy\s+setting\s+from\s+server.conf\s+for\s+splunkd.\s+Please\s+provide\s+a\s+valid\s+set\s+of\s+no_proxy\s+rules\s+in\s+case\s+HTTP\s+proxying\s+needs\s+to\s+be\s+enabled.,Active,EVENTTIME INFO ProxyConfig - Failed to initialize the no_proxy setting from server.conf for splunkd. Please provide a valid set of no_proxy rules in case HTTP proxying needs to be enabled.
EVENTTIME EVENT BID ID1 ID2 TYPE,type,TRUE, BucketReplicator - event bid,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+BucketReplicator\s+-\s+event=(?P<EVENT>[^\s+]+)\s+bid=(?P<BID>[^\s+]+)\s+\[et=(?P<ID1>[^\s+]+)\s+lt=(?P<ID2>[^\s+]+)\s+type=(?P<TYPE>[^\s+]+),Active,EVENTTIME INFO  BucketReplicator - event=EVENT bid=BID [et=ID1 lt=ID2 type=TYPE
EVENTTIME SPLUNKNODE ID,workloadmanager,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+WorkloadManager\s+-\s+Workload\s+management\s+for\s+splunk\s+node=(?P<SPLUNKNODE>[^\s+]+)\s+with\s+guid=(?P<ID>[^\s+]+)\s+has\s+been\s+disabled.,Active,EVENTTIME INFO  WorkloadManager - Workload management for splunk node=SPLUNKNODE with guid=ID has been disabled.
EVENTTIME IP,error,TRUE,TcpInputProc - Error encountered for connection,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+TcpInputProc\s+-\s+Error\s+encountered\s+for\s+connection\s+from\s+src=(?P<IP>[^\s+]+)\s+Local\s+side\s+shutting\s+down,Active,EVENTTIME ERROR TcpInputProc - Error encountered for connection from src=IP Local side shutting down
EVENTTIME GROUP RUNNING TERMINATED FINISHED,running,TRUE, Metrics - group running  terminated,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+running=(?P<RUNNING>[^\s+]+)\s+terminated=(?P<TERMINATED>[^\s+]+)\s+finished=(?P<FINISHED>[^\s+]+),Active,EVENTTIME INFO  Metrics - group=GROUP running=RUNNING terminated=TERMINATED finished=FINISHED
