hostname,"last_seen"
"0.channel03.facebook.com","05/28/2016 13:45:06.000"
"0.channel09.facebook.com","05/28/2016 13:13:41.000"
"0.channel17.facebook.com","05/28/2016 13:48:11.000"
"0.channel27.facebook.com","05/28/2016 12:37:21.000"
"0.channel34.facebook.com","05/28/2016 13:26:41.000"
"0.channel36.facebook.com","05/28/2016 13:10:36.000"
"0.channel37.facebook.com","05/28/2016 12:14:31.000"
"01275269302.channel11.facebook.com","05/28/2016 13:10:01.000"
"03978257738.channel38.facebook.com","05/28/2016 13:07:21.000"
"1.gravatar.com","05/28/2016 12:47:01.000"
"10.0.26.105","05/28/2016 13:27:01.000"
"10.10.8.60","05/28/2016 13:43:01.000"
"127.0.0.1","05/28/2016 13:46:36.000"
"144.230.114.35","05/28/2016 12:41:06.000"
"163.19.149.18","05/28/2016 11:53:11.000"
"208.88.226.75","05/28/2016 13:46:36.000"
"293a.v.fwmrm.net","05/28/2016 13:13:11.000"
"32.wcmcs.net","05/28/2016 13:04:51.000"
"66.29.38.208","05/28/2016 13:43:11.000"
"67.195.13.132","05/28/2016 13:45:51.000"
"67.228.180.66","05/28/2016 13:41:31.000"
"74.86.135.170","05/28/2016 13:00:11.000"
"74.86.135.174","05/28/2016 13:17:16.000"
"74.86.167.75","05/28/2016 12:49:31.000"
"a.collective-media.net","05/28/2016 13:31:01.000"
"a.dlqm.net","05/28/2016 12:18:31.000"
"a.espncdn.com","05/28/2016 13:36:16.000"
"a.rad.msn.com","05/28/2016 13:36:31.000"
"a.tribalfusion.com","05/28/2016 13:42:36.000"
"a1.interclick.com","05/28/2016 13:21:01.000"
"a2.espncdn.com","05/28/2016 13:29:41.000"
"a3.espncdn.com","05/28/2016 13:39:16.000"
"a4.espncdn.com","05/28/2016 13:26:06.000"
"ace-lb.advertising.com","05/28/2016 13:14:06.000"
"acmetech.baynote.net","05/28/2016 13:38:56.000"
"ad.afy11.net","05/28/2016 13:44:56.000"
"ad.burstdirectads.com","05/28/2016 13:37:01.000"
"ad.doubleclick.net","05/28/2016 13:49:06.000"
"ad.in.doubleclick.net","05/28/2016 12:00:31.000"
"ad.n2434.doubleclick.net","05/28/2016 13:36:01.000"
"ad.wsod.com","05/28/2016 13:25:41.000"
"ad.yieldmanager.com","05/28/2016 13:46:31.000"
"ad1.clickhype.com","05/28/2016 12:59:01.000"
"ad2.netshelter.net","05/28/2016 13:36:51.000"
"admedia.wsod.com","05/28/2016 13:07:31.000"
"ads.adsonar.com","05/28/2016 11:58:46.000"
"ads.bluelithium.com","05/28/2016 13:25:56.000"
