event_type,signature_id,action,
ACL.CREATE,CC02,modified,
ACL.DELETE,CC02,modified,
ACL.MODIFY,CC02,modified,
CUSTOMIZE,CC02,modified,
ACCESS.ERROR,LL03,failure,
ACCESS.OK,LL01,success,
USER.CREATE_DETAILS,SA01,created,
USER.MODIFY_DETAILS,SA02,modified,
GROUP.CREATE,CC02,modified,
GROUP.DELETE,CC02,modified,
GROUP.MODIFY,CC02,modified,
PRINCIPAL.CREATE,CC02,modified,
PRINCIPAL.DELETE,CC02,modified,
PRINCIPAL.MODIFY,CC02,modified,
ROLE.CREATE,SA04,created,
ROLE.DELETE,SA06,deleted,
ROLE.MODIFY,SA05,modified,
USERACCOUNT.CREATE,SA01,created,
USERACCOUNT.DELETE,SA03,deleted,
USERACCOUNT.MODIFY,SA02,modified,
USER.CREATE,SA01,created,
USER.DELETE,SA03,deleted,
USER.MODIFY,SA02,modified,
USERMAPPING.CHANGE.CRYPTO.MODE,CC01,modified,
USERMAPPING.CREATE,SA04,created,
USERMAPPING.DELETE,SA06,deleted,
USERMAPPING.USE,PA01,success,
USERMAPPING.USE,PA01,success,

