action_id,action_description,action_category
REM-001,Remove rogue administrator account,Account Management
REM-002,Re-enable Windows Firewall on all profiles,Firewall
REM-003,Disable Remote Desktop Protocol,Remote Access
REM-004,Remove unauthorised autorun entry,Persistence
REM-005,Disable and stop rogue Windows service,Service Control
REM-006,Restore protected registry value,Registry
REM-007,Restore protected system file from backup,File Integrity
REM-008,Reinstall missing application,Application
REM-009,Terminate malicious process and quarantine executable,Process Control
REM-010,Re-enable disabled security service,Service Control
REM-011,Remove suspicious scheduled task,Persistence
REM-012,Restore LSA protection settings,Credential Protection
REM-013,Disable unknown Windows service,Service Control
