title,label,version,viz
aix,"Splunk for AIX","1.0",1
"APM_dynatrace","APM with dynaTrace","2.0",1
CDR,"Splunk for CDR",,1
"cisco_cdr","Cisco CDR Reporting and Analytics","4.0.4",1
CiscoACIForSplunkEnterprise,"Cisco ACI for Splunk Enterprise","1.0",1
CiscoNexus9kForSplunkEntreprise,"Cisco Nexus 9k for Splunk entreprise","1.0",1
compuwareapm,"APM with Dynatrace","2.2.4",1
"fi_proto_link","Application and Network Monitor","3.0.5",1
fireeye,FireEye,"3.0.2",1
foursquare,Foursquare,1,1
kepware,"Kepware demo",1,1
msp,"Splunk for Managed Services Providers","1.0",1
netflow,NetFlow,"2.0",1
netscout,NetScout,"1.0",1
nmon,"NMON Performance","1.1.0",1
Openwave,"Openwave Application Monitoring","1.0",1
"SA-ldapsearch","Splunk Supporting Add-on for Active Directory","2.1.3",0
sdm,"Splunk Personal Data Monitoring App","1.0",1
search,"Search & Reporting","6.3.2",1
"service_now",ServiceNow,"6.0.4",1
Sourcefire,"Splunk for Sourcefire","1.0",1
"splunk_app_aws","Splunk App for AWS","4.0.0",1
"splunk_app_for_nix","Splunk App for Unix","5.2.0",1
"splunk_app_microsoft_exchange","Splunk App for Microsoft Exchange","3.3.0",1
"splunk_app_netapp","NetApp Data ONTAP","2.0.1",1
"splunk_app_stream","Splunk App for Stream","6.6.2",1
"splunk_app_windows_infrastructure","Splunk App for Windows Infrastructure","1.3.0",1
"Splunk_CiscoISE","Cisco ISE","2.0.4",1
"Splunk_CiscoSecuritySuite","Cisco Security Suite","3.1.2",1
"Splunk_for_Sharepoint","Microsoft SharePoint","0.1.3",1
"Splunk_for_SQLServer","Microsoft SQL Server","0.1.8",1
"splunk_for_vmware",VMware,"3.1.1",1
"Splunk_HuaweiCsoftX3000","Splunk for Huawei CSOFTX3000","1.2",1
SplunkAppForCiscoUCS,"Splunk App for Cisco UCS","1.0",1
SplunkAppForXenApp,"Splunk App for Citrix XenApp","1.0.4",1
SplunkforBlueCoat,"Splunk for BlueCoat","4.1",1
SplunkforCitrixNetScaler,"Splunk for Citrix NetScaler","4.6",1
SplunkforF5Access,"Splunk for F5 Access","1.0",1
SplunkforF5Networks,"Splunk for F5 Networks","1.0",1
SplunkforF5Security,"Splunk for F5 Security","1.0",1
SplunkforPaloAltoNetworks,"Palo Alto Networks","5.2.0",1
SplunkForSAP,"Splunk for SAP","1.0",1
SplunkforXenDesktop,"Splunk for Citrix XenDesktop","2.0",1
watchguard,"Splunk for WatchGuard","1.0",1
webintelligence,"Web Intelligence Beta","1.0Beta",1
"alert_logevent","Log Event Alert Action","6.6.1",1
"splunk_instrumentation",Instrumentation,"2.0",1
"splunk_monitoring_console","Monitoring Console","6.6.1",1
