family,CWE,severity,pattern_id
XSS,CWE-79,4,Family
XSS,CWE-79,3,tc-xss-li
XSS,CWE-79,5,tc-xss-1
XSS,CWE-79,3,tc-xss-2
XSS,CWE-79,5,tc-xss-4
XSS,CWE-79,5,tc-xss-5
XSS,CWE-79,5,tc-xss-6
XSS,CWE-79,5,tc-xss-7
XSS,CWE-79,5,tc-xss-8
SQLi,CWE-89,5,Family
SQLi,CWE-89,4,tc-sqli-li
SQLi,CWE-89,4,tc-sqli-1
SQLi,CWE-89,5,tc-sqli-2
SQLi,CWE-89,4,tc-sqli-3
SQLi,CWE-89,3,tc-sqli-4
SQLi,CWE-89,3,tc-sqli-7
SQLi,CWE-89,3,tc-sqli-8
CMDi,CWE-77,5,n/a
CMDi,CWE-77,5,tc-cmdi-1
CMDi,CWE-77,5,tc-cmdi-2
CMDi,CWE-91,5,tc-cmdi-3
XXE,CWE-91,5,Family
XXE,CWE-91,5,tc-xxe-1
FPT,CWE-22,3,Family
FPT,CWE-22,4,tc-fpt-1
FPT,CWE-22,4,tc-fpt-2
FPT,CWE-22,2,tc-fpt-3
FPT,CWE-22,2,tc-fpt-4
Framework,CWE-209,2,App Exceptions
Framework,CWE-209,2,CSRF
Framework,CWE-209,3,SQLe
Unusual Input,CWE-138,3,Family
nullbyte,CWE-158,3,tc-nullbyte-1
retr,CWE-93 CWE-113,3,tc-retr-1
User Agent,,1,Family
User Agent,,1,UserAgentEmpty
Unusual Size,,1,Family
Unusual Size,,1,Request Size
Unusual Size,,1,Response Size
Unusual Size,CWE-943,1,Database Result Size
Error Code,CWE-389,1,Family
Error Code,CWE-389,1,HTTP 5xx
Error Code,CWE-389,1,HTTP 4xx
