oid,oid_description,category
"1.3.6.1.4.1.3375.2.3.10.1.2.1", "gtmTopItemEntry",
"1.3.6.1.4.1.8072.4.1", "netSnmpNotificationObjects",
"1.3.6.1.4.1.3375.2.3.6.6.3", "gtmPoolMbrStatTable",
"1.3.6.1.4.1.3375.2.2.9.6.3", "ltmTransAddrStatTable",
"1.3.6.1.4.1.3375.2.2.9.6.2", "ltmTransAddrStatNumber",
"1.3.6.1.4.1.3375.2.2.9.6.1", "ltmTransAddrStatResetStats",
"1.3.6.1.4.1.3375.2.2.6.29.5.2.1", "ltmAlgLogProfileEndDataElementsEntry",
"1.3.6.1.2.1.4.36.1.10", "ipv6ScopeZoneIndexA",
"1.3.6.1.2.1.4.36.1.13", "ipv6ScopeZoneIndexD",
"1.3.6.1.2.1.4.36.1.11", "ipv6ScopeZoneIndexB",
"1.3.6.1.2.1.4.36.1.12", "ipv6ScopeZoneIndexC",
"1.3.6.1.4.1.3375.2.3.11.4.2.1.1", "gtmVsStatusIpType",
"1.3.6.1.4.1.3375.2.2.8.2.2.1.3", "ltmRuleEventPriority",
"1.3.6.1.4.1.3375.2.2.8.2.2.1.4", "ltmRuleEventScript",
"1.3.6.1.4.1.3375.2.3.11.4.2.1.4", "gtmVsStatusAvailState",
"1.3.6.1.4.1.3375.2.2.8.2.2.1.1", "ltmRuleEventName",
"1.3.6.1.2.1.17.4.3.1.1", "dot1dTpFdbAddress",
"1.3.6.1.4.1.3375.2.3.11.4.2.1.5", "gtmVsStatusEnabledState",
"1.3.6.1.4.1.3375.2.2.8.2.2.1.2", "ltmRuleEventEventType",
"1.3.6.1.4.1.3375.2.3.11.4.2.1.2", "gtmVsStatusIp",
"1.3.6.1.2.1.17.4.3.1.3", "dot1dTpFdbStatus",
"1.3.6.1.4.1.3375.2.3.11.4.2.1.3", "gtmVsStatusPort",
"1.3.6.1.2.1.17.4.3.1.2", "dot1dTpFdbPort",
"1.3.6.1.4.1.3375.2.3.11.4.2.1.8", "gtmVsStatusVsName",
"1.3.6.1.4.1.3375.2.3.11.4.2.1.9", "gtmVsStatusServerName",
"1.3.6.1.4.1.3375.2.3.11.4.2.1.6", "gtmVsStatusParentType",
"1.3.6.1.4.1.3375.2.3.11.4.2.1.7", "gtmVsStatusDetailReason",
"1.3.6.1.2.1.104.1.3.1.16", "sctpAssocStartTime",
"1.3.6.1.4.1.8072.1.7.2.1", "nsLoggingTable",
"1.3.6.1.2.1.104.1.3.1.15", "sctpAssocRtxChunks",
"1.3.6.1.2.1.104.1.3.1.17", "sctpAssocDiscontinuityTime",
"1.3.6.1.2.1.104.1.3.1.10", "sctpAssocOutStreams",
"1.3.6.1.2.1.104.1.3.1.12", "sctpAssocPrimProcess",
"1.3.6.1.2.1.104.1.3.1.11", "sctpAssocMaxRetr",
"1.3.6.1.2.1.104.1.3.1.14", "sctpAssocT2expireds",
"1.3.6.1.2.1.104.1.3.1.13", "sctpAssocT1expireds",
"1.3.6.1.4.1.3375.2.1.1.2.9.15", "sysClientsslStatRecordsOut",
"1.3.6.1.4.1.3375.2.1.2.11.1.3", "sysDot3StatTable",
"1.3.6.1.4.1.3375.2.1.1.2.9.14", "sysClientsslStatRecordsIn",
"1.3.6.1.4.1.3375.2.1.2.11.1.2", "sysDot3StatNumber",
"1.3.6.1.4.1.3375.2.1.1.2.9.13", "sysClientsslStatDecryptedBytesOut",
"1.3.6.1.4.1.3375.2.1.1.2.9.12", "sysClientsslStatDecryptedBytesIn",
"1.3.6.1.4.1.3375.2.1.1.2.9.11", "sysClientsslStatEncryptedBytesOut",
"1.3.6.1.3.87.2.2.1", "ipv6UdpGroup",
"1.3.6.1.4.1.3375.2.1.1.2.9.10", "sysClientsslStatEncryptedBytesIn",
"1.3.6.1.4.1.3375.2.1.1.2.9.19", "sysClientsslStatPrematureDisconnects",
"1.3.6.1.4.1.3375.2.1.1.2.9.18", "sysClientsslStatNonHwAcceleratedConns",
"1.3.6.1.4.1.3375.2.1.1.2.9.17", "sysClientsslStatPartiallyHwAcceleratedConns",
"1.3.6.1.4.1.3375.2.1.2.11.1.1", "sysDot3StatResetStats",
"1.3.6.1.4.1.3375.2.1.1.2.9.16", "sysClientsslStatFullyHwAcceleratedConns",
"1.3.6.1.2.1.74.2.1.1", "agentxMIBGroup",
"1.3.6.1.4.1.3375.2.3.13.2.3.1.1", "gtmProberPoolStatName",
"1.3.6.1.4.1.3375.2.3.13.2.3.1.2", "gtmProberPoolStatTotalProbes",
"1.3.6.1.4.1.3375.2.3.13.2.3.1.3", "gtmProberPoolStatSuccessfulProbes",
"1.3.6.1.4.1.3375.2.2.14.2.2", "ltmLsnPoolTable",
"1.3.6.1.4.1.3375.2.3.13.2.3.1.4", "gtmProberPoolStatFailedProbes",
"1.3.6.1.4.1.3375.2.2.14.2.1", "ltmLsnPoolNumber",
"1.3.6.1.4.1.3375.2.1.1.2.9.26", "sysClientsslStatPeercertValid",
"1.3.6.1.4.1.3375.2.1.1.2.9.25", "sysClientsslStatSessCacheInvalidations",
"1.3.6.1.4.1.3375.2.1.1.2.9.24", "sysClientsslStatSessCacheOverflows",
"1.3.6.1.4.1.3375.2.1.1.2.9.23", "sysClientsslStatSessCacheLookups",
"1.3.6.1.4.1.3375.2.1.1.2.9.22", "sysClientsslStatSessCacheHits",
"1.3.6.1.4.1.3375.2.1.1.2.9.21", "sysClientsslStatSessCacheCurEntries",
"1.3.6.1.4.1.3375.2.1.1.2.9.20", "sysClientsslStatMidstreamRenegotiations",
"1.3.6.1.4.1.3375.2.1.1.2.9.29", "sysClientsslStatHandshakeFailures",
"1.3.6.1.4.1.3375.2.1.1.2.9.28", "sysClientsslStatPeercertNone",
"1.3.6.1.4.1.3375.2.1.1.2.9.27", "sysClientsslStatPeercertInvalid",
"1.3.6.1.2.1.104.1.2.1", "sctpRtoAlgorithm",
"1.3.6.1.2.1.104.1.2.2", "sctpRtoMin",
"1.3.6.1.2.1.104.1.2.3", "sctpRtoMax",
"1.3.6.1.2.1.104.1.2.4", "sctpRtoInitial",
"1.3.6.1.2.1.104.1.2.5", "sctpMaxAssocs",
"1.3.6.1.2.1.104.1.2.6", "sctpValCookieLife",
"1.3.6.1.2.1.104.1.2.7", "sctpMaxInitRetr",
"1.3.6.1.4.1.3375.2.1.1.2.9.37", "sysClientsslStatDhRsaKeyxchg",
"1.3.6.1.4.1.3375.2.1.1.2.9.36", "sysClientsslStatDhDssKeyxchg",
"1.3.6.1.4.1.3375.2.2.1.5.2", "ltmFwRuleStatTable",
"1.3.6.1.4.1.3375.2.1.1.2.9.35", "sysClientsslStatAdhKeyxchg",
"1.3.6.1.4.1.3375.2.2.6.25.1.2.1.9", "ltmSpdyProfileConnectionIdleTimeout",
"1.3.6.1.4.1.3375.2.1.1.2.9.34", "sysClientsslStatTlsv1",
"1.3.6.1.4.1.3375.2.2.6.25.1.2.1.8", "ltmSpdyProfileConcurrentStreamsPerConnection",
"1.3.6.1.4.1.3375.2.1.1.2.9.33", "sysClientsslStatSslv3",
"1.3.6.1.4.1.3375.2.2.6.25.1.2.1.7", "ltmSpdyProfileInsertHeaderName",
"1.3.6.1.4.1.3375.2.1.1.2.9.32", "sysClientsslStatSslv2",
"1.3.6.1.4.1.3375.2.2.6.25.1.2.1.6", "ltmSpdyProfileInsertHeader",
"1.3.6.1.4.1.3375.2.1.1.2.9.31", "sysClientsslStatFatalAlerts",
"1.3.6.1.4.1.3375.2.2.6.25.1.2.1.5", "ltmSpdyProfilePriorityHandling",
"1.3.6.1.4.1.3375.2.1.1.2.9.30", "sysClientsslStatBadRecords",
"1.3.6.1.4.1.3375.2.2.1.5.1", "ltmFwRuleStatNumber",
"1.3.6.1.4.1.3375.2.1.1.2.9.39", "sysClientsslStatEdhDssKeyxchg",
"1.3.6.1.4.1.3375.2.1.1.2.9.38", "sysClientsslStatDssKeyxchg",
"1.3.6.1.4.1.3375.2.1.13.5.2.1.2", "sysVcmpAssignedSlotsIndex",
"1.3.6.1.4.1.3375.2.1.13.5.2.1.1", "sysVcmpAssignedSlotsName",
"1.3.6.1.4.1.3375.2.1.13.5.2.1.3", "sysVcmpAssignedSlotsSlotId",
"1.3.6.1.4.1.3375.2.2.6.25.1.2.1.4", "ltmSpdyProfileActivationMode",
"1.3.6.1.4.1.3375.2.2.6.25.1.2.1.3", "ltmSpdyProfileDefaultName",
"1.3.6.1.4.1.3375.2.2.6.25.1.2.1.2", "ltmSpdyProfileConfigSource",
"1.3.6.1.4.1.3375.2.2.6.25.1.2.1.1", "ltmSpdyProfileName",
"1.3.6.1.4.1.3375.2.1.1.2.9.48", "sysClientsslStatMd5Digest",
"1.3.6.1.4.1.3375.2.1.1.2.9.47", "sysClientsslStatNullDigest",
"1.3.6.1.4.1.3375.2.1.1.2.9.46", "sysClientsslStatRc4Bulk",
"1.3.6.1.4.1.3375.2.1.2.11.1.3.1.17", "sysDot3StatCollisionFreq",
"1.3.6.1.4.1.3375.2.1.1.2.9.45", "sysClientsslStatRc2Bulk",
"1.3.6.1.4.1.3375.2.1.1.2.9.44", "sysClientsslStatIdeaBulk",
"1.3.6.1.4.1.3375.2.1.1.2.9.43", "sysClientsslStatDesBulk",
"1.3.6.1.4.1.3375.2.1.1.2.9.42", "sysClientsslStatAesBulk",
"1.3.6.1.4.1.3375.2.1.1.2.9.41", "sysClientsslStatNullBulk",
"1.3.6.1.4.1.3375.2.1.2.11.1.3.1.11", "sysDot3StatCarrierSenseErrors",
