Driver,driver_id
Michael Schumacher,d1
Juan Manuel Fangio,d2
Alain Prost,d3
Sebastian Vettel,d4
Jack Brabham,d5
Jackie Stewart,d6
Niki Lauda,d7
Nelson Piquet,d8
Ayrton Senna,d9
Lewis Hamilton,d10
Alberto Ascari,d11
Graham Hill,d12
Jim Clark,d13
Emerson Fittipaldi,d14
Mika HÃ¤kkinen,d15
Fernando Alonso,d16
Giuseppe Farina,d17
Mike Hawthorn,d18
Phil Hill,d19
John Surtees,d20
Denny Hulme,d21
Jochen Rindt,d22
James Hunt,d23
Mario Andretti,d24
Jody Scheckter,d25
Alan Jones,d26
Keke Rosberg,d27
Nigel Mansell,d28
Damon Hill,d29
Jacques Villeneuve,d30
Kimi Räikkönen,d31
Jenson Button,d32
Nico Rosberg,d33
