id,error,description
0x1,TP_ERR_AUTH_FAILED,Client presented an invalid TEAM credential
0x2,TP_ERR_AUTH_ERROR,"Couldn't send TEAM request to client, error in tunnel auth exchange, or error in PS auth exchange"
0x3,TP_ERR_PROTOCOL_VERSION_MISMATCH,Tunnel protocol at client is below minimum supported by appliance
0x4,TP_ERR_INVALID_MESSAGE,"TP error, or unsupported feature requested"
0x5,TP_ERR_TIMEDOUT,Session sat idle longer than allowed by configuration or defaults
0x6,TP_ERR_CLIENT_VIP,Tunnel pools have no addresses available
0x7,TP_ERR_AUTHORIZATION_FAILED,Authorization failed
0x8,TP_ERR_AUTHORIZATION_ERROR,Authorization error
0x9,TP_ERR_SYSTEM,No tunnel internal address (bad cfg); realm_list (shouldn't happen) problem; client rejected resource list
0xa,TP_ERR_CLIENT_VERSION_MISMATCH,Client version mismatch
0xb,TP_ERR_ADDRESS_CONFLICT,All available tunnel pool addresses conflict with the client's networking environment in fatal ways
0xc,TP_ERR_RESUME,Special error to client indicating it should attempt a resume immediately
0xd,TP_ERR_TEAM_EXPIRED,Team ID expired
0xffffffff,EPERM,Operation not permitted
0xfffffffe,ENOENT,No such file or directory
0xfffffffd,ESRCH,No such process
0xfffffffc,EINTR,Interrupted system call
0xfffffffb,EIO,I/O error
0xfffffffa,ENXIO,No such device or address
0xfffffff9,E2BIG,Argument list too long
0xfffffff8,ENOEXEC,Exec format error
0xfffffff7,EBADF,Bad file number
0xfffffff6,ECHILD,No child processes
0xfffffff5,EAGAIN,Try again
0xfffffff4,ENOMEM,Out of memory
0xfffffff3,EACCES,Permission denied
0xfffffff2,EFAULT,Bad address
0xfffffff1,ENOTBLK,Block device required
0xfffffff0,EBUSY,Device or resource busy
0xffffffef,EEXIST,File exists
0xffffffee,EXDEV,Cross-device link
0xffffffed,ENODEV,No such device
0xffffffec,ENOTDIR,Not a directory
0xffffffeb,EISDIR,Is a directory
0xffffffea,EINVAL,Invalid argument
0xffffffe9,ENFILE,File table overflow
0xffffffe8,EMFILE,Too many open files
0xffffffe7,ENOTTY,Not a typewriter
0xffffffe6,ETXTBSY,Text file busy
0xffffffe5,EFBIG,File too large
0xffffffe4,ENOSPC,No space left on device
0xffffffe3,ESPIPE,Illegal seek
0xffffffe2,EROFS,Read-only file system
0xffffffe1,EMLINK,Too many links
0xffffffe0,EPIPE,Broken pipe
0xffffffdf,EDOM,Math argument out of domain of func
0xffffffde,ERANGE,Math result not representable
0xffffffdd,EDEADLK,Resource deadlock would occur
0xffffffdc,ENAMETOOLONG,File name too long
0xffffffdb,ENOLCK,No record locks available
0xffffffda,ENOSYS,Invalid system call number
0xffffffd9,ENOTEMPTY,Directory not empty
0xffffffd8,ELOOP,Too many symbolic links encountered
0xffffffd6,ENOMSG,No message of desired type
0xffffffd5,EIDRM,Identifier removed
0xffffffd4,ECHRNG,Channel number out of range
0xffffffd3,EL2NSYNC,Level 2 not synchronized
0xffffffd2,EL3HLT,Level 3 halted
0xffffffd1,EL3RST,Level 3 reset
0xffffffd0,ELNRNG,Link number out of range
0xffffffcf,EUNATCH,Protocol driver not attached
0xffffffce,ENOCSI,No CSI structure available
0xffffffcd,EL2HLT,Level 2 halted
0xffffffcc,EBADE,Invalid exchange
0xffffffcb,EBADR,Invalid request descriptor
0xffffffca,EXFULL,Exchange full
0xffffffc9,ENOANO,No anode
0xffffffc8,EBADRQC,Invalid request code
0xffffffc7,EBADSLT,Invalid slot
0xffffffc5,EBFONT,Bad font file format
