expected_length,suffix
2,ac
3,com.ac
3,edu.ac
3,gov.ac
3,net.ac
3,mil.ac
3,org.ac
2,ad
3,nom.ad
2,ae
3,co.ae
3,net.ae
3,org.ae
3,sch.ae
3,ac.ae
3,gov.ae
3,mil.ae
2,aero
3,accident-investigation.aero
3,accident-prevention.aero
3,aerobatic.aero
3,aeroclub.aero
3,aerodrome.aero
3,agents.aero
3,aircraft.aero
3,airline.aero
3,airport.aero
3,air-surveillance.aero
3,airtraffic.aero
3,air-traffic-control.aero
3,ambulance.aero
3,amusement.aero
3,association.aero
3,author.aero
3,ballooning.aero
3,broker.aero
3,caa.aero
3,cargo.aero
3,catering.aero
3,certification.aero
3,championship.aero
3,charter.aero
3,civilaviation.aero
3,club.aero
3,conference.aero
3,consultant.aero
3,consulting.aero
3,control.aero
3,council.aero
3,crew.aero
3,design.aero
3,dgca.aero
3,educator.aero
3,emergency.aero
3,engine.aero
3,engineer.aero
3,entertainment.aero
3,equipment.aero
3,exchange.aero
3,express.aero
3,federation.aero
3,flight.aero
3,freight.aero
3,fuel.aero
3,gliding.aero
3,government.aero
3,groundhandling.aero
3,group.aero
3,hanggliding.aero
3,homebuilt.aero
3,insurance.aero
3,journal.aero
3,journalist.aero
3,leasing.aero
3,logistics.aero
3,magazine.aero
3,maintenance.aero
3,media.aero
3,microlight.aero
3,modelling.aero
3,navigation.aero
3,parachuting.aero
3,paragliding.aero
3,passenger-association.aero
3,pilot.aero
3,press.aero
3,production.aero
3,recreation.aero
3,repbody.aero
3,res.aero
3,research.aero
3,rotorcraft.aero
3,safety.aero
3,scientist.aero
3,services.aero
3,show.aero
3,skydiving.aero
3,software.aero
3,student.aero
3,trader.aero
3,trading.aero
3,trainer.aero
3,union.aero
3,workinggroup.aero
3,works.aero
2,af
3,gov.af
3,com.af
3,org.af
3,net.af
3,edu.af
2,ag
3,com.ag
3,org.ag
3,net.ag
3,co.ag
3,nom.ag
2,ai
3,off.ai
3,com.ai
3,net.ai
3,org.ai
2,al
3,com.al
3,edu.al
3,gov.al
3,mil.al
3,net.al
3,org.al
2,am
2,ao
3,ed.ao
3,gv.ao
3,og.ao
3,co.ao
3,pb.ao
3,it.ao
2,aq
2,ar
3,com.ar
3,edu.ar
3,gob.ar
3,gov.ar
3,int.ar
3,mil.ar
3,net.ar
3,org.ar
3,tur.ar
2,arpa
3,e164.arpa
3,in-addr.arpa
3,ip6.arpa
3,iris.arpa
3,uri.arpa
3,urn.arpa
2,as
3,gov.as
2,asia
2,at
3,ac.at
3,co.at
3,gv.at
3,or.at
2,au
3,com.au
3,net.au
3,org.au
3,edu.au
3,gov.au
3,asn.au
3,id.au
3,info.au
3,conf.au
3,oz.au
3,act.au
3,nsw.au
3,nt.au
3,qld.au
3,sa.au
3,tas.au
3,vic.au
3,wa.au
4,act.edu.au
4,nsw.edu.au
4,nt.edu.au
4,qld.edu.au
4,sa.edu.au
4,tas.edu.au
4,vic.edu.au
4,wa.edu.au
4,qld.gov.au
4,sa.gov.au
4,tas.gov.au
4,vic.gov.au
4,wa.gov.au
2,aw
3,com.aw
2,ax
2,az
3,com.az
3,net.az
3,int.az
3,gov.az
3,org.az
3,edu.az
3,info.az
3,pp.az
3,mil.az
3,name.az
3,pro.az
3,biz.az
2,ba
3,org.ba
3,net.ba
3,edu.ba
3,gov.ba
3,mil.ba
3,unsa.ba
3,unbi.ba
3,co.ba
3,com.ba
3,rs.ba
2,bb
3,biz.bb
3,co.bb
3,com.bb
3,edu.bb
3,gov.bb
3,info.bb
3,net.bb
3,org.bb
3,store.bb
3,tv.bb
3,*.bd
2,be
3,ac.be
2,bf
3,gov.bf
2,bg
3,a.bg
3,b.bg
3,c.bg
3,d.bg
3,e.bg
3,f.bg
3,g.bg
3,h.bg
3,i.bg
3,j.bg
3,k.bg
3,l.bg
3,m.bg
3,n.bg
3,o.bg
3,p.bg
3,q.bg
3,r.bg
3,s.bg
3,t.bg
3,u.bg
3,v.bg
3,w.bg
3,x.bg
3,y.bg
3,z.bg
3,0.bg
3,1.bg
3,2.bg
3,3.bg
3,4.bg
3,5.bg
3,6.bg
3,7.bg
3,8.bg
3,9.bg
2,bh
3,com.bh
3,edu.bh
3,net.bh
3,org.bh
3,gov.bh
2,bi
3,co.bi
3,com.bi
3,edu.bi
3,or.bi
3,org.bi
2,biz
2,bj
3,asso.bj
3,barreau.bj
3,gouv.bj
2,bm
3,com.bm
3,edu.bm
3,gov.bm
3,net.bm
3,org.bm
3,*.bn
2,bo
3,com.bo
3,edu.bo
3,gov.bo
3,gob.bo
3,int.bo
3,org.bo
3,net.bo
3,mil.bo
3,tv.bo
2,br
3,adm.br
3,adv.br
3,agr.br
3,am.br
3,arq.br
3,art.br
3,ato.br
3,b.br
3,bio.br
3,blog.br
3,bmd.br
3,cim.br
3,cng.br
3,cnt.br
3,com.br
3,coop.br
3,ecn.br
3,eco.br
3,edu.br
3,emp.br
3,eng.br
3,esp.br
3,etc.br
3,eti.br
3,far.br
3,flog.br
3,fm.br
3,fnd.br
3,fot.br
3,fst.br
3,g12.br
3,ggf.br
3,gov.br
3,imb.br
3,ind.br
3,inf.br
3,jor.br
3,jus.br
3,leg.br
3,lel.br
3,mat.br
3,med.br
3,mil.br
3,mp.br
3,mus.br
3,net.br
4,*.nom.br
3,not.br
3,ntr.br
3,odo.br
3,org.br
3,ppg.br
3,pro.br
3,psc.br
3,psi.br
3,qsl.br
3,radio.br
3,rec.br
3,slg.br
3,srv.br
3,taxi.br
3,teo.br
3,tmp.br
3,trd.br
3,tur.br
3,tv.br
3,vet.br
3,vlog.br
3,wiki.br
3,zlg.br
2,bs
3,com.bs
3,net.bs
3,org.bs
3,edu.bs
3,gov.bs
2,bt
3,com.bt
3,edu.bt
3,gov.bt
3,net.bt
3,org.bt
2,bv
2,bw
3,co.bw
3,org.bw
2,by
3,gov.by
3,mil.by
3,com.by
3,of.by
2,bz
3,com.bz
3,net.bz
3,org.bz
3,edu.bz
3,gov.bz
2,ca
3,ab.ca
3,bc.ca
3,mb.ca
3,nb.ca
3,nf.ca
3,nl.ca
3,ns.ca
3,nt.ca
3,nu.ca
3,on.ca
3,pe.ca
3,qc.ca
3,sk.ca
3,yk.ca
3,gc.ca
2,cat
2,cc
2,cd
3,gov.cd
2,cf
2,cg
2,ch
2,ci
3,org.ci
3,or.ci
3,com.ci
3,co.ci
3,edu.ci
3,ed.ci
3,ac.ci
3,net.ci
3,go.ci
3,asso.ci
3,aéroport.ci
3,int.ci
3,presse.ci
3,md.ci
3,gouv.ci
3,*.ck
3,!www.ck
2,cl
3,gov.cl
3,gob.cl
3,co.cl
3,mil.cl
2,cm
3,co.cm
3,com.cm
3,gov.cm
3,net.cm
2,cn
3,ac.cn
3,com.cn
3,edu.cn
3,gov.cn
3,net.cn
3,org.cn
3,mil.cn
3,公司.cn
3,网络.cn
3,網絡.cn
3,ah.cn
3,bj.cn
3,cq.cn
3,fj.cn
3,gd.cn
3,gs.cn
3,gz.cn
3,gx.cn
3,ha.cn
3,hb.cn
3,he.cn
3,hi.cn
3,hl.cn
3,hn.cn
3,jl.cn
3,js.cn
3,jx.cn
3,ln.cn
3,nm.cn
3,nx.cn
3,qh.cn
3,sc.cn
3,sd.cn
3,sh.cn
3,sn.cn
3,sx.cn
3,tj.cn
3,xj.cn
3,xz.cn
3,yn.cn
3,zj.cn
3,hk.cn
3,mo.cn
3,tw.cn
2,co
3,arts.co
3,com.co
3,edu.co
3,firm.co
3,gov.co
3,info.co
3,int.co
3,mil.co
3,net.co
3,nom.co
3,org.co
3,rec.co
3,web.co
2,com
2,coop
2,cr
3,ac.cr
3,co.cr
3,ed.cr
3,fi.cr
3,go.cr
3,or.cr
3,sa.cr
2,cu
3,com.cu
3,edu.cu
3,org.cu
3,net.cu
3,gov.cu
3,inf.cu
2,cv
2,cw
3,com.cw
3,edu.cw
3,net.cw
3,org.cw
2,cx
3,gov.cx
3,ac.cy
3,biz.cy
3,com.cy
3,ekloges.cy
3,gov.cy
3,ltd.cy
3,name.cy
