model,category
Alerts,security
Authentication,security
Certificates,security
Change,"security, operational"
Compute_Inventory,operational
DLP,security
Data_Access,security
Databases,operational
Email,"security, operational"
Endpoint,security
Event_Signatures,security
Interprocess_Messaging,operational
Intrusion_Detection,security
JVM,operational
Malware,security
Network_Resolution,"security, operational"
Network_Sessions,"security, operational"
Network_Traffic,"security, operational"
Performance,operational
Splunk_Audit,operational
Splunk_CIM_Validation,operational
Ticket_Management,operational
Updates,"security, operational"
Vulnerabilities,security
Web,"security, operational"
