url_category_number,category
-10,内部エラー
-9,上位プロキシ接続エラー
-8,上位プロキシ接続タイムアウト
-7,DNSエラー
-6,サーバー接続エラー
-5,サーバー接続タイムアウト
-4,認証エラー
-3,SSLセッション自動切断
-1,許可アクセス / カテゴリ外※
1,ホワイトリストモード
2,インターネットOFFモード
3,Webサービス
4,ルール参照エラー
5,ブロック解除中アクセス
6,パスワードエラー
7,ブロック解除制限
8,HTTPSデコード警告
9,HTTPSデコード警告解除
10,HTTPS証明書警告
11,HTTPS証明書警告解除
12,HTTPSクライアント証明書通知
13,HTTPSクライアント証明書通知解除　　
14,CAPTCHA認証ブロック
15,CAPTCHA認証解除エラー
16,CAPTCHA認証解除制限
18,IPアドレスによるURLホスト表記
19,URLリスト
20,リクエスト転送サイズ
21,検索単語
22,POST単語
23,レスポンス転送サイズ
24,PICSスキャン
25,ページスキャン
26,コンテンツフィルター
27,禁止アクセス
33,ポルノ・アダルトサイト
34,ヌード・アダルトグッズ
35,グラビア・写真集
36,性教育・性の話題
37,暴力・猟奇描写
38,犯罪・武器凶器
39,麻薬・薬品薬物
40,カルト・テロリズム
41,ハッキング・クラッキング
42,不正プログラム配布・リンク集
43,違法ソフト・反社会行為
44,フィッシング詐欺
45,クラッシャーサイト
46,ギャンブル
47,懸賞・くじ
48,アルコール・タバコ
49,宗教
50,求人情報
51,コンピューターサプライ
52,オフィスサプライ
53,消費者金融・個人ローン
54,不動産
55,結婚相談・斡旋
56,出会い
57,Webメール
58,自殺
59,家出
60,チャット
61,メールマガジン
62,会員向け掲示板
63,ソーシャルブックマーク
64,IT情報掲示板
65,芸能
66,映画・演劇
67,音楽
68,TV・ラジオ
69,漫画・アニメ
70,ゲーム
71,スポーツ
72,占い・超常現象
73,電子書籍・小説投稿サイト
74,旅行・観光
75,ホテル・宿泊施設
76,アミューズメント施設
77,旅客鉄道
78,グルメ・飲食店
79,レシピ
80,ライブカメラ
81,オンライントレード
82,インターネットバンキング
83,金融・投資情報
84,保険商品
85,オンラインストレージ
86,法人向けオンラインストレージ
87,動画配信
88,音楽配信
89,オークション
90,オンラインショッピング
91,ポイントサービス
92,クーポン総合サイト
93,クレジットカード・オンライン決済・電子マネー
94,健康・美容・ファッション
95,冠婚葬祭
96,ペット・動物
97,乗り物
98,誹謗・中傷
99,主張
100,いたずら
101,ニュース
102,画像・動画検索エンジン
103,辞書・百科事典
104,地図・位置情報
105,天気・災害情報
106,掲示板
107,SNS
108,ブログ
109,運動場・競技場
110,病院・医療・介護
111,美術館・博物館・図書館
112,タウン情報
113,メッセンジャー
114,インターネット電話
115,P2Pファイル共有
116,スケジューラー
117,リモートアクセス
118,オンライン会議
119,グループウェア
120,RSSリーダー
121,Webアプリケーション
122,ビジネス向けWebアプリケーション　　　
123,総合ソフトウェアダウンロード
124,趣味・同好
125,ポータル
126,検索エンジン
127,アップローダー
128,迷惑メールリンク
129,製品サポート・修正プログラム
130,Web翻訳・URL変換
131,テキスト翻訳
132,プロキシ情報
133,プロバイダー
134,ホスティング
135,ダイナミックDNS
136,広告・バナー
137,政府・自治体
138,軍事・防衛関連
139,政治・政治家
140,学校・教育施設
141,上場企業
150,企業・ビジネス・業界団体
151,IT情報・サービス
152,脅威情報サイト
153,コンテンツサーバー
154,緊急
155,特殊
170,プライベートネットワーク
195,表示(Test Board / Info Board)
196,確認(Test Board / Info Board)
200,共通リスト：優先ブラックリスト
201,共通リスト：ブラック除外リスト
202,共通リスト:ブラックリスト(カテゴリ1)
203,共通リスト:ブラックリスト(カテゴリ2)
204,共通リスト:ブラックリスト(カテゴリ3)
205,個別リスト:優先ブラックリスト
206,個別リスト:ブラック除外リスト
207,個別リスト:ブラックリスト(カテゴリ1)
208,個別リスト:ブラックリスト(カテゴリ2)
209,個別リスト:ブラックリスト(カテゴリ3)
210,共通リスト:検索単語
211,共通リスト:POST単語
212,共通リスト:コンテンツ単語
213,個別リスト:検索単語
214,個別リスト:POST単語
215,個別リスト:コンテンツ単語
250,利用時間制限
260,カテゴリ外フィルター
270,隔離対象
271,隔離中アクセス
280,推奨フィルター
300,ICAPサーバー接続エラー(REQMOD)
301,ICAPサーバー受信エラー(REQMOD)
302,ICAPサーバー通信エラー(REQMOD)
303,ICAPスキャンエラー(アップロード)
304,破損ファイル(アップロード)
305,ICAPスキャン不能(アップロード)
306,未知のウイルスの疑い(アップロード)
307,疑わしいファイル(アップロード)
308,ウイルス駆除(アップロード)
309,ウイルス感染検出(アップロード)
310,ICAPスキャン(リクエスト)
320,ICAPサーバー接続エラー(RESPMOD)
321,ICAPサーバー受信エラー(RESPMOD)
322,ICAPサーバー通信エラー(RESPMOD)
323,ICAPスキャンエラー(ダウンロード)
324,破損ファイル(ダウンロード)
325,ICAPスキャン不能(ダウンロード)
326,未知のウイルスの疑い(ダウンロード)
327,疑わしいファイル(ダウンロード)
328,ウイルス駆除(ダウンロード)
329,ウイルス感染検出(ダウンロード)
330,ICAPスキャン(レスポンス)
400,m-FILTER連携
