"_time",OTHER,dockerd,java,kubectl,"kworker/1:0","kworker/1:1","kworker/1:2",mongod,python,"rcu_sched",splunkd
"2018-03-12T15:47:20.000-0400",,,,,,,,,,,
"2018-03-12T15:47:30.000-0400","0.3","1.2","0.4","0.0","0.3",,"0.6","1.6","12.3","0.7","64.1"
"2018-03-12T15:47:40.000-0400",,,,,,,,,,,
"2018-03-12T15:47:50.000-0400",,,,,,,,,,,
"2018-03-12T15:48:00.000-0400","0.3","1.2","0.4","0.0","0.3",,"0.6","1.6","7.1","0.7","63.5"
"2018-03-12T15:48:10.000-0400",,,,,,,,,,,
"2018-03-12T15:48:20.000-0400",,,,,,,,,,,
"2018-03-12T15:48:30.000-0400","0.3","1.2","0.4","0.0","0.3",,"0.6","1.6","6.4","0.7","63.0"
"2018-03-12T15:48:40.000-0400",,,,,,,,,,,
"2018-03-12T15:48:50.000-0400",,,,,,,,,,,
"2018-03-12T15:49:00.000-0400","0.3","1.2","0.4","0.0","0.3","0.5","0.6","1.6","6.1","0.7","81.0"
"2018-03-12T15:49:10.000-0400",,,,,,,,,,,
"2018-03-12T15:49:20.000-0400",,,,,,,,,,,
"2018-03-12T15:49:30.000-0400","0.3","1.2","0.4","0.0","0.3","0.6","0.6","1.6","6.0","0.7","62.6"
"2018-03-12T15:49:40.000-0400",,,,,,,,,,,
"2018-03-12T15:49:50.000-0400",,,,,,,,,,,
"2018-03-12T15:50:00.000-0400","0.3","1.2","0.4","0.0","0.3","0.6","0.5","1.6","5.9","0.7","83.0"
"2018-03-12T15:50:10.000-0400",,,,,,,,,,,
"2018-03-12T15:50:20.000-0400",,,,,,,,,,,
"2018-03-12T15:50:30.000-0400","0.3","1.2","0.4","0.0","0.2","0.6","0.5","1.6","5.8","0.7","61.9"
"2018-03-12T15:50:40.000-0400",,,,,,,,,,,
"2018-03-12T15:50:50.000-0400",,,,,,,,,,,
"2018-03-12T15:51:00.000-0400","0.3","1.2","0.4","0.0","0.2","0.6","0.5","1.6","5.8","0.7","61.9"
"2018-03-12T15:51:10.000-0400",,,,,,,,,,,
"2018-03-12T15:51:20.000-0400",,,,,,,,,,,
"2018-03-12T15:51:30.000-0400","0.3","1.2","0.4","0.0","0.2","0.6","0.5","1.6","5.7","0.7","61.7"
"2018-03-12T15:51:40.000-0400",,,,,,,,,,,
"2018-03-12T15:51:50.000-0400",,,,,,,,,,,
"2018-03-12T15:52:00.000-0400","0.3","1.2","0.4","0.0","0.2","0.6","0.4","1.6","5.6","0.7","61.7"
"2018-03-12T15:52:10.000-0400",,,,,,,,,,,
"2018-03-12T15:52:20.000-0400",,,,,,,,,,,
