SEVERITY,NAME,DESCRIPTION
7,Dynamic ABAP Code Event,"ABAP code was dynamically created, executed, modified or deleted in the system. Source: Security Audit Log. Event: BU4"
7,ABAP Debugging,A manually caught process was stopped from within the Debugger. Source: Security Audit Log. Event: CUN CUO CUP
2,Users with critical profiles,Users with critical profiles have been detected
3,Errors in CCDB stores,Errors have been detected for some of the CCDB stores of the technical system
7,Expiring ABAP Certificates,Some ABAP certificates have expired or will expire soon
8,Failed ABAP transports,Failed ABAP transports have been detected
9,Global changes allowed,The system change option is set to Modifiable. For productive systems SAP recommends to set this parameter to Not Modifiable
8,ABAP system not available,The ABAP system did not respond to availability checks
8,Active Vulnerable ICF Services,ICF services with known security vulnerabilities are activated in the system.  Active services should be deactivated using transaction SICF
8,New Admin User Created,A user was assigned to the ADMIN or SUPER user group. Source: Security Audit Log. Event: /L7S/ADMIN_CREATED 
8,RFC Call for ANST_CHANGE_PARAMETER,There was a successful RFC call for the function module ANST_CHANGE_PARAMETER. The RFM is often called by attackers to access maintain system settings. Source: Security Audit Log. Event: AUK
8,Application Server Stopped,The application server was stopped. This will interrupt the availability of the SAP system. Review the system log to determine the root cause of the stoppage. Source: Security Audit Log. Event: AUH
6,RFC Call for ARFC_EXECUTE,There was a successful RFC call for the function module ARFC_EXECUTE. The RFM is often called by attackers to execute malicious commands or programs. Source: Security Audit Log. Event: AUK
8,Audit Configuration Changed,The configuration of the Security Audit Log was modified. Run transaction SM19 to display the username responsible for the last change to the audit profile. Source: Security Audit Log. Event: AUE
6,Audit Data Deleted,Audit log data was deleted. Source: Security Audit Log. Event: EU5
7,Audit Filter Changed,"An audit filter was modified in the Security Audit Log. Event ID AUF includes details of the relevant audit slot and changes including the client and user settings for the filter. To view full details of the classes and event IDs that were impacted by the change, navigate to the Detail View for the event in the Security Audit Log using transaction SM20"
8,Audit Status,The status of the Security Audit Log was modified. Review the event text to determine if logging was activated (1) or deactivated (0). Source: Security Audit Log. Event: AUJ FU0
8,RFC Call for BAPI_USER_CREATE,There was a successful RFC call for the function module BAPI_USER_CREATE. The RFM is often called by attackers to perform user administration. Source: Security Audit Log. Event: AUK
8,RFC Call for BAPI_USER_CREATE1,There was a successful RFC call for the function module BAPI_USER_CREATE1. The RFM is often called by attackers to perform user administration. Source: Security Audit Log. Event: AUK
8,RFC Call for BAPI_USER_DELETE,There was a successful RFC call for the function module BAPI_USER_DELETE. The RFM is often called by attackers to perform user administration. Source: Security Audit Log. Event: AUK
8,Unauthorized RFC Destination Created,An RFC destination was created without approval. This can allow outbound connections or command execution paths. Source: Security Audit Log
9,User Assigned SAP_ALL,High-risk authorization profile SAP_ALL was assigned to a user. Immediate review required. Source: Security Audit Log
7,Password Policy Weakened,Password complexity or length policy was reduced. Increases brute-force risk. Source: Security Audit Log
8,Security Audit Log Disabled,Security Audit Log was deactivated. This reduces detection capability and may indicate tampering. Source: Security Audit Log
8,Critical Authorization Object Changed,Authorization objects were modified affecting access control. Source: Security Audit Log
7,Multiple Failed Logons Detected,Multiple consecutive logon failures observed for one or more users. Source: Security Audit Log
9,Background Job Modified,Critical background job definition was modified. May impact system integrity. Source: Security Audit Log
8,Transport Imported into Production,Transport request imported into production system. Validate change approval. Source: Security Audit Log
7,Table Logging Disabled,Table logging/auditing setting was disabled. Source: Security Audit Log
8,New Dialog User Created,A new dialog user was created. Validate request and assigned roles. Source: Security Audit Log
7,External RFC Gateway Access Enabled,External access to RFC gateway was enabled or expanded. Source: Security Audit Log
8,Client Copy Attempt Detected,A client copy attempt was initiated. Validate the initiator and scope. Source: Security Audit Log
9,Unauthorized User Lock/Unlock,A privileged user account was locked/unlocked without approval. Source: Security Audit Log
7,SNC Configuration Changed,SNC settings changed (encryption/authentication). Validate secure communication posture. Source: Security Audit Log
8,System Parameter Reset,System parameters were reset/changed. Review affected security parameters. Source: Security Audit Log
