binary_name
acccheckconsole.exe
adplus.exe
advpack.dll
agentexecutor.exe
appinstaller.exe
appvlp.exe
aspnet_compiler.exe
atbroker.exe
at.exe
bash.exe
bginfo.exe
bitsadmin.exe
cdb.exe
certoc.exe
certreq.exe
certutil.exe
cl_invocation.ps1
cl_loadassembly.ps1
cl_mutexverifiers.ps1
cmd.exe
cmdkey.exe
cmdl32.exe
cmstp.exe
comsvcs.dll
configsecuritypolicy.exe
conhost.exe
control.exe
coregen.exe
csc.exe
cscript.exe
csi.exe
datasvcutil.exe
defaultpack.exe
desk.cpl
desktopimgdownldr.exe
devtoolslauncher.exe
dfshim.dll
dfsvc.exe
diantz.exe
diskshadow.exe
dllhost.exe
dnscmd.exe
dnx.exe
dotnet.exe
dump64.exe
dxcap.exe
esentutl.exe
eventvwr.exe
excel.exe
expand.exe
explorer.exe
extexport.exe
extrac32.exe
findstr.exe
finger.exe
fltmc.exe
forfiles.exe
fsianycpu.exe
fsi.exe
ftp.exe
gfxdownloadwrapper.exe
gpscript.exe
hh.exe
ie4uinit.exe
ieadvpack.dll
ieexec.exe
ieframe.dll
ilasm.exe
imewdbld.exe
infdefaultinstall.exe
installutil.exe
jsc.exe
makecab.exe
manage-bde.wsf
mavinject.exe
mftrace.exe
microsoft.workflow.compiler.exe
mmc.exe
mpcmdrun.exe
msbuild.exe
msconfig.exe
msdeploy.exe
msdt.exe
mshta.exe
mshtml.dll
msiexec.exe
msxsl.exe
netsh.exe
ntdsutil.exe
odbcconf.exe
offlinescannershell.exe
onedrivestandaloneupdater.exe
pcalua.exe
pcwrun.exe
pcwutl.dll
pester.bat
pktmon.exe
pnputil.exe
powerpnt.exe
presentationhost.exe
printbrm.exe
print.exe
procdump(64).exe
psr.exe
pubprn.vbs
rasautou.exe
rcsi.exe
rdrleakdiag.exe
regasm.exe
regedit.exe
reg.exe
regini.exe
register-cimprovider.exe
regsvcs.exe
regsvr32.exe
remote.exe
replace.exe
rpcping.exe
rundll32.exe
runonce.exe
runscripthelper.exe
sc.exe
schtasks.exe
scriptrunner.exe
settingsynchost.exe
setupapi.dll
shdocvw.dll
shell32.dll
sqldumper.exe
sqlps.exe
sqltoolsps.exe
squirrel.exe
stordiag.exe
syncappvpublishingserver.exe
syncappvpublishingserver.vbs
syssetup.dll
te.exe
tracker.exe
ttdinject.exe
tttracer.exe
update.exe
url.dll
utilityfunctions.ps1
vbc.exe
verclsid.exe
visualuiaverifynative.exe
vsiisexelauncher.exe
vsjitdebugger.exe
wab.exe
wfc.exe
winrm.vbs
winword.exe
wlrmdr.exe
wmic.exe
workfolders.exe
wscript.exe
wsl.exe
wsreset.exe
wuauclt.exe
xwizard.exe
zipfldr.dll
