Message,MessageID,Description,Triggers,Actions,"Data_fields"
"INVALID_COT_NAME","COT-1","Invalid circle of trust name","Accessing the circle of trust","Check the name and retry accessing the circle of trust","Realm_or_organization_name|Circle_of_Trust_Name"
"CONFIG_ERROR_MODIFY_COT_DESCRIPTOR","COT-2","Configuration error modifying the circle of trust","Modifying the circle of trust","Check COT debug , fmCOT, for more detailed error message","Error_message|Circle_of_trust|Realm_or_organization_name"
"CONFIG_ERROR_GET_ALL_COT_DESCRIPTOR","COT-3","Error retreiving all circle of trusts","Getting all circle of trust","Check configuration; check debug for more detailed error message","Error_message|Realm_or_organization_name"
"NO_COT_NAME_CREATE_COT_DESCRIPTOR","COT-4","Invalid name , error creating the circle of trust","Creating the circle of trust","Check the name to create circle of trust descriptor","Realm_or_organization_name"
"COT_EXISTS_CREATE_COT_DESCRIPTOR","COT-5","Circle of Trust exists","Creating the circle of trust","Create Circle of Trust with a unique name","Circle_of_trust|Realm_or_organization_name"
"INVALID_COT_TYPE","COT-6","Circle of Trust Type is invalid","Creating the circle of trust","The values for Circle of Trust type are IDFF , SAML2. Create Circle of Trust using either of these values","Realm_or_organization_name|Circle_of_Trust_Type"
"CONFIG_ERROR_CREATE_COT_DESCRIPTOR","COT-7","Configuration error while creating circle of trust","Create circle of trust","Check the fmCOT debug file for detailed errors","Error_message|Entity_ID|Realm_or_organization_name"
"COT_DESCRIPTOR_CREATED","COT-8","Circle of trust created","Creating the circle of trust",,"Circle_of_trust|Realm_or_organization_name"
"NULL_COT_NAME_ADD_COT_DESCRIPTOR","COT-9","Circle of Trust name is null, error adding to circle of trust","Adding to the circle of trust","Check the name of the circle of trust","Realm_or_organization_name"
"NULL_ENTITYID_ADD_COT_DESCRIPTOR","COT-10","Entity Identifier is null , cannot add entity to circle of trust","Adding to the circle of trust","Check the value of entity id","Realm_or_organization_name"
"CONFIG_ERROR_ADD_COT_MEMBER","COT-11","Error adding entity to the circle of trust","Adding entity to circle of trust","Check COT debug for more detailed error message","Error_message|Circle_of_trust|Entity_Id|Realm_or_organization_name"
"NO_COT_NAME_REMOVE_COT_MEMBER","COT-12","Null circle of trust name","Removing member from the circle of trust","Check the name of the circle of trust","Realm_or_organization_name"
"NULL_ENTITYID_REMOVE_COT_MEMBER","COT-13","Null entity identifier","Removing member from the circle of trust","Check the value of the entity identifier","Circle_of_trust|Realm_or_organization_name"
"CONFIG_ERROR_REMOVE_COT_MEMBER","COT-14","Error while removing entity from the circle of trust","Removing entity identifier from the circle of trust","Check COT debug for more detailed error message","Error_message|Circle_of_trust|Entity_Id|Realm_or_organization_name"
"NULL_COT_NAME_LIST_COT","COT-15","Null circle of trust name","Listing entities in Circle of Trust","Check the name of the circle of trust","Realm_or_organization_name"
"CONFIG_ERROR_LIST_COT_MEMBER","COT-16","Error listing providers in the circle of trust","Listing providers in the circle of trust","Check COT debug for more detailed error message","Error_message|Circle_of_trust|Realm_or_organization_name"
"CONFIG_ERROR_DELETE_COT_DESCRIPTOR","COT-17","Error while deleting the circle of trust","Deleting the circle of trust","Check COT debug for more detailed error message","Error_message|Circle_of_trust|Realm_or_organization_name"
"INVALID_NAME_ERROR_DELETE_COT_DESCRIPTOR","COT-18","Invalid name, cannot delete circle of trust","Deleting the circle of trust","Check the circle of trust name and retry deletion","Circle_of_Trust_Name|Realm_or_organization_name"
"HAS_ENTITIES_DELETE_COT_DESCRIPTOR","COT-19","Cannot delete circle of trust which has entities","Deleting the circle of trust","Remove all entities from the circle of trust and retry deletion","Circle_of_Trust_Name|Realm_or_organization_name"
"INVALID_COT_TYPE_DELETE_COT_DESCRIPTOR","COT-20","Invalid type cannot delete circle of trust","Deleting the circle of trust","Specify correct Circle of Trust type and retry delete","Realm_or_organization_name|Circle_of_Trust_Name|Circle_of_Trust_Type"
"COT_DESCRIPTOR_DELETED","COT-21","Circle of trust deleted","Deleting the circle of trust",,"Circle_of_trust|Realm_or_organization_name"
"COT_FROM_CACHE","COT-22","Retrieved the circle of trust from cache","Retreived the circle of trust from cache",,"Circle_of_trust|Realm_or_organization_name"
"CONFIG_ERROR_GET_COT_DESCRIPTOR","COT-23","Error while getting the circle of trust from data store","Retreiving the circle of trust","Check configuration; check debug for more detailed error message","Error_message|Circle_of_trust|Realm_or_organization_name"
"CONFIG_ERROR_RETREIVE_COT","COT-24","Error determining an entity is in a circle of trust","Determining an entity is in a circle of trust","Check debug for more detailed error message","Error_message|Circle_of_trust|ID_of_an_entity|Realm_or_organization_name"
"COT_DESCRIPTOR_RETRIEVED","COT-25","Retrieved the circle of trust descriptor","Retrieving the circle of trust under a realm",,"Circle_of_trust|Realm_or_organization_name"
"WRITE_ACCOUNT_FED_INFO","IDFF-14","Write Account Federation Info","Acccount Federation Info with key was added to user",,"user_DN|federation_info_key|federation_info_value"
"REMOVE_ACCOUNT_FED_INFO","IDFF-15","Remove Account Federation Info","Account federation info with key and provider ID was removed from user",,"user_DN|provider_id|existing_federation_info_key"
"CREATE_ASSERTION","IDFF-16","Create Assertion","Assertion Created",,"assertion_id_or_string"
"LOGOUT_REQUEST_PROCESSING_FAILED","IDFF-18","Logout Request processing failed","Logout Request processing failed",,message
"TERMINATION_REQUEST_PROCESSING_FAILED","IDFF-19","Termination request processing failed","Termination request processing failed",,message
"FAILED_SOAP_URL_END_POINT_CREATION","IDFF-20","Failed in creating SOAP URL End point","Failed in creating SOAP URL End point",,"soap_end_point_url"
"MISMATCH_AUTH_TYPE_AND_PROTOCOL","IDFF-21","Mismatched AuthType and the protocol (based on SOAPUrl)","AuthType and the protocol (based on SOAPUrl) do not match",,"protocol|authentication_type"
"WRONG_AUTH_TYPE","IDFF-22","Wrong Authentication type","Wrong Authentication type",,"authentication_type"
"SOAP_RECEIVER_URL","IDFF-23","SAML SOAP Receiver URL","SAML SOAP Receiver URL",,"soap_url"
"INVALID_SOAP_RESPONSE","IDFF-24","SOAP Response is Invalid","SOAP Response is Invalid",,message
"INVALID_ASSERTION","IDFF-25","Assertion is invalid","This Assertion is invalid",,message
"SINGLE_SIGNON_FAILED","IDFF-26","Single SignOn Failed","Single SignOn Failed",,message
"ACCESS_GRANTED_REDIRECT_TO","IDFF-27","Redirect to URL after granting access","Redirecting to URL after granting access",,"redirect_url"
