state,code,population,"median_age"
Alabama,AL,4903,"38.9"
Alaska,AK,732,34
Arizona,AZ,7279,"37.4"
Arkansas,AR,3018,"37.9"
California,CA,39512,"36.3"
Colorado,CO,5759,"36.6"
Connecticut,CT,3565,"40.8"
Delaware,DE,974,"40.2"
"District of Columbia",DC,706,"33.9"
Florida,FL,21478,"41.9"
Georgia,GA,10617,"36.5"
Hawaii,HI,1416,"38.9"
Idaho,ID,1787,"36.1"
Illinois,IL,12672,"37.9"
Indiana,IN,6732,"37.6"
Iowa,IA,3155,"38.1"
Kansas,KS,2913,"36.5"
Kentucky,KY,4468,"38.7"
Louisiana,LA,4649,"36.6"
Maine,ME,1344,"44.6"
Maryland,MD,6046,"38.6"
Massachusetts,MA,6893,"39.4"
Michigan,MI,9987,"39.7"
Minnesota,MN,5640,"37.9"
Mississippi,MS,2976,"37.2"
Missouri,MO,6137,"38.5"
Montana,MT,1069,"39.8"
Nebraska,NE,1934,"36.4"
Nevada,NV,3080,"37.9"
"New Hampshire",NH,1360,"42.7"
"New Jersey",NJ,8882,"39.8"
"New Mexico",NM,2097,"37.5"
"New York",NY,19454,"38.7"
"North Carolina",NC,10488,"38.6"
"North Dakota",ND,762,"35.1"
Ohio,OH,11689,"39.3"
Oklahoma,OK,3957,"36.4"
Oregon,OR,4218,"39.2"
Pennsylvania,PA,12802,"40.7"
"Rhode Island",RI,1059,"39.9"
"South Carolina",SC,5149,"39.2"
"South Dakota",SD,885,"36.8"
Tennessee,TN,6829,"38.7"
Texas,TX,28996,"34.4"
Utah,UT,3206,"30.7"
Vermont,VT,624,"42.9"
Virginia,VA,8536,"38.1"
Washington,WA,7615,"37.6"
"West Virginia",WV,1792,"42.4"
Wisconsin,WI,5822,"39.3"
Wyoming,WY,579,"37.3"
"American Samoa",AS,55,"26.1"
"Puerto Rico",PR,3194,"44.5"
Guam,GU,166,"31.4"
"US Virgin Islands",VI,104,"39.2"
"Northern Mariana Islands",MP,58,"33.4"
