data.eventName,dataset_name,action,change_type,type
AttachVnic,alert,,,event
AttachVolume,alert,,,event
AutomaticBackupDatabase,alert,,,event
CopyBootVolumeBackup,alert,,,event
CopyVolumeBackup,alert,,,event
DetachVnic,alert,,,event
DetachVolume,alert,,,event
EmailNotificationDeliveryStatus,alert,,,event
InstanceAction,alert,,,event
InstanceConsoleConnected,alert,,,event
job.failed,alert,,,warning
job.succeeded,alert,,,alert
JobRunning,alert,,,event
LaunchInstance,alert,,,event
ReceiveSamlSpSsoResonse,alert,,,alert
ReleaseCloudShellHost,alert,,,event
RequestSummarizedCostEstimations,alert,,,event
RequestSummarizedProblems,alert,,,event
SentSamlIdpSsoResonse,alert,,,alert
AuthenticationUser,auth,,,
FactorMfa,auth,,,
InitiateSSOAuthFactor,auth,,,
InteractiveLogin,auth,,,
SuccessAuthentication,auth,success,,
AccessApp,change,read,app,
ActivateMonitoringPlugin,change,modified,plugin,
ActivateServiceConnector,change,modified,service,
AddUserToGroup,change,modified,AAA,
AddUserToIdpGroup,change,modified,AAA,
AssignCloudShellHost,change,modified,shell host,
CreateAccount,change,created,AAA,
CreateAccountmgmtinfo,change,created,AAA,
CreateAuthenticationfactorenroller,change,created,authentication factor enroller,
CreateBootVolume,change,created,volume,
CreateBootVolumeBackup,change,created,voulme,
CreateCloudShellHost,change,created,cloud shell,
CreateCloudShellTerminal,change,created,cloud shell,
CreateCondition,change,created,condition,
CreateDevice,change,created,device,
CreateIdpUser,change,created,AAA,
CreateInstanceConsoleConnection,change,created,instance,
CreateJobschedule,change,created,job schedule,
CreateOrResetMyPasswordRequest,change,created,AAA,
CreateOrResetPassword,change,created,AAA,
CreatePolicy,change,created,policy,
CreatePreference,change,created,preference,
CreatePushnotificationtarget,change,created,push notification,
CreateRule,change,created,rule,
CreateSession,change,created,session,
CreateTrusteduseragent,change,created,user agent,
CreateUser,change,created,AAA,
CreateVnic,change,created,vnic,
CreateVolumeBackup,change,created,volume,
DeactivateServiceConnector,change,deleted,service,
