sourcetype,field,"last_seen"
"","",1429493580
ADBCD,"splunk_server_group",1429493580
ActiveDirectory,CN,1429493580
ActiveDirectory,admonEventType,1429493580
ActiveDirectory,dNSTombstoned,1429493580
ActiveDirectory,dSCorePropagationData,1429493580
ActiveDirectory,dc,1429493580
ActiveDirectory,dcName,1429493580
ActiveDirectory,distinguishedName,1429493580
ActiveDirectory,dnsRecord,1429493580
ActiveDirectory,"guid_lookup",1429493580
ActiveDirectory,instanceType,1429493580
ActiveDirectory,name,1429493580
ActiveDirectory,objectCategory,1429493580
ActiveDirectory,objectClass,1429493580
ActiveDirectory,objectGUID,1429493580
ActiveDirectory,showInAdvancedViewOnly,1429493580
ActiveDirectory,"splunk_server_group",1429493580
ActiveDirectory,uSNChanged,1429493580
ActiveDirectory,uSNCreated,1429493580
ActiveDirectory,whenChanged,1429493580
ActiveDirectory,whenCreated,1429493580
AppleFileServiceAccess,"splunk_server_group",1429493580
BMail,"splunk_server_group",1429493580
DhcpSrvLog,date,1429493580
DhcpSrvLog,description,1429493580
DhcpSrvLog,dest,1429493580
DhcpSrvLog,"dest_ip",1429493580
DhcpSrvLog,"dest_nt_host",1429493580
DhcpSrvLog,"msdhcp_id",1429493580
DhcpSrvLog,signature,1429493580
DhcpSrvLog,"splunk_server_group",1429493580
DhcpSrvLog,time,1429493580
EnterpriseLAN,"splunk_server_group",1429493580
Interface,Host,1429493580
Interface,Value,1429493580
Interface,collection,1429493580
Interface,counter,1429493580
Interface,dest,1429493580
Interface,instance,1429493580
Interface,object,1429493580
Interface,"splunk_server_group",1429493580
Interface,src,1429493580
KRB,"splunk_server_group",1429493580
Load,Host,1429493580
Load,Value,1429493580
Load,collection,1429493580
Load,counter,1429493580
Load,dest,1429493580
Load,instance,1429493580
Load,object,1429493580
Load,"splunk_server_group",1429493580
Load,src,1429493580
"MSAD:NT6:Netlogon","splunk_server_group",1429493580
"MSAD:NT6:Replication","splunk_server_group",1429493580
"MSAD:NT6:Replication",type,1429493580
"MSExchange:2010:MessageTracking","client_hostname",1429493580
"MSExchange:2010:MessageTracking",directionality,1429493580
"MSExchange:2010:MessageTracking","event_id",1429493580
"MSExchange:2010:MessageTracking","internal_message_id",1429493580
"MSExchange:2010:MessageTracking","message_id",1429493580
"MSExchange:2010:MessageTracking","message_subject",1429493580
"MSExchange:2010:MessageTracking",recipient,1429493580
"MSExchange:2010:MessageTracking","recipient_count",1429493580
"MSExchange:2010:MessageTracking","recipient_domain",1429493580
"MSExchange:2010:MessageTracking","recipient_username",1429493580
"MSExchange:2010:MessageTracking",recipients,1429493580
"MSExchange:2010:MessageTracking","return_path",1429493580
"MSExchange:2010:MessageTracking",sender,1429493580
"MSExchange:2010:MessageTracking","sender_domain",1429493580
"MSExchange:2010:MessageTracking","sender_username",1429493580
"MSExchange:2010:MessageTracking","source_context",1429493580
"MSExchange:2010:MessageTracking","source_id",1429493580
"MSExchange:2010:MessageTracking","splunk_server_group",1429493580
"MSExchange:2010:MessageTracking","total_bytes",1429493580
"MSExchange:2010:Topology",MajorVersion,1429493580
"MSExchange:2010:Topology",Name,1429493580
"MSExchange:2010:Topology","splunk_server_group",1429493580
"MSWindows:2008R2:IIS",IPAddress,1429493580
"MSWindows:2008R2:IIS",WebApplication,1429493580
"MSWindows:2008R2:IIS","c_ip",1429493580
"MSWindows:2008R2:IIS","cs_method",1429493580
"MSWindows:2008R2:IIS","cs_uri_query",1429493580
"MSWindows:2008R2:IIS","cs_uri_stem",1429493580
"MSWindows:2008R2:IIS","cs_user_agent",1429493580
"MSWindows:2008R2:IIS","cs_username",1429493580
"MSWindows:2008R2:IIS",date,1429493580
"MSWindows:2008R2:IIS","s_ip",1429493580
"MSWindows:2008R2:IIS","s_port",1429493580
"MSWindows:2008R2:IIS","sc_status",1429493580
"MSWindows:2008R2:IIS","sc_substatus",1429493580
"MSWindows:2008R2:IIS","sc_win32_status",1429493580
"MSWindows:2008R2:IIS","splunk_server_group",1429493580
"MSWindows:2008R2:IIS","src_ip",1429493580
"MSWindows:2008R2:IIS",time,1429493580
"MSWindows:2008R2:IIS","time_taken",1429493580
Memory,Host,1429493580
Memory,Value,1429493580
Memory,collection,1429493580
Memory,counter,1429493580
Memory,dest,1429493580
Memory,instance,1429493580
Memory,object,1429493580
Memory,"splunk_server_group",1429493580
Memory,src,1429493580
"Novell:IDM:RemoteLoader","splunk_server_group",1429493580
"Perfmon:ActiveSync",Host,1429493580
"Perfmon:ActiveSync",Value,1429493580
"Perfmon:ActiveSync",counter,1429493580
"Perfmon:ActiveSync",dest,1429493580
"Perfmon:ActiveSync",instance,1429493580
"Perfmon:ActiveSync","splunk_server_group",1429493580
"Perfmon:ActiveSync",src,1429493580
"Perfmon:Available",Host,1429493580
"Perfmon:Available",Value,1429493580
"Perfmon:Available",collection,1429493580
"Perfmon:Available",counter,1429493580
"Perfmon:Available",dest,1429493580
"Perfmon:Available",instance,1429493580
"Perfmon:Available",object,1429493580
"Perfmon:Available","splunk_server_group",1429493580
"Perfmon:Available",src,1429493580
"Perfmon:Available_Memory",Host,1429493580
"Perfmon:Available_Memory",Value,1429493580
"Perfmon:Available_Memory",counter,1429493580
"Perfmon:Available_Memory",dest,1429493580
"Perfmon:Available_Memory",instance,1429493580
"Perfmon:Available_Memory","splunk_server_group",1429493580
"Perfmon:Available_Memory",src,1429493580
"Perfmon:CPU",Host,1429493580
"Perfmon:CPU",Value,1429493580
"Perfmon:CPU",collection,1429493580
"Perfmon:CPU",counter,1429493580
"Perfmon:CPU",dest,1429493580
"Perfmon:CPU",instance,1429493580
"Perfmon:CPU",object,1429493580
"Perfmon:CPU","splunk_server_group",1429493580
"Perfmon:CPU",src,1429493580
"Perfmon:CPUTime",Host,1429493580
"Perfmon:CPUTime",PercentUserTime,1429493580
"Perfmon:CPUTime",Value,1429493580
"Perfmon:CPUTime",collection,1429493580
"Perfmon:CPUTime",counter,1429493580
"Perfmon:CPUTime","cpu_user_percent",1429493580
"Perfmon:CPUTime",dest,1429493580
"Perfmon:CPUTime",instance,1429493580
"Perfmon:CPUTime",object,1429493580
"Perfmon:CPUTime","splunk_server_group",1429493580
"Perfmon:CPUTime",src,1429493580
"Perfmon:FreeDiskSpace",Host,1429493580
"Perfmon:FreeDiskSpace",PercentFreeSpace,1429493580
"Perfmon:FreeDiskSpace",Value,1429493580
"Perfmon:FreeDiskSpace",counter,1429493580
"Perfmon:FreeDiskSpace",dest,1429493580
"Perfmon:FreeDiskSpace",instance,1429493580
"Perfmon:FreeDiskSpace",mount,1429493580
"Perfmon:FreeDiskSpace","splunk_server_group",1429493580
"Perfmon:FreeDiskSpace",src,1429493580
"Perfmon:FreeDiskSpace","storage_free_percent",1429493580
"Perfmon:FreeDiskSpace","storage_used_percent",1429493580
"Perfmon:LocalNetwork",Host,1429493580
"Perfmon:LocalNetwork",Value,1429493580
"Perfmon:LocalNetwork",collection,1429493580
"Perfmon:LocalNetwork",counter,1429493580
"Perfmon:LocalNetwork",dest,1429493580
