data_family,data_subtype,sourcetype
(syslog),Various - Cleanup if possible,syslog
Server Information,BIOS Info,Windows:BIOS
Server Information,Network Interface Data,Windows:NICConfig
Server Information,User Accounts,Windows:UserAccount
Server Information,Motherboard Info,Windows:Baseboard
Server Information,CPU Info,Windows:CPU
Server Information,Windows Server Data,Windows:ComputerSystem
Server Information,Logical Disk Info,Windows:LogicalDisk
Server Information,Physical Disk Info,Windows:DiskDrive
Server Information,OS Info,Windows:OS
Server Information,Printer Info,Windows:Printer
Server Information,Services Info,Windows:Services
Backup,Avamar,avamar
Networking,Netflow,argus
Windows,Security Event Viewer,WinEventLog:Security
Firewall,Cisco,cisco:asa
Firewall,Juniper,juniper:junos
Firewall,Dell,sonicwall
Email,SMTP,smtp_receive
Email,Linux Maillog,maillog
Email,Exchange Pop/Imap,microsoft:exchange:protocol
Windows,Security Event Viewer,WinEventLog:security
Splunk,Summary_Index,stash
Firewall,Juniper,netscreen:firewall
Email,Postfix,postfix_syslog
Networking,Wireless,aruba_stm
Networking,Juniper Switch,juniper:junos:switch
Web Traffic,Netscaler,netscaler
Database,MSSQLServer,WinEventLog:Application:MSSQLServer
Networking,DHCP,dhcpd
Web Traffic,IIS,MSWindows:2008R2:IIS
Email,SMTP,smtp_send
Server Performance,Disk Space,Perfmon:FreeDiskSpace
Web Traffic,Apache,access_combined
Server Information,Windows Registry,WinRegistry
Web Traffic,IIS - Carmen,carmen_iis
Host Based Firewall,Ulog,ulogd
Host Based Firewall,Linux iptables,linux:iptables
Host Based Firewall,Windows Firewall,win2k8_firewall
Email,Exchange Message Tracking,MSExchange:2010:MessageTracking
Email,Exchange Database,MSExchange:2010:Database-stats
Server Performance,Memory Usage,Perfmon:Memory
Networking,DNS,dns
Application Monitoring,Peoplesoft,psft_appserv_appsrv
Application Monitoring,Peoplesoft,psft_prcs_schdlr
Application Monitoring,Peoplesoft,psft_webserv_pia_stderr
Application Monitoring,Peoplesoft,psft_webserv
Linux,Audit,linux_audit
DLP,Inline Email,Vontu_SmtpPrevent
Windows,Snare,windows_snare_syslog
Storage,NAS,isilon_nas
Server Performance,CPU Time,Perfmon:CPUTime
