protocol,Protocol_name,Protocol_description
tcp/5900,vnc-server,Virtual Network Computing
tcp/5938,teamviewer,Teamviewer Remote Control
tcp/5988,wbem-http,WBEM HTTP
tcp/6112,blizzard,Used by Blizzard Downloader for several video games such as World of Warcraft or Overwatch
tcp/6881,bittorent,BitTorrent tracker
udp/6881,bittorent,BitTorrent tracker
tcp/6882,bittorent,BitTorrent tracker
udp/6882,bittorent,BitTorrent tracker
tcp/6883,bittorent,BitTorrent tracker
udp/6883,bittorent,BitTorrent tracker
tcp/6884,bittorent,BitTorrent tracker
udp/6884,bittorent,BitTorrent tracker
tcp/6885,bittorent,BitTorrent tracker
udp/6885,bittorent,BitTorrent tracker
tcp/6886,bittorent,BitTorrent tracker
udp/6886,bittorent,BitTorrent tracker
tcp/6887,bittorent,BitTorrent tracker
udp/6887,bittorent,BitTorrent tracker
tcp/7000,vdo,VDO Live
tcp/7001,vdo,VDO Live
VDO,vdo,VDO Live
tcp/8000,splunk,Splunk Server
tcp/8001,http_8001,Hypertext Transfer Protocol (alternative ports and proxies)
udp/8001,smart_tv,Samsung Smart TV Streaming
tcp/8080,http_8080,Hypertext Transfer Protocol (alternative ports and proxies)
tcp/8081,http_8081,Hypertext Transfer Protocol (alternative ports and proxies)
tcp/8086,http_8081,Hypertext Transfer Protocol (alternative ports and proxies)
udp/8253,noip,No-IP Dynamic DNS client
tcp/9833,rdp_custom,Custom RDP port
tcp/9834,splunk_custom,Custom Splunk port
tcp/12350,skype,Skype client
udp/30033,teamspeak,TeamSpeak - chatting protocol used in video games
udp/33434,traceroute,Incoming traceroute
udp/40001,msupdate,Microsoft Windows Updates and Error Checking
tcp/40001,msupdate,Microsoft Windows Updates and Error Checking
udp/40002,msupdate,Microsoft Windows Updates and Error Checking
tcp/40002,msupdate,Microsoft Windows Updates and Error Checking
udp/40003,msupdate,Microsoft Windows Updates and Error Checking
tcp/40003,msupdate,Microsoft Windows Updates and Error Checking
udp/40004,msupdate,Microsoft Windows Updates and Error Checking
tcp/40004,msupdate,Microsoft Windows Updates and Error Checking
udp/40005,msupdate,Microsoft Windows Updates and Error Checking
tcp/40005,msupdate,Microsoft Windows Updates and Error Checking
udp/40006,msupdate,Microsoft Windows Updates and Error Checking
tcp/40006,msupdate,Microsoft Windows Updates and Error Checking
udp/40007,msupdate,Microsoft Windows Updates and Error Checking
tcp/40007,msupdate,Microsoft Windows Updates and Error Checking
udp/40008,msupdate,Microsoft Windows Updates and Error Checking
tcp/40008,msupdate,Microsoft Windows Updates and Error Checking
udp/40009,msupdate,Microsoft Windows Updates and Error Checking
tcp/40009,msupdate,Microsoft Windows Updates and Error Checking
udp/40010,msupdate,Microsoft Windows Updates and Error Checking
tcp/40010,msupdate,Microsoft Windows Updates and Error Checking
udp/40011,msupdate,Microsoft Windows Updates and Error Checking
tcp/40011,msupdate,Microsoft Windows Updates and Error Checking
udp/40012,msupdate,Microsoft Windows Updates and Error Checking
tcp/40012,msupdate,Microsoft Windows Updates and Error Checking
udp/40013,msupdate,Microsoft Windows Updates and Error Checking
tcp/40013,msupdate,Microsoft Windows Updates and Error Checking
udp/40014,msupdate,Microsoft Windows Updates and Error Checking
tcp/40014,msupdate,Microsoft Windows Updates and Error Checking
udp/40015,msupdate,Microsoft Windows Updates and Error Checking
tcp/40015,msupdate,Microsoft Windows Updates and Error Checking
udp/40016,msupdate,Microsoft Windows Updates and Error Checking
tcp/40016,msupdate,Microsoft Windows Updates and Error Checking
udp/40017,msupdate,Microsoft Windows Updates and Error Checking
tcp/40017,msupdate,Microsoft Windows Updates and Error Checking
udp/40018,msupdate,Microsoft Windows Updates and Error Checking
tcp/40018,msupdate,Microsoft Windows Updates and Error Checking
udp/40019,msupdate,Microsoft Windows Updates and Error Checking
tcp/40019,msupdate,Microsoft Windows Updates and Error Checking
udp/40020,msupdate,Microsoft Windows Updates and Error Checking
tcp/40020,msupdate,Microsoft Windows Updates and Error Checking
udp/40021,msupdate,Microsoft Windows Updates and Error Checking
tcp/40021,msupdate,Microsoft Windows Updates and Error Checking
udp/40022,msupdate,Microsoft Windows Updates and Error Checking
tcp/40022,msupdate,Microsoft Windows Updates and Error Checking
udp/40023,msupdate,Microsoft Windows Updates and Error Checking
tcp/40023,msupdate,Microsoft Windows Updates and Error Checking
udp/40024,msupdate,Microsoft Windows Updates and Error Checking
tcp/40024,msupdate,Microsoft Windows Updates and Error Checking
udp/40025,msupdate,Microsoft Windows Updates and Error Checking
tcp/40025,msupdate,Microsoft Windows Updates and Error Checking
udp/40026,msupdate,Microsoft Windows Updates and Error Checking
tcp/40026,msupdate,Microsoft Windows Updates and Error Checking
udp/40027,msupdate,Microsoft Windows Updates and Error Checking
tcp/40027,msupdate,Microsoft Windows Updates and Error Checking
