DATEPRD,WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
1-Jan-15,NO 15/9-F-11 H,24,275.364,105.183,196.754,15.854,5.97323,%,78.609,45.73,49.485,571,"102,004",134,,production,OP
2-Jan-15,NO 15/9-F-11 H,24,261.896,105.576,189.176,13.191,7.39075,%,72.72,55.763,44.142,711,"106,922",312,,production,OP
3-Jan-15,NO 15/9-F-11 H,24,253.325,105.765,184.95,21.684,8.00761,%,68.375,60.559,39.528,834,"135,276",346,,production,OP
4-Jan-15,NO 15/9-F-11 H,24,247.291,105.86,182.217,23.102,7.98692,%,65.074,62.864,36.444,817,"119,665",345,,production,OP
5-Jan-15,NO 15/9-F-11 H,24,244.851,105.906,180.973,23.63,8.18566,%,63.878,63.188,35.081,822,"120,104",351,,production,OP
6-Jan-15,NO 15/9-F-11 H,24,241.74,105.915,179.67,23.427,8.83807,%,62.069,63.703,33.521,869,"126,305",380,,production,OP
7-Jan-15,NO 15/9-F-11 H,24,236.03,105.995,176.936,23.938,9.15316,%,59.094,63.19,30.439,926,"135,523",390,,production,OP
8-Jan-15,NO 15/9-F-11 H,24,226.748,106.127,172.584,24.509,10.39261,%,54.164,65.069,25.361,"1,015","147,262",435,,production,OP
9-Jan-15,NO 15/9-F-11 H,17.83,227.232,105.988,173.517,20.63,8.34212,%,53.715,61.179,24.657,824,"119,541",421,,production,OP
10-Jan-15,NO 15/9-F-11 H,20.33,228.594,105.989,174.095,20.749,9.28994,%,54.499,61.201,24.382,946,"137,122",448,,production,OP
11-Jan-15,NO 15/9-F-11 H,24,221.374,106.217,170.304,23.934,11.68098,%,51.07,66.658,21.578,"1,167","168,425",565,,production,OP
12-Jan-15,NO 15/9-F-11 H,24,220.871,106.231,169.79,23.942,11.49691,%,51.081,62.504,21.573,"1,089","157,903",491,,production,OP
13-Jan-15,NO 15/9-F-11 H,24,219.933,106.223,169.376,23.875,11.53985,%,50.558,63.23,21.311,"1,103","160,611",495,,production,OP
14-Jan-15,NO 15/9-F-11 H,24,219.517,106.207,169.183,23.764,11.55027,%,50.335,63.307,20.895,987,"144,808",479,,production,OP
15-Jan-15,NO 15/9-F-11 H,24,219.599,106.184,169.296,23.216,11.73195,%,50.303,63.22,20.895,"1,070","155,419",492,,production,OP
16-Jan-15,NO 15/9-F-11 H,24,219.495,106.171,169.274,23.188,11.77022,%,50.221,64.067,20.809,"1,089","154,725",475,,production,OP
17-Jan-15,NO 15/9-F-11 H,0,219.8,106.2,169.4,23.1,12,%,50.4,64.8,21,"1,027","150,774",461,,production,OP
18-Jan-15,NO 15/9-F-11 H,24,219.8,106.2,169.4,23.1,12,%,50.4,64.8,21,"1,083","158,454",461,,production,OP
19-Jan-15,NO 15/9-F-11 H,24,219.8,106.2,169.4,23.1,12,%,50.4,64.8,21,"1,005","146,473",427,,production,OP
20-Jan-15,NO 15/9-F-11 H,22.17,221.91,106.025,170.884,21.058,10.81481,%,51.026,65.146,21.431,897,"131,181",460,,production,OP
21-Jan-15,NO 15/9-F-11 H,24,219.05,106.106,169.436,22.222,11.80996,%,49.615,67.386,21.163,959,"140,745",453,,production,OP
22-Jan-15,NO 15/9-F-11 H,24,214.913,106.189,167.055,22.323,12.23259,%,47.858,67.393,19.337,964,"142,438",433,,production,OP
23-Jan-15,NO 15/9-F-11 H,24,212.686,106.213,165.878,21.683,12.91373,%,46.808,63.573,18.277,982,"145,611",501,,production,OP
24-Jan-15,NO 15/9-F-11 H,24,209.915,106.256,164.423,21.465,13.87064,%,45.492,68.316,16.919,"1,021","150,713",518,,production,OP
25-Jan-15,NO 15/9-F-11 H,24,209.906,106.247,164.366,21.066,13.85262,%,45.541,66.538,17.142,"1,006","149,866",517,,production,OP
