DATEPRD,WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
1-Jan-15,NO 15/9-F-12 H,9.5,275.364,105.183,109.868,3.872,7.94478,%,109.868,31.805,81.108,15,"2,667",252,,production,OP
2-Jan-15,NO 15/9-F-12 H,24.0,261.896,105.576,90.647,10.668,26.50163,%,90.647,52.857,61.728,783,"117,688",226,,production,OP
3-Jan-15,NO 15/9-F-12 H,24.0,253.325,105.765,85.895,22.577,27.8686,%,85.895,62.629,56.701,871,"141,239",238,,production,OP
4-Jan-15,NO 15/9-F-12 H,24.0,247.291,105.86,83.78,24.382,27.86356,%,83.78,63.089,54.825,855,"125,297",238,,production,OP
5-Jan-15,NO 15/9-F-12 H,24.0,244.851,105.906,83.32,25.333,27.83998,%,83.32,62.521,54.207,839,"122,545",236,,production,OP
6-Jan-15,NO 15/9-F-12 H,24.0,0.0,0.0,81.483,26.056,28.27995,%,81.483,63.923,52.626,834,"121,245",240,,production,OP
7-Jan-15,NO 15/9-F-12 H,24.0,236.03,105.995,80.828,26.486,28.30568,%,80.828,62.372,51.878,859,"125,729",238,,production,OP
8-Jan-15,NO 15/9-F-12 H,24.0,226.748,106.127,79.315,26.904,28.31657,%,79.315,62.448,50.228,830,"120,372",234,,production,OP
9-Jan-15,NO 15/9-F-12 H,15.67,227.232,105.988,79.243,25.976,20.4557,%,79.243,61.223,50.151,533,"77,254",179,,production,OP
10-Jan-15,NO 15/9-F-12 H,20.42,228.594,105.989,75.266,25.86,25.64218,%,75.266,60.875,44.758,786,"114,011",245,,production,OP
11-Jan-15,NO 15/9-F-12 H,24.0,221.374,106.217,61.835,29.071,36.20383,%,61.835,70.552,32.005,"1,070","154,368",341,,production,OP
12-Jan-15,NO 15/9-F-12 H,24.0,220.871,106.231,71.453,28.282,30.25547,%,71.453,63.443,41.652,860,"124,574",255,,production,OP
13-Jan-15,NO 15/9-F-12 H,24.0,0.0,0.0,71.292,28.421,30.19498,%,71.292,63.683,41.689,866,"126,008",255,,production,OP
14-Jan-15,NO 15/9-F-12 H,24.0,219.517,106.207,70.954,28.534,30.25039,%,70.954,63.901,41.149,775,"113,698",247,,production,OP
15-Jan-15,NO 15/9-F-12 H,24.0,219.599,106.184,70.847,28.434,30.24842,%,70.847,64.136,41.16,827,"120,132",457,,production,OP
16-Jan-15,NO 15/9-F-12 H,24.0,219.495,106.171,70.356,28.457,30.27133,%,70.356,64.872,40.651,839,"119,290",440,,production,OP
17-Jan-15,NO 15/9-F-12 H,24.0,219.8,106.2,70.057,28.425,30.28621,%,70.057,65.277,40.339,777,"114,069",419,,production,OP
18-Jan-15,NO 15/9-F-12 H,24.0,219.8,106.2,70.057,28.425,30.28621,%,70.057,65.277,40.339,820,"119,880",419,,production,OP
19-Jan-15,NO 15/9-F-12 H,24.0,219.8,106.2,70.057,28.425,30.28621,%,70.057,65.277,40.339,829,"120,890",423,,production,OP
20-Jan-15,NO 15/9-F-12 H,22.0,0.0,0.0,69.475,27.956,28.21775,%,69.475,68.297,40.005,768,"112,294",473,,production,OP
21-Jan-15,NO 15/9-F-12 H,24.0,219.05,106.106,65.12,28.414,32.55258,%,65.12,70.397,36.426,948,"139,196",538,,production,OP
22-Jan-15,NO 15/9-F-12 H,24.0,214.913,106.189,64.486,28.464,33.32736,%,64.486,70.192,35.818,944,"139,605",511,,production,OP
23-Jan-15,NO 15/9-F-12 H,24.0,212.686,106.213,64.506,28.159,33.08427,%,64.506,66.919,35.825,925,"137,135",494,,production,OP
24-Jan-15,NO 15/9-F-12 H,24.0,209.915,106.256,63.878,28.101,32.3983,%,63.878,70.586,35.19,902,"133,130",479,,production,OP
25-Jan-15,NO 15/9-F-12 H,24.0,209.906,106.247,63.913,28.14,32.43786,%,63.913,68.752,35.247,891,"132,640",479,,production,OP
26-Jan-15,NO 15/9-F-12 H,24.0,209.795,106.237,63.444,28.059,32.43154,%,63.444,70.976,34.872,887,"131,879",474,,production,OP
27-Jan-15,NO 15/9-F-12 H,24.0,0.0,0.0,63.135,28.044,33.17402,%,63.135,70.301,34.575,944,"138,718",638,,production,OP
28-Jan-15,NO 15/9-F-12 H,24.0,209.83,106.215,62.343,27.886,33.19739,%,62.343,68.773,33.758,928,"136,483",475,,production,OP
29-Jan-15,NO 15/9-F-12 H,24.0,210.04,106.203,61.272,27.971,33.20164,%,61.272,70.817,32.627,925,"137,159",473,,production,OP
30-Jan-15,NO 15/9-F-12 H,24.0,210.172,106.191,60.724,28.023,33.18728,%,60.724,70.277,32.109,899,"132,439",453,,production,OP
31-Jan-15,NO 15/9-F-12 H,24.0,210.04,106.186,59.903,28.056,33.18904,%,59.903,70.537,31.24,886,"128,827",518,,production,OP
1-Feb-15,NO 15/9-F-12 H,24.0,209.868,106.185,58.828,27.983,33.22098,%,58.828,70.458,30.149,914,"134,765",532,,production,OP
2-Feb-15,NO 15/9-F-12 H,24.0,209.959,106.176,58.1,27.984,33.22117,%,58.1,70.656,29.525,876,"129,278",449,,production,OP
3-Feb-15,NO 15/9-F-12 H,24.0,0.0,0.0,57.183,28.12,33.23499,%,57.183,71.162,28.604,873,"129,445",764,,production,OP
4-Feb-15,NO 15/9-F-12 H,16.11,210.857,106.165,56.971,28.034,35.00688,%,56.971,70.739,28.46,554,"88,291",480,,production,OP
5-Feb-15,NO 15/9-F-12 H,2.23,216.349,105.109,31.979,24.056,28.97157,%,31.979,72.912,3.132,89,"14,766",36,,production,OP
6-Feb-15,NO 15/9-F-12 H,24.0,209.939,105.835,44.552,27.508,59.62437,%,44.552,73.399,16.018,"1,162","176,360",747,,production,OP
7-Feb-15,NO 15/9-F-12 H,24.0,209.733,105.99,54.678,27.354,33.3408,%,54.678,70.452,26.221,811,"125,387",451,,production,OP
8-Feb-15,NO 15/9-F-12 H,17.11,210.845,106.023,56.168,27.3,24.17843,%,56.168,69.221,27.745,433,"69,589",240,,production,OP
9-Feb-15,NO 15/9-F-12 H,11.98,213.806,105.694,55.87,26.63,26.43534,%,55.87,70.528,27.257,381,"62,261",185,,production,OP
10-Feb-15,NO 15/9-F-12 H,24.0,0.0,0.0,55.366,27.782,33.18196,%,55.366,70.898,26.731,812,"124,877",525,,production,OP
11-Feb-15,NO 15/9-F-12 H,24.0,209.537,106.071,55.446,28.012,33.21672,%,55.446,68.772,26.674,709,"108,457",604,,production,OP
12-Feb-15,NO 15/9-F-12 H,24.0,209.824,106.087,55.602,28.255,33.22418,%,55.602,69.977,26.833,697,"106,359",597,,production,OP
13-Feb-15,NO 15/9-F-12 H,24.0,208.373,105.207,55.195,28.097,32.80304,%,55.195,69.663,26.731,710,"108,166",600,,production,OP
14-Feb-15,NO 15/9-F-12 H,24.0,209.915,106.115,55.78,28.49,33.32447,%,55.78,70.493,27.144,706,"107,371",610,,production,OP
15-Feb-15,NO 15/9-F-12 H,24.0,208.475,105.27,55.547,28.116,32.56462,%,55.547,68.37,27.214,704,"106,815",606,,production,OP
16-Feb-15,NO 15/9-F-12 H,24.0,210.348,106.126,56.45,28.57,33.27409,%,56.45,69.074,27.811,702,"106,691",569,,production,OP
17-Feb-15,NO 15/9-F-12 H,24.0,0.0,0.0,56.53,28.835,31.13554,%,56.53,69.352,27.85,684,"105,013",574,,production,OP
18-Feb-15,NO 15/9-F-12 H,24.0,210.598,106.149,57.018,28.96,33.294,%,57.018,67.774,28.348,716,"107,076",551,,production,OP
19-Feb-15,NO 15/9-F-12 H,24.0,210.075,106.184,57.038,29.064,33.28384,%,57.038,68.237,28.364,724,"107,744",562,,production,OP
20-Feb-15,NO 15/9-F-12 H,24.0,210.483,106.198,57.036,29.204,33.25429,%,57.036,70.323,28.091,707,"105,677",637,,production,OP
21-Feb-15,NO 15/9-F-12 H,24.0,210.286,106.223,56.758,29.264,33.13726,%,56.758,72.202,28.062,690,"102,957",607,,production,OP
22-Feb-15,NO 15/9-F-12 H,24.0,210.007,106.237,56.481,29.155,33.1873,%,56.481,71.119,27.786,717,"107,037",596,,production,OP
