DATEPRD,WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
1-Jan-15,NO 15/9-F-15 D,9.5,265.15,104.738,184.604,12.587,3.32754,%,80.547,16.808,51.566,29,"5,237",1,,production,OP
2-Jan-15,NO 15/9-F-15 D,24,267.83,104.953,186.056,15.303,7.08394,%,81.773,18.781,53.115,159,"23,933",5,,production,OP
3-Jan-15,NO 15/9-F-15 D,24,242.902,106.288,175.373,25.838,8.96756,%,67.529,26.092,38.62,208,"33,677",6,,production,OP
4-Jan-15,NO 15/9-F-15 D,24,238.778,106.502,177.28,26.555,9.0893,%,61.498,27.779,32.811,206,"30,246",6,,production,OP
5-Jan-15,NO 15/9-F-15 D,24,230.996,106.701,174.474,23.434,10.03805,%,56.522,30.995,27.679,221,"32,335",7,,production,OP
6-Jan-15,NO 15/9-F-15 D,24,221.129,106.923,167.831,22.534,10.72282,%,53.298,32.017,24.699,223,"32,473",7,,production,OP
7-Jan-15,NO 15/9-F-15 D,24,218.005,106.921,166.883,20.437,10.74609,%,51.123,31.988,22.411,230,"33,678",7,,production,OP
8-Jan-15,NO 15/9-F-15 D,24,214.063,106.947,165.506,20.874,11.10308,%,48.556,32.097,19.709,226,"32,737",7,,production,OP
9-Jan-15,NO 15/9-F-15 D,17.67,212.488,106.75,163.271,18.462,8.35059,%,49.217,28.275,20.233,183,"26,548",7,,production,OP
10-Jan-15,NO 15/9-F-15 D,20.42,218.401,106.547,170.055,12.897,8.62394,%,48.346,24.58,17.854,197,"28,527",7,,production,OP
11-Jan-15,NO 15/9-F-15 D,24,202.743,107.044,159.818,21.789,11.65812,%,42.926,30.78,13.236,236,"34,112",8,,production,OP
12-Jan-15,NO 15/9-F-15 D,24,200.832,107.034,158.793,22.224,11.33993,%,42.039,28.793,12.315,221,"32,056",7,,production,OP
13-Jan-15,NO 15/9-F-15 D,24,201.294,106.966,159.351,20.453,11.02061,%,41.943,28.768,12.488,220,"32,040",7,,production,OP
14-Jan-15,NO 15/9-F-15 D,24,201.791,106.904,160.448,18.62,10.97655,%,41.342,28.353,11.72,196,"28,806",7,,production,OP
15-Jan-15,NO 15/9-F-15 D,24,200.822,106.887,160.202,17.682,10.97618,%,40.621,27.041,10.994,210,"30,438",7,,production,OP
16-Jan-15,NO 15/9-F-15 D,24,199.87,106.873,159.971,16.982,11.04145,%,39.898,26.989,10.268,213,"30,289",7,,production,OP
17-Jan-15,NO 15/9-F-15 D,24,199.459,106.875,159.857,16.908,11.13449,%,39.602,26.62,9.972,198,"29,067",6,,production,OP
18-Jan-15,NO 15/9-F-15 D,24,199.459,106.875,159.857,16.908,11.13449,%,39.602,26.62,9.972,209,"30,548",6,,production,OP
19-Jan-15,NO 15/9-F-15 D,24,199.459,106.875,159.857,16.908,11.13449,%,39.602,26.62,9.972,211,"30,805",6,,production,OP
20-Jan-15,NO 15/9-F-15 D,22.33,201.941,106.616,162.735,12.436,9.93216,%,39.206,24.317,9.449,201,"29,443",7,,production,OP
21-Jan-15,NO 15/9-F-15 D,24,199.948,106.703,161.723,12.953,10.50835,%,38.225,24.934,9.622,220,"32,293",8,,production,OP
22-Jan-15,NO 15/9-F-15 D,24,199.747,106.688,161.808,12.82,10.57681,%,37.939,25.502,9.366,215,"31,788",7,,production,OP
