result,result_display,result_color,result_order
pass,Pass,#65A637,1
fail,Fail,#D93F3C,2
error,Error,#F7BC38,3
notapplicable,Not Applicable,#6DB7C6,4
informational,Manual Review,#8E929B,5
unknown,Unknown,#8E929B,6
