vpn_port,vpn_service
10433,Fortinet
1194,OpenVPN
9201,OpenVPN
501,OpenVPN
502,OpenVPN
1723,Peer-to-Peer
12009,GreenHills VPN
500,Layer 2 Tunneling
1701,Layer 2 Tunneling
4500,Layer 2 Tunneling
8888,Private Internet Access VPN
9555,Secure Planet VPN
2746,Checkpoint VPN
265,Checkpoint VPN
10000,Cisco VPN
5500,IPSec NAT
