PatternId,PatternName,have_dashboard,Category,Description,,,,,
1758941F49912A4BB0314EDE40CFEE14,ABAP SOAP rfc brute force login,0,ABAP SOAP RFC Calls,Brute force login using ABAP SOAP rfc interface.,,,,,
01A32F947BB5804EB143EE4964833E8E,ABAP critical FM calls per SOAP rfc,0,ABAP SOAP RFC Calls,Client calls critical ABAP function modules per SOAP rfc interface.,,,,,
34A702410BB5164292C3B14AB6098FBA,ABAP System Ping Failed Health Check,0,Health Checks,Checks if the ABAP system is reachable via system ping. An alert is raised in case subsequent system ping attempts are failing.,,,,,
8F3BB13D52C2A145914C3A373636E504,ESP System Ping Failed Health Check,0,Health Checks,Checks if ESP server is reachable via ping. An alert is raised in case subsequent ESP server ping attempts are failing.,,,,,
ADC10F4FA66A6A42A8CE0A0AD7C25BBD,SAP HANA Partitioning unsuccessful Health Check,0,Health Checks,Checks if SAP HANA partitioning job is working,,,,,
A4E57FEF19B1754FA0A7DDBEF8F2817E,Pseudonyms Generation Failed Health Check,0,Health Checks,Checks if pseudonyms generation is working,,,,,
1909B134D8B56943BBFD0A8DD239C1D7,BUS-Request with weak security,0,BUS Request with weak security,"Category: Unauthorized logon attempt Purpose: Monitor ABAP Security Audit Log event code \""BUS\"" indicating a request without sufficient security characteristic of address, e. g. XSRF attacks (note 1619912) Prerequisites: Enable event BUS (note 2073809) Customization Value Lists: 1.  Critical system roles for such a request, e. g. \""Production\"" 2. Exclusion lists (allowlists) for: - allowed systems and roles - URLs allowed for a request with weak security",,,,,
BB50BCD57C857240BA57A881BCECC3D2,Access to critical database tables via RFC,0,Access to critical database tables,External Access via RFC to password hash table and other sensitive database tables.,,,,,
1424A3B85A5DFE48A3DC50F54F9310D8,Access to critical database tables via transactions,0,Access to critical database tables,"Access via transaction (e.g. SE16, SE16N, SM30, SM31, SM34, etc.) to password hash table.",,,,,
6315BC3BF282314793C4D86182422A2A,Access to a critical resource,0,Attack using client 066,Generates an alert when user looks into critical data using client 066.,,,,,
3E8065CF2DC33945807CCEE9F7D29B77,Alert after hacker logged on from another user,0,Attack using client 066,"After the user looks into critical database which contains all user password hashes, the attacker might be able to decode some passwords and use the valid credentials to logon into the system.",,,,,
6F12BF23CD9E794E909081A48A3EA06E,SALTransactionStartTestMessage,0,SAL Transaction Start Test Message,Alert Security Audit Log event code BUX.,,,,,
55824E7FE1B0FE2BE10000000A4CF109,Blocklisted function modules in productive systems,1,Access to critical resource,A blocklisted function module has been executed.,,,,,
55824E80E1B0FE2BE10000000A4CF109,Blocklisted reports in productive systems,0,Access to critical resource,A blocklisted report has been executed.,,,,,
55824E81E1B0FE2BE10000000A4CF109,Blocklisted transactions in productive systems,0,Access to critical resource,A blocklisted transaction has been executed.,,,,,
24BBD2EA6026084DB26D429C8B414105,Blocklisted ABAP HTTP Url paths,1,Access to critical resource,A system has called a blocklisted http url path.,,,,,
480F3F7BDF10DB42AF2077E7AF4524C2,Suspicious Activity in Client 066,0,Access to critical resource,"Any activity on client 006 e.g. transaction, program, RFC and HTTP calls leads to an alert",,,,,
431B9B5CC6FC1744B7F60E0804795ACD,Logon after access to USR02,0,Access to hash table and logon,Alerts a logon attempt after the same network address had access to USR02 of the system,,,,,
4D96BC818CAD4342ABB1574B0F10D3C7,Indicator access to USR02,0,Access to hash table and logon,This Indicator triggers when accessing USR02 (e.g. user password hashes),,,,,
159FEFCD0A5BC640B235CC965074DF6A,Critical authorization assignment,1,Authorization Critical Assignment,Alert when a user is assigned critical profiles (e.g. SAP_ALL or SAP_NEW).,,,,,
165F8DDBDA64A34280A23ABB3F3D6B32,Critical authorization assignment and logon,0,Authorization Critical Assignment,Alert when a user is assigned critical profiles (e.g. SAP_ALL or SAP_NEW) and later logged on successfully,,,,,
495DF1FAFFC26B44BCF3CC51CF5EA365,Authorization assignment by non-admin-group user,0,Authorization Critical Assignment,Alert when a user who is not an administrator has changed a role or profile of a user.,,,,,
77FF9B8B9C1D0847A7918BB3F9F48CF5,Assign user to ADMIN user group,0,Authorization Critical Assignment,Alert when a user has been assigned to the ADMIN user group.,,,,,
0FCC0D545B36D442BABE670B7541FDD0,User role changed to *,0,Authorization Critical Assignment,Alert when an authentication within a role is changed to *.,,,,,
305166E4E6C11B4593B31CFBB6BABD44,User role create or drop,0,Authorization Critical Assignment,Alert when a user role has been changed.,,,,,
A64329567AB20543905139CB51384F53,Critical authorization assignment per debugging,0,Authorization Critical Assignment,Alert a critical authorization (e.g. SAP_ALL or SAP_NEW) assignment per debugging.,,,,,
829220C3BAB30F44AA005F5353B8E564,Reference user assignment,0,Authorization Critical Assignment,Alert when a reference user was assigned to a user.,,,,,
856452A1C0F6F4458CABE5151A0DC560,Assign user to admin group (not ABAP group),0,Authorization Critical Assignment,Alert when a user is assigned to one admin user group. Such user groups are not ABAP user group.,,,,,
FFEFD5B718F11543B1EE6D42D5F09D1B,J2EE Authorization Assignment to non-admin Role,0,Authorization Critical Assignment,Alert if a critical authorization is assigned to a role which is not the Administrator role.,,,,,
