vmwaudcimlkup,action,change_type,status
connector_logged_in_successfully,started,aaa,success
updated_report_in_feed,updated,feed,success
replace_report_in_feed,updated,feed,success
live_response_created,created,live response,success
live_response_terminated,stopped,live response,success
live_response_file_download,read,live response,success
login_success,started,aaa,success
reputation_override_added,updated,reputation,success
reputation_override_deleted,deleted,reputation,success
reputation_lookup,read,reputation,success
edit_dismissed_cve,modified,cve,success
dismissed_cve,cleared,cve,success
undismissed_cve,modified,cve,success
downloaded_policy,read,policy config,success
find_devices_search,read,find device,success
set_device_attribute,modified,device attribute,success
retrieved_secret,read,secret,success
vuln_export_trigger,read,vulnerability export,success
report_updated,modified,report,success
livequery_run,,livequery run,success
livequery_run_start,started,livequery run,success
download_job_output,read,livequery run,success
knownbad_query,read,query known bad,success
bad_login_password,logoff,aaa,failure
