Object_Type,dataset_name
ACCOUNTS,data
ANALYTICS,data
APPLICATION,change
ARCHIVAL,change
CERTIFICATEMANAGEMENT,certificates
CONNECTIONS,data
DATA_ANALYZER,data
ECM_EMAIL_TEMPLATE,data
ENDPOINT,data
ENTITLEMENTS,data
ENTITLEMENT_TYPE,data
GLOBAL_CONFIGURATION,data
HANARULE,change
JOB_CONTROL,data
New,data
ORGANIZATION,data
PASSWORD_POLICY,data
ROLE,data
SAVROLE,data
SECURITY_SYSTEM,data
USERS,data
User_Groups,data
uration,data
