STN,Station
272,RAMSPOL
161,TERNAARD
998,DE BILT (TEST)
316,SCHAAR
313,VLAKTE V.D. RAAN
20,WINTERSWIJK
163,NIJKERK (SLUIS)
551,AUK
148,VENLO
343,R'DAM-GEULHAVEN
35,HAAMSTEDE
208,AWG-1
275,DEELEN
325,ZIERIKZEE
29,HOORN (NH)
350,GILZE-RIJEN
203,P11-B
138,MAASTRICHT
211,J6-A
153,STAVOREN
321,EUROPLATFORM
340,WOENSDRECHT
311,HOOFDPLAAT
247,BLOEMENDAAL
204,K14-FA-1C
165,KAAP HOOFD
139,MARKEN
129,EMMELOORD
17,WILHELMINADORP
320,LICHTEILAND GOEREE
147,URK
280,EELDE
273,MARKNESSE
323,WILHELMINADORP
268,HOUTRIB
249,BERKHOUT
168,EPEN
202,MP KATWIJK
135,KORNWERDERZAND
348,CABAUW
319,WESTDORPE
285,HUIBERTGAT
385,DE PEEL
617,ARCEN
212,HOORN-A
344,ROTTERDAM
126,ST ANNALAND
553,EUROPLATFORM
159,KAPELLEBRUG
251,HOORN (TERSCHELLING)
253,AUK-ALFA
279,HOOGEVEEN
8,LELYSTAD
209,IJMOND
37,WAGENINGEN (HAARWEG)
270,LEEUWARDEN
391,ARCEN
170,OOST MAARLAND
33,GEMERT
554,MEETPOST NOORDWIJK
552,EKOFISK
227,PETTEN
324,STAVENISSE
244,HOORN (NH)
162,OOSTVAARDERSDIEP
255,NORTH CORMORANT
240,SCHIPHOL
999,HOOGEVEEN TEST
108,HELLEVOETSLUIS
230,DEN HELDER
604,HERWIJNEN
377,ELL
277,LAUWERSOOG
201,D15-FA-1
379,OOST-MAARLAND
550,K13
152,SCHOONDIJKE
225,IJMUIDEN
142,OUDE WETERING
207,L9-FF-1
330,HOEK VAN HOLLAND
263,DE BILT (TEST)
266,KORNWERDERZAND
167,BIERUM
995,VLISSINGEN (TEST)
214,Gemini
133,HOORN (TERSCHELLING)
290,TWENTHE
615,HOOGEVEEN
39,H. VAN HOLLAND(MOLENPAD)
210,VALKENBURG
41,LELYSTAD
258,HOUTRIBDIJK
312,OOSTERSCHELDE
229,TEXELHORS MM
19,NIEUWE TONGE
260,DE BILT
370,EINDHOVEN
315,HANSWEERT
166,SCHIERMONNIKOOG
375,VOLKEL
380,MAASTRICHT
616,AMSTERDAM (COENHAVEN)
300,LICHTSCHIP NOORDHINDER
128,DEDEMSVAART
252,K13
28,JOURE
286,NIEUW BEERTA
40,NIJMEGEN (RADBOUD)
283,HUPSEL
310,VLISSINGEN
250,TERSCHELLING
614,EEMSHAVEN
308,CADZAND
215,VOORSCHOTEN
254,MEETPOST NOORDWIJK
278,HEINO
271,STAVOREN
605,LAUWERSOOG
130,EPEN ???
328,ROGGENPLAAT
239,F3-FB-1
122,ALMEN
267,STAVOREN
143,POORTUGAAL
205,A12-CPP
158,SPIJK (GR.)
269,LELYSTAD
13,WISSEKERKE
235,DE KOOY
257,WIJK AAN ZEE
36,NUMANSDORP
248,WIJDENES
38,NAALDWIJK
356,HERWIJNEN
34,EMMEN
265,SOESTERBERG
169,FORMERUM
164,ECHT
603,DIEPENVEEN
242,VLIELAND
