kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
5.9.16.106,80,malware,01.03.2018 18:41,5
5.9.43.174,80,malware,08.02.2017 21:02,4
5.187.5.248,80,malware,17.01.2017 15:15,4
5.196.88.239,80,malware,13.04.2018 16:14,2
8.37.235.3,80,malware,09.03.2015 00:00,2
8.37.232.4,80,malware,23.03.2015 00:00,2
13.232.63.223,80,malware,27.04.2018 17:52,2
5.23.53.222,80,malware,05.03.2018 10:33,2
5.23.54.96,80,malware,04.01.2018 12:13,2
13.232.33.108,80,malware,27.04.2018 14:54,2
13.127.192.199,80,malware,29.04.2018 10:56,2
13.232.55.130,80,malware,29.04.2018 11:25,2
13.127.206.144,80,malware,28.04.2018 21:00,2
13.127.209.65,80,malware,29.04.2018 16:18,2
13.127.224.8,80,malware,30.04.2018 09:57,2
13.126.147.207,80,malware,30.04.2018 09:24,2
5.9.158.75,80,tor_exit_node,16.05.2016 11:52,2
13.126.242.244,80,malware,27.04.2018 21:06,2
5.8.88.205,80,malware,02.08.2017 00:30,2
5.254.112.154,80,tor_exit_node,22.05.2017 23:20,2
5.188.231.58,80,malware,06.05.2017 02:27,2
5.9.109.205,79,malware,17.01.2018 21:15,5
5.9.110.228,79,malware,17.01.2018 21:15,5
5.9.67.171,79,malware,17.01.2018 21:15,4
5.187.6.40,79,malware,08.08.2017 15:58,2
5.9.61.75,78,malware,17.01.2018 21:15,5
5.9.81.135,78,malware,17.01.2018 21:15,4
5.149.250.227,75,malware,21.11.2017 22:31,5
5.149.253.27,75,malware,21.11.2017 22:31,5
5.149.253.119,75,malware,26.07.2017 09:59,5
5.149.251.173,75,malware,15.03.2017 17:58,5
5.149.250.233,75,malware,14.03.2017 15:36,5
5.9.136.118,75,malware,17.01.2018 21:43,5
5.101.1.55,75,malware,05.12.2017 11:57,5
5.135.234.116,75,malware,16.02.2018 21:32,5
23.21.53.16,75,malware,07.04.2018 05:43,4
23.23.156.214,75,malware,23.03.2018 09:40,4
