kl_domain,kl_first_seen,kl_popularity,kl_threat
disorderstatus.ru,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
sampsteal-cp.com,01.07.2017 16:46,4,CnC.Win32.Generic
istanbulnlpkurumsal.com,23.07.2015 10:38,4,Backdoor.Win32.Drivedos
infomuebles.net,21.09.2015 11:47,3,Trojan-Spy.Win32.Zbot
haflaty.com,18.05.2015 05:30,3,Trojan.Win32.Neurevt
neyetta.com,07.05.2015 13:32,2,Trojan.Win32.Generic
fsdafsdsdf2sdfasdf.com,19.04.2015 01:14,2,Trojan-Downloader.Win32.Andromeda
d0ntw0rry.com,29.12.2014 19:30,2,CnC.Win32.Generic
mertovilagersd.com,21.11.2014 14:21,2,Backdoor.Win32.Metel
poppinge.info,13.03.2015 21:35,2,Trojan-Downloader.Win32.Andromeda
keralaayurtheeram.com,29.04.2015 14:43,2,Trojan-Ransom.Win32.Cryptodef
allidoiscashouttt.com,12.07.2015 14:31,2,Trojan-Downloader.Win32.Andromeda
catchashotnigga.com,11.06.2015 17:41,2,Trojan-Downloader.Win32.Andromeda
hawtttnigga.com,04.06.2015 14:44,2,Trojan-Downloader.Win32.Andromeda
dropniggasss.com,01.06.2015 11:51,2,Trojan-Downloader.Win32.Andromeda
norecsituld.com,24.06.2017 13:37,2,CnC.Win32.Generic
bareknucklechoppers.com,10.07.2015 18:11,2,Trojan-Ransom.Win32.Cryptodef
torswassforjec.ru,09.06.2017 16:26,2,Trojan-Spy.Win32.Zbot
wilronwarat.com,09.06.2017 16:25,2,Trojan-Spy.Win32.Zbot
cinarbayrak.com,03.03.2015 11:44,2,Trojan-Spy.Win32.Zbot
aparate-anti-insecte.ro,16.02.2017 15:06,2,Trojan-PSW.Win32.Fareit
ontitbisup.ru,23.06.2017 16:05,2,CnC.Win32.Generic
almirot.com,27.09.2015 17:40,2,Trojan-Ransom.Win32.Cryptodef
stigping.com,16.06.2017 07:19,2,Trojan-PSW.Win32.Fareit
binayakinstitute.com,09.06.2017 00:18,2,Trojan.Win32.Fsysna
outletcargaldakao.com,26.11.2016 13:23,2,CnC.Win32.Generic
hostelinramallah.com,07.06.2017 11:33,2,CnC.Win32.Generic
haxmall.in,19.06.2017 12:38,2,Backdoor.Win32.Mokes
rectincasof.com,24.06.2017 13:37,2,CnC.Win32.Generic
undwonotsu.ru,09.06.2017 16:26,2,Trojan-Spy.Win32.Zbot
gogos1.net,15.05.2014 20:31,2,CnC.Win32.Generic
impotrivadaunatorilor.ro,10.04.2017 08:33,2,Trojan-PSW.Win32.Fareit
hillschurch.org,24.03.2015 08:42,2,Trojan-Spy.Win32.Zbot
ninggefotert.com,24.06.2017 13:37,2,CnC.Win32.Generic
afzco.com,08.02.2016 08:06,2,Trojan-PSW.MSIL.Chisburg
salehkhalaf.com,20.02.2015 17:02,2,Trojan-Spy.Win32.Zbot
homesetting.vn,05.08.2016 18:27,2,Trojan-PSW.Win32.Fareit
vyomvision.com,20.02.2017 07:45,2,Trojan-PSW.Win32.Fareit
123dang.com,08.07.2015 23:39,2,Trojan-SMS.AndroidOS.Agent
schoonheidssalonbelise.nl,02.06.2017 14:53,2,Trojan.Win32.Neurevt
hitadinu.info,13.03.2017 14:56,2,CnC.Win32.Generic
yansanmetals.com,03.05.2017 03:15,2,Trojan-PSW.Win32.Fareit
disgogoweb.com,12.05.2017 20:15,2,CnC.Win32.Generic
iahrda.com,15.11.2016 08:53,2,CnC.Win32.Generic
sokedtanwa.com,24.06.2017 13:37,2,CnC.Win32.Generic
3acapital.in,09.07.2015 20:46,2,Trojan-Spy.Win32.Zbot
groundzero360.org,22.09.2015 07:56,2,Trojan-Ransom.Win32.Cryptodef
fiadssds.com,31.01.2014 12:20,2,Trojan-SMS.AndroidOS.Opfake
krmcargoservices.com,30.03.2015 06:19,2,Trojan-Spy.Win32.Zbot
jmturkey.com,09.06.2017 11:16,2,Trojan-Spy.Win32.Zbot
undhaphety.com,24.06.2017 13:37,2,CnC.Win32.Generic
agrivietcorp.com,22.09.2015 05:58,2,Trojan-Ransom.Win32.Cryptodef
kodehelp.com,28.09.2015 13:47,2,Trojan-Ransom.Win32.Cryptodef
rmsmeble.pl,19.04.2017 04:34,2,Trojan-PSW.Win32.Fareit
sathicehat.org,17.04.2014 08:25,2,CnC.Win32.Generic
stikerlabelnama.com,18.04.2017 09:48,2,Trojan.Win32.Inject
heckotwithrep.com,24.06.2017 13:37,2,CnC.Win32.Generic
easyturn.info,03.11.2014 19:10,2,Trojan-Spy.Win32.Zbot
pacifista.ru,23.03.2015 17:25,2,Trojan-Downloader.Win32.Andromeda
metalaqua.com,04.02.2017 02:17,2,Trojan-PSW.Win32.Fareit
gvaq70s7he.ru,24.04.2017 15:06,2,Backdoor.Win32.Androm
tavana-es.com,29.03.2017 06:55,2,Trojan-Downloader.Win32.Agent
irantrip.com,13.03.2017 03:28,2,Trojan-PSW.Win32.Fareit
droidjack.net,02.08.2015 07:34,2,Backdoor.AndroidOS.Climap
sparlyhapwas.com,24.06.2017 13:37,2,CnC.Win32.Generic
kilicmakina.net,28.09.2015 07:48,2,Trojan-Spy.Win32.Zbot
yuzbin.net,21.01.2014 15:43,2,CnC.Win32.Generic
stasinos.gr,22.02.2017 08:14,2,Trojan-PSW.Win32.Fareit
gijegapa.com,25.04.2016 13:28,2,Trojan-SMS.AndroidOS.Podec
thetheme.net,13.04.2015 14:29,2,Trojan-Spy.Win32.Zbot
doranobi-fansub.id,08.03.2017 01:10,2,Trojan-PSW.Win32.Fareit
ficohitech.com,07.04.2017 13:51,2,Trojan-PSW.Win32.Chisburg
waratrolper.ru,31.05.2017 19:21,2,Trojan-Spy.Win32.Zbot
clinicapromaxi.com,17.03.2015 10:54,2,Trojan-Spy.Win32.Zbot
slriva.ru,15.11.2016 12:13,2,Trojan-Banker.Win32.NeverQuest
selfascension.com,28.03.2015 12:05,2,Trojan-Spy.Win32.Zbot
fcbzr.org,11.05.2017 12:39,2,Trojan-PSW.Win32.Tepfer
dotfusion.in,18.02.2014 17:44,2,CnC.Win32.Generic
vardhmansteel.com,11.05.2017 14:10,2,Trojan-PSW.Win32.Fareit
bdgroup-lab.com,06.03.2017 11:09,2,Trojan-PSW.Win32.Fareit
yourmainstage.net,17.04.2014 08:25,2,CnC.Win32.Generic
go-mobiles.net,19.10.2016 15:05,2,Trojan.AndroidOS.Agent
i3h.net,27.02.2017 05:10,2,Trojan-Downloader.Win32.Geral
dhones.com,01.06.2015 11:51,2,Trojan.Win32.Neurevt
effect-magazine.com,14.05.2015 20:09,2,Trojan.Win32.Neurevt
ymokymakyfe.biz,25.04.2016 13:28,2,Trojan-SMS.AndroidOS.Podec
cavih.com,21.03.2016 14:51,2,Trojan-PSW.Win32.Fareit
0q1.ru,17.12.2014 15:06,2,Backdoor.Win32.DMSpammer
anymotorcar.com,06.05.2015 18:18,2,Trojan-Spy.Win32.Zbot
g-s.site,29.05.2017 12:42,2,CnC.Win32.Generic
bsmax.fr,05.05.2017 18:02,2,Trojan-Spy.Win32.Zbot
o-bon.ru,12.07.2016 01:05,2,Trojan-Banker.AndroidOS.Faketoken
muazymaur.tk,31.10.2014 21:49,2,Trojan-Spy.Win32.Zbot
daralarabco.com,07.03.2016 07:28,2,Trojan-PSW.Win32.Fareit
freerutor.net,17.04.2014 08:25,2,CnC.Win32.Generic
dimar.cl,31.08.2014 20:39,2,Trojan-Spy.Win32.Zbot
toptendulichnhatrang.com,01.04.2015 20:35,2,Trojan-Ransom.Win32.Cryptodef
dandiesinoz.com,26.04.2017 11:48,2,Trojan.Win32.Reconyc
nidoo.in,30.09.2014 14:45,2,Trojan-Spy.Win32.Zbot
lesynhogia.net,16.01.2014 21:05,2,Trojan.Win32.Generic
tescaindonesia.org,26.06.2014 11:22,2,Trojan-Spy.Win32.Zbot
raqtangroup.com,01.03.2017 08:09,2,Trojan-PSW.Win32.Chisburg
agrihypermart.in,12.05.2017 13:30,2,Trojan-PSW.Win32.Fareit
gundekurkcu.com,24.09.2015 11:55,2,Trojan-Spy.Win32.Zbot
