kl_hash,kl_first_seen,kl_popularity,kl_threat
E925124C8B716CA5F4938965F079A5C4469084DC07DDC2036948919CBB8E352B,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
555D37C79D45E6BE0F4C6FC59AAFBE9E67D9C985BB164A26B42D686E32CFBB58,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
E7C248FEA4B21A184BCD0C9384A9EF47D645A8088CC2BF05B02924B3DDAEB3E1,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
283B9E831159594A0A39B74C0C5FC93085BCF83C4C269E11D6C850DF459779C0,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
FB030232CF303D899975ACF42753C7040F5EA0109146CC70003DFBA81F3C00F5,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
58E1A28A7A32B2E87489C2E19DED00D92A3DE211EF023C0EEF75AC3B81CE42A3,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
4F637B382F0D30CB98D60D99F358B3C11DAE20AEEDFBF18C2377B58F5F3E4CA5,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
46F5E8598E5A9F857D8A741DA8CCD342AF1C329FF56753592EE6F44FDD20F25D,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
310E6611E12998CBC9C4C57C5D5E467B972CB5F69960441FA1C4E3F6BB8C98B7,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
5A9CE1EC04F5ACD21FE58DCD717664A30A95A96F240FCADCC6010ED41260B40C,15.04.2015 13:18,5,Trojan-Downloader.Win32.Andromeda
EFE613EC97AAC819FBB9B8A3EBDB84DAF7399F2FFD0B4D7D305DA2565D9343B4,13.03.2017 03:28,5,Trojan.Win32.Fsysna
A2607DDE4D551EE4A690C7D87BE2A144CD7F01E688606468646B418FB59A26BA,06.03.2017 09:21,4,Backdoor.Win32.Xtreme
F0B9DE1DA5B1017BEA0BCB35570F045EA02728663B5F3D96D8A91AA7E5C32CA4,06.03.2017 09:21,4,Backdoor.Win32.Xtreme
00E80568B5E902EC9BCF17ABB5E469D7EB0FE3C5E30180020F4668A49988C2AA,06.03.2017 09:21,4,Backdoor.Win32.Xtreme
D1B89432B2C97D8044A860B1318074EFD5FC30CBE251B71348259C7588263DD1,06.03.2017 09:21,4,Backdoor.Win32.Xtreme
98F9E76252910651D58CA1EA1CACC10685CEEBC79CD8141036040A5B4774F92B,09.06.2017 02:03,4,Trojan.Win32.Neurevt
4BFFFDA5F09F782D5F6E18B5D1447F36CA253305F679BDD133ED4F8E65643CE9,09.06.2017 02:03,4,Trojan.Win32.Neurevt
884109970DC8D215937047C3302A2DFA875D7391F372BFA04891DE9B74FEF4FE,09.06.2017 02:03,4,Trojan.Win32.Neurevt
55CD6290728835CCE6CEA3A20BEC4D56BAB7443F00D3F1B0DF896D4D8BBCA6ED,21.04.2015 17:14,3,Worm.VBS.Dinihou
E3828DAD86EC43B5481CE9EDA572750480C80BBFBB9BD6BEA6E40C520CD2F082,12.03.2017 03:12,2,CnC.Win32.Generic
DC2F58EBE8E1535C57C1AB52187256B6306CFDE2DFE9E6147008F75242A54B49,12.03.2017 03:12,2,CnC.Win32.Generic
C18232F9333173E23A509F4C89BE68F4FCE56C382DA4BE21F0150D4617CC8F35,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
3FB6BDDAF80362817893931B9C4DC85DC3FCD02094845AC8EB6761F6863292F4,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
DA2625C72A7D295DFDC731573681F7572443C546DFF650EF21DF09F16FD78AEA,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
50D0EA3F123B32558B3E83DE3C9542ED4F90C0B485071BA69B8F0CAB813D3D5C,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
CC45029445077D8D97B56E082656AB5419D822923977E483DECA7754FB02E964,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
E295759D8B341F2439C0C8FE649CAB6B789B59CF02A370EAB901BD97E9EDF39C,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
69C7E985CE89F735F9602060D537E4A5E676F13E5CC65508BA4DEDC562B917B9,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
6AF78D42F3BCF34872F6F6DE66364D7E8D352CFABE2622C412DDBB1E87886A7C,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
A0CFF819D467E843805630C282241438C8445395C95703493B081B37E81D94FB,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
28C5CC38C1F5BB1B4DDD2B94B1BC21DA12E8A8FBDC3E50D3FB49D59FFBB8C30E,25.01.2017 07:40,2,Trojan-PSW.Win32.Fareit
13EBF67052D40A0C6268BE627735CC5177BB9AB2CEE21C04B88D45232672B3CD,27.09.2013 15:12,2,Backdoor.MSIL.Bladabindi
DA163B249C766DE52773B9FC11BAC2D3F7A23A80E47FC3B362A823F26FF7B51A,21.03.2017 17:23,2,Trojan-Spy.Win32.Zbot
CA7A31FEC06124DE22494C050594FD61859C65129809900B85EC41FEBA6A53C9,21.03.2017 17:23,2,Trojan-Spy.Win32.Zbot
443072A096F6F36F47D3D7B9ECD3CF0281F70DD881D73C1FEE819FDE36B8D2D0,21.03.2017 17:23,2,Trojan-Spy.Win32.Zbot
9E3C179BF7153FE018BE7349E9A6D4432A0ACE95886A6D5AD1669C1FE74CDA4F,10.11.2015 23:48,2,Trojan-Ransom.Win32.Cryptodef
