"object-group",object,description
ltmAttrGroup,ltmAttrLbmodeFastestMaxIdleTime,"Deprecated! variable LBMode.FastertMaxIdleTime is purged."
ltmAttrGroup,ltmAttrMirrorState,"The state of mirroring in redundant systems."
ltmAttrGroup,ltmAttrPersistDestAddrLimitMode,"The method of limiting destination address entries."
ltmAttrGroup,ltmAttrPersistDestAddrMaxCount,"The maximum number of entries allowed for the destination address entries."
ltmAttrGroup,ltmAttrSnatAnyIpProtocol,"The status of the feature that allows any IP traffic through SNATs."
ltmAttrGroup,ltmAttrMirrorPeerIpAddr,"The IP address of the mirroring peer in redundant systems."
ltmRateFilterGroup,ltmRateFilterNumber,"The number of ltmRateFilter entries in the table."
ltmRateFilterGroup,ltmRateFilterCname,"The rate class name specified by the user according to the same syntax allowed for rules or pool names."
ltmRateFilterGroup,ltmRateFilterRate,"The base rate. It is a number which may be postfixed with a metric of either bps, Kbps or Mbps, to indicate bits per second, Kilobits per second, or Megabits per second, respectively. Note: these numbers are powers of 10, not powers of 2. If no postfix is specified, the number is interpreted as bps. The rate specifies the maximum throughput to allot to traffic handled by the Rate Class. Packets in excess of the posted rate will be dropped."
ltmRateFilterGroup,ltmRateFilterCeil,"The ceiling rate. It is defined like the base rate, but specifies how far beyond the base rate the traffic is allowed to flow when bursting (details on bursting below). The ceiling rate is an absolute limit - it is impossible for traffic to flow at a higher rate than the ceiling rate, even when bursting. If the ceiling rate is omitted or is equal to the base rate, the traffic may not exceed the base rate. It is illegal for the ceiling rate to be less than the base rate."
ltmRateFilterGroup,ltmRateFilterBurst,"The burst size. It specifies the maximum number of bytes the traffic is allowed to burst when exceeding the base rate. The burst size is measured in bytes. If omitted, a default burst size is 0."
ltmRateFilterGroup,ltmRateFilterPname,"The parent rate class name. It indicates that the rate class is a child of the named parent. Any child rate class has the ability to borrow bandwidth from its parent (borrowing is a feature which allows a child to burst even beyond the burst size by borrowing from the burst size of a parent). If omitted, the rate class is not a child, but may be a parent if another rate class refers to it as such."
ltmRateFilterGroup,ltmRateFilterQtype,"The queue discipline type: none - invalid state; sfq - stochastic fair queue; pfifo - priority FIFO."
ltmRateFilterGroup,ltmRateFilterDirection,"The state of the direction which the filter shapes traffic to: any - shape to the client and server; client - only shape traffic to the client; server - only shape traffic to the server."
ltmRateFilterStatGroup,ltmRateFilterStatResetStats,"The action to reset resettable statistics data in ltmRateFilterStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmRateFilterStatGroup,ltmRateFilterStatNumber,"The number of ltmRateFilterStat entries in the table."
ltmRateFilterStatGroup,ltmRateFilterStatCname,"The rate class name specified by the user according to the same syntax allowed for rules or pool names."
ltmRateFilterStatGroup,ltmRateFilterStatRateBytes,"The number of bytes at or below base rate - increments by 1 for every byte of every packet handled at or below the base rate."
ltmRateFilterStatGroup,ltmRateFilterStatBurstBytes,"The number of bytes bursted (above base rate) - increments by 1 for every byte of every packet handled above the base rate (i.e. bursted traffic)."
ltmRateFilterStatGroup,ltmRateFilterStatDroppedBytes,"Deprecated! Replaced by ltmRateFilterStatDropTotBytes: the number of bytes dropped - increments by 1 for every byte of every packet dropped by the rate class."
ltmRateFilterStatGroup,ltmRateFilterStatBytesQueued,"The number of bytes queued."
ltmRateFilterStatGroup,ltmRateFilterStatBytesPerSec,"The average bytes/sec over last 4 sec."
ltmRateFilterStatGroup,ltmRateFilterStatDropTailPkts,"The number of packets dropped - increments by 1 for every packet dropped by the rate class as queue overflow."
ltmRateFilterStatGroup,ltmRateFilterStatDropTailBytes,"The number of bytes dropped - increments by 1 for every byte of every packet dropped by the rate class as queue overflow."
ltmRateFilterStatGroup,ltmRateFilterStatDropRandPkts,"The number of packets dropped - increments by 1 for every packet dropped by the rate class as RED or FRED policy."
ltmRateFilterStatGroup,ltmRateFilterStatDropRandBytes,"The number of bytes dropped - increments by 1 for every byte of every packet dropped by the rate class as RED or FRED policy."
ltmRateFilterStatGroup,ltmRateFilterStatDropTotPkts,"The total number of packets dropped - increments by 1 for every packet dropped by the rate class."
ltmRateFilterStatGroup,ltmRateFilterStatDropTotBytes,"The total number of bytes dropped - increments by 1 for every byte of every packet dropped by the rate class."
ltmMirrorPortGroup,ltmMirrorPortNumber,"The number of ltmMirrorPort entries in the table."
ltmMirrorPortGroup,ltmMirrorPortName,"The name of a port to which is mirrored."
ltmMirrorPortMemberGroup,ltmMirrorPortMemberNumber,"The number of ltmMirrorPortMember entries in the table."
ltmMirrorPortMemberGroup,ltmMirrorPortMemberToName,"The name of a port which it is mirrored to."
ltmMirrorPortMemberGroup,ltmMirrorPortMemberName,"The name of a mirrored port."
ltmMirrorPortMemberGroup,ltmMirrorPortMemberConduitName,"This attribute is used to represent a local edge port when a conduit between switch devices is necessary."
ltmNatGroup,ltmNatNumber,"The number of ltmNat entries in the table."
ltmNatGroup,ltmNatTransAddrType,"The IP address type of ltmNatTransAddr."
ltmNatGroup,ltmNatTransAddr,"The NAT translation address. It is interpreted within the context of a ltmNatTransAddrType value."
ltmNatGroup,ltmNatOrigAddrType,"The IP address type of ltmNatOrigAddr."
ltmNatGroup,ltmNatOrigAddr,"The NAT original address associated with the specified NAT translation address. It is interpreted within the context of a ltmNatOrigAddrType value."
ltmNatGroup,ltmNatEnabled,"The state indicating whether the specified NAT address is enabled or not."
ltmNatGroup,ltmNatArpEnabled,"The ARP state for the specified NAT, whether it is enabled or not."
ltmNatGroup,ltmNatUnitId,"The unit number associated with the specified NAT translation address."
ltmNatGroup,ltmNatListedEnabledVlans,"The state indicating whether associated VLANs are NAT enabled or not. The associated VLANs are listed in ltmNatVlanTable."
ltmNatGroup,ltmNatName,"Name of the NAT."
ltmNatStatGroup,ltmNatStatResetStats,"The action to reset resettable statistics data in ltmNatStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmNatStatGroup,ltmNatStatNumber,"The number of ltmNatStat entries in the table."
ltmNatStatGroup,ltmNatStatTransAddrType,"Deprecated! The IP address type of ltmNatStatTransAddr."
ltmNatStatGroup,ltmNatStatTransAddr,"Deprecated! The NAT translation address. It is interpreted within the context of a ltmNatStatTransAddrType value."
ltmNatStatGroup,ltmNatStatServerPktsIn,"The number of packets received from server-side."
ltmNatStatGroup,ltmNatStatServerBytesIn,"The number of bytes received from server-side."
ltmNatStatGroup,ltmNatStatServerPktsOut,"The number of packets sent to server-side."
ltmNatStatGroup,ltmNatStatServerBytesOut,"The number of bytes sent to server-side."
ltmNatStatGroup,ltmNatStatServerMaxConns,"The maximum connections from server-side."
ltmNatStatGroup,ltmNatStatServerTotConns,"The total connections from server-side."
ltmNatStatGroup,ltmNatStatServerCurConns,"The current connections from server-side."
ltmNatStatGroup,ltmNatStatName,"Name of the NAT."
ltmNatVlanGroup,ltmNatVlanNumber,"The number of ltmNatVlan entries in the table."
ltmNatVlanGroup,ltmNatVlanTransAddrType,"Deprecated! Use nat_name to associate VLAN to NAT. The IP address type of ltmNatVlanTransAddr."
ltmNatVlanGroup,ltmNatVlanTransAddr,"Deprecated! Use nat_name to associate VLAN to NAT. The NAT translation address. It is interpreted within the context of a ltmNatVlanTransAddrType value."
ltmNatVlanGroup,ltmNatVlanVlanName,"The name of a VLAN associated with the specified NAT. Only when ltmNatListedEnabledVlans is set to enable, NAT is enabled on the VLAN. "
ltmNatVlanGroup,ltmNatVlanNatName,"Name of the NAT."
ltmNodeAddrGroup,ltmNodeAddrNumber,"The number of ltmNodeAddr entries in the table."
ltmNodeAddrGroup,ltmNodeAddrAddrType,"The IP address type of ltmNodeAddrAddr."
ltmNodeAddrGroup,ltmNodeAddrAddr,"The IP address of a node. It is interpreted within the context of a ltmNodeAddrAddrType value."
ltmNodeAddrGroup,ltmNodeAddrConnLimit,"The maximum number of connections the specified node address is allowed to have open at one time."
ltmNodeAddrGroup,ltmNodeAddrRatio,"The ratio of the specified node address, used in load balance algorithm."
ltmNodeAddrGroup,ltmNodeAddrDynamicRatio,"The dynamic ratio of the specified node address, used in load balance algorithm."
ltmNodeAddrGroup,ltmNodeAddrMonitorState,"The internal tmm monitor state for the specified node address."
ltmNodeAddrGroup,ltmNodeAddrMonitorStatus,"The hierarchical load balance state for the specified node address, including parent status: unchecked - enabled node that is not monitored; checking - initial state until monitor reports; inband - the tmm has marked the node up; forced-up - forced up manually up - enabled node when its monitors succeed; addr-down - node address monitor fails or forced down; down - enabled node when its monitors fail; forced-down - node forced down manually; maint - in maintenance mode; irule-down - an iRule has marked the node down; inband-down - the tmm has marked the node down; down-manual-resume - the node is down and must be manually enabled."
