id,value
185,onelogin_event_vldap_settings_updated
186,onelogin_event_branding_enabled
187,onelogin_event_branding_disabled
188,onelogin_event_branding_updated
189,onelogin_event_mapping_added
190,onelogin_event_mapping_deleted
191,onelogin_event_mapping_disabled
192,onelogin_event_mapping_enabled
193,onelogin_event_mapping_updated
194,onelogin_event_user_field_added
195,onelogin_event_user_field_deleted
196,onelogin_event_company_info_updated
197,onelogin_event_account_settings_updated
198,onelogin_event_directory_created
199,onelogin_event_directory_destroyed
200,onelogin_event_directory_connector_instance_added
201,onelogin_event_directory_connector_instance_deleted
202,onelogin_event_reapplied_mappings
203,onelogin_event_self_registration_profile_created
204,onelogin_event_self_registration_profile_updated
205,onelogin_event_self_registration_profile_destroyed
206,onelogin_event_manually_added_login
207,onelogin_event_manually_removed_login
208,onelogin_event_retried_provisioning
209,onelogin_event_directory_user_import_warning
210,onelogin_event_ldap_connector_exception
211,onelogin_event_admin_changed_user_password
212,onelogin_event_directory_locked
213,onelogin_event_profile_picture_uploaded
214,onelogin_event_profile_picture_deleted
215,onelogin_event_admin_changed_account_settings
216,onelogin_event_job_in_queue
217,onelogin_event_directory_import_limit_reached
218,onelogin_event_reapplied_mappings_failed
219,onelogin_event_workday_real_time_notification
220,onelogin_event_admin_created_payment_record
221,onelogin_event_admin_updated_payment_record
222,onelogin_event_admin_deleted_payment_record
223,onelogin_event_user_unlicensed
224,onelogin_event_user_licensed_manually
225,onelogin_event_user_unlicensed_manually
226,onelogin_event_user_unlicensed_automatically
227,onelogin_event_user_license_failed
228,onelogin_event_users_licensed_bulk
229,onelogin_event_account_near_limit
230,onelogin_event_account_in_limit
231,onelogin_event_users_in_unlicensed_state
232,onelogin_event_user_agreed_terms
233,onelogin_event_user_denied_terms
234,onelogin_event_admin_enabled_terms
235,onelogin_event_admin_updated_terms
236,onelogin_event_admin_disabled_terms
237,onelogin_event_delete_user_failed
238,onelogin_event_user_redirected_for_password_change
239,onelogin_event_import_user_failed
240,onelogin_event_user_revealed_password
241,onelogin_event_csv_import_failed
242,onelogin_event_job_start_failed
243,onelogin_event_job_terminated
244,onelogin_event_report_generated
245,onelogin_event_report_generation_failed
246,onelogin_event_report_generation_terminated
247,onelogin_event_user_mappings_failed
248,onelogin_event_user_mappings_succeeded
249,onelogin_event_user_bulk_operation_failed
250,onelogin_event_provisioning_app_config_error
251,onelogin_event_provisioning_app_throttled
252,onelogin_event_user_removelogins_failed
253,onelogin_event_entitlement_mappings_failed
254,onelogin_event_entitlement_mappings_reapplied
291,onelogin_event_user_created_by_tidp
300,onelogin_event_ldap_connector_started
301,onelogin_event_ldap_connector_notification
303,onelogin_event_ldap_connector_config_reload
304,onelogin_event_ldap_connector_stopped
305,onelogin_event_ldap_connector_fail_over
306,onelogin_event_manually_added_login_failure
307,onelogin_event_ldap_connector_provisioning_error
330,onelogin_event_user_disassociated_from_directory
331,onelogin_event_user_associated_to_directory
332,onelogin_event_user_directory_external_id_updated
333,onelogin_event_user_directory_external_id_deleted
334,onelogin_event_user_not_updated_in_app
400,onelogin_event_api_bad_request
401,onelogin_event_api_unauthorized
402,onelogin_event_mapping_skipped
410,onelogin_event_broadcaster_created
411,onelogin_event_broadcaster_updated
412,onelogin_event_broadcaster_deleted
501,onelogin_event_api_index_action
502,onelogin_event_api_show_action
503,onelogin_event_api_res_action
510,onelogin_event_api_set_pwd_salt
511,onelogin_event_api_set_pwd_clear_text
512,onelogin_event_api_set_custom_attrs
513,onelogin_event_api_add_roles
514,onelogin_event_api_remove_roles
515,onelogin_event_api_auth_issue_token
516,onelogin_event_api_logout
517,onelogin_event_api_set_pwd_salt_failed
518,onelogin_event_api_set_pwd_clear_text_failed
519,onelogin_event_api_set_custom_attrs_failed
520,onelogin_event_api_add_roles_failed
521,onelogin_event_api_remove_roles_failed
522,onelogin_event_api_auth_issue_token_failed
523,onelogin_event_api_logout_failed
524,onelogin_event_api_destroy_user_failed
525,onelogin_event_api_get_invite_link_failed
526,onelogin_event_api_lock_user_failed
527,onelogin_event_api_verify_factor_failed
528,onelogin_event_api_verify_factor
529,onelogin_event_api_update_user
530,onelogin_event_api_destroy_user
531,onelogin_event_api_lock_user
532,onelogin_event_api_update_user_failed
533,onelogin_event_api_create_user
534,onelogin_event_api_create_user_failed
535,onelogin_event_api_get_invite_link
536,onelogin_event_api_user_otps_retrieved
537,onelogin_event_api_confirm_factor
538,onelogin_event_api_confirm_factor_failed
539,onelogin_event_api_trigger_factor
540,onelogin_event_api_added_otp_device
541,onelogin_event_directory_updated
542,onelogin_event_directory_ous_changed
545,onelogin_event_api_send_invite_link_failed
546,onelogin_event_api_send_invite_link
550,onelogin_event_force_logout_user
551,onelogin_event_suspended_user_via_api
552,onelogin_event_reactivated_user_via_api
553,onelogin_event_user_locked_via_api
554,onelogin_event_unlocked_user_via_api
555,onelogin_event_external_assume_user
600,onelogin_event_app_created_by_user
601,onelogin_event_app_updated_by_user
602,onelogin_event_app_deleted_by_user
700,onelogin_event_connector_created
701,onelogin_event_connector_create_failed
702,onelogin_event_connector_updated
703,onelogin_event_connector_update_failed
704,onelogin_event_connector_deleted
705,onelogin_event_connector_delete_failed
706,onelogin_event_connector_stats_update
800,onelogin_event_parameter_created
801,onelogin_event_parameter_create_failed
802,onelogin_event_parameter_updated
803,onelogin_event_parameter_update_failed
804,onelogin_event_parameter_deleted
805,onelogin_event_parameter_delete_failed
900,onelogin_event_onelogin_desktop_mac_login_success
901,onelogin_event_onelogin_desktop_mac_login_failure
902,onelogin_event_onelogin_desktop_device_deleted
903,onelogin_event_onelogin_desktop_device_unbind
904,onelogin_event_onelogin_desktop_login_success
905,onelogin_event_onelogin_desktop_login_failure
906,onelogin_event_onelogin_desktop_user_failed_onelogin_login
907,onelogin_event_directory_export_success
911,onelogin_event_onelogin_desktop_revoke_cert_for_user
912,onelogin_event_onelogin_desktop_revoke_cert_for_device
931,onelogin_event_adaptive_login_enabled
932,onelogin_event_adaptive_login_disabled
950,onelogin_event_ol_otp_push_reject
1001,onelogin_event_user_login_challenge
1002,onelogin_event_user_login_challenge_failed
1010,onelogin_event_user_reauth_success
1100,onelogin_event_temp_otp_token_generated
1101,onelogin_event_temp_otp_token_revoked
1200,onelogin_event_delegated_app_privilege_denied
1201,onelogin_event_delegated_user_privilege_denied
1244,onelogin_event_user_added_phone_number
1245,onelogin_event_user_updated_phone_number
1300,onelogin_event_api_app_created
1301,onelogin_event_api_app_create_failed
1302,onelogin_event_api_app_updated
1303,onelogin_event_api_app_update_failed
1304,onelogin_event_api_app_destroyed
1305,onelogin_event_api_app_destroy_failed
1400,onelogin_event_user_verified_otp_device
1401,onelogin_event_api_auth_app_create_failed
1402,onelogin_event_api_auth_app_updated
1403,onelogin_event_api_auth_app_update_failed
1404,onelogin_event_api_auth_app_destroyed
1405,onelogin_event_api_auth_app_destroy_failed
1406,onelogin_event_api_auth_scope_created
1407,onelogin_event_api_auth_scope_create_failed
1408,onelogin_event_api_auth_scope_updated
1409,onelogin_event_api_auth_scope_update_failed
1410,onelogin_event_api_auth_scope_destroyed
1411,onelogin_event_api_auth_scope_destroy_failed
1412,onelogin_event_api_auth_claim_created
1413,onelogin_event_api_auth_claim_create_failed
1414,onelogin_event_api_auth_claim_updated
1415,onelogin_event_api_auth_claim_update_failed
1416,onelogin_event_api_auth_claim_destroyed
1417,onelogin_event_api_auth_claim_destroy_failed
1418,onelogin_event_api_auth_client_created
1419,onelogin_event_api_auth_client_create_failed
1420,onelogin_event_api_auth_client_updated
1421,onelogin_event_api_auth_client_update_failed
1422,onelogin_event_api_auth_client_destroyed
1423,onelogin_event_api_auth_client_destroy_failed
1424,onelogin_event_api_auth_app_created
1500,onelogin_event_sandbox_sync_started
1501,onelogin_event_sandbox_sync_failed
1502,onelogin_event_sandbox_synced
1503,onelogin_event_sandbox_deleted
1504,onelogin_event_sandbox_delete_failed
1505,onelogin_event_sandbox_created
1506,onelogin_event_sandbox_creation_failed
1507,onelogin_event_sandbox_updated
1508,onelogin_event_sandbox_update_failed
1509,onelogin_event_sandbox_deleted_by_api
1510,onelogin_event_sandbox_delete_failed_by_api
1511,onelogin_event_sandbox_created_by_api
1512,onelogin_event_sandbox_creation_failed_by_api
1513,onelogin_event_sandbox_updated_by_api
1514,onelogin_event_sandbox_update_failed_by_api
1600,onelogin_event_profile_devices_delete_device
1601,onelogin_event_profile_devices_rename_device
1602,onelogin_event_profile_devices_update_default
1603,onelogin_event_profile_settings_update_locale
1604,onelogin_event_profile_settings_update_phone
1605,onelogin_event_profile_settings_update_default_tab
1606,onelogin_event_profile_settings_update_profile_photo
1607,onelogin_event_profile_settings_update_app_auto_detect
1608,onelogin_event_profile_change_password
1609,onelogin_event_profile_settings_update_show_tabs
1700,onelogin_event_radius_attribute_created
1701,onelogin_event_radius_attribute_updated
1702,onelogin_event_radius_attribute_deleted
1801,onelogin_event_role_created
1802,onelogin_event_role_deleted
1900,onelogin_event_api_brand_created
1901,onelogin_event_api_brand_create_failed
1902,onelogin_event_api_brand_updated
1903,onelogin_event_api_brand_update_failed
1904,onelogin_event_api_brand_destroyed
1905,onelogin_event_api_brand_destroy_failed
2000,onelogin_event_hooks_list_function
2001,onelogin_event_custom_smtp_error
2002,onelogin_event_smtp_settings_updated
2003,onelogin_event_hooks_create_function
2004,onelogin_event_hooks_create_function_failed
2005,onelogin_event_hooks_get_function
2006,onelogin_event_hooks_get_function_logs
2007,onelogin_event_hooks_update_function
2008,onelogin_event_hooks_update_function_failed
2009,onelogin_event_hooks_delete_function
2010,onelogin_event_hooks_delete_function_failed
2011,onelogin_event_hooks_list_envvar
2012,onelogin_event_hooks_create_envvar
2013,onelogin_event_hooks_create_envvar_failed
2014,onelogin_event_hooks_get_envvar
2015,onelogin_event_hooks_update_envvar
2016,onelogin_event_hooks_update_envvar_failed
2017,onelogin_event_hooks_delete_envvar
2018,onelogin_event_hooks_delete_envvar_failed
3000,onelogin_event_oidc_general_fail
3001,onelogin_event_oidc_implicit_flow_success
3002,onelogin_event_oidc_implicit_flow_failed
3003,onelogin_event_oidc_get_code_success
3004,onelogin_event_oidc_get_code_failed
3005,onelogin_event_oidc_authorization_code_success
3006,onelogin_event_oidc_authorization_code_failed
3007,onelogin_event_oidc_client_credentials_success
3008,onelogin_event_oidc_client_credentials_failed
3009,onelogin_event_oidc_password_success
3010,onelogin_event_oidc_password_failed
3011,onelogin_event_oidc_refresh_token_success
3012,onelogin_event_oidc_refresh_token_failed
3013,onelogin_event_oidc_validate_token_success
3014,onelogin_event_oidc_validate_token_failed
3015,onelogin_event_oidc_revoke_token_success
3016,onelogin_event_oidc_revoke_token_failed
3017,onelogin_event_oidc_user_info_success
3018,onelogin_event_oidc_user_info_failed
9000,onelogin_event_user_enabled_workflow
9001,onelogin_event_user_disabled_workflow
9002,onelogin_event_user_initiated_workflow
9003,onelogin_event_user_completed_task
9004,onelogin_event_user_marked_task_complete
9005,onelogin_event_user_marked_workflow_complete
9006,onelogin_event_user_marked_task_incomplete
9007,onelogin_event_user_enabled_onboarding
9008,onelogin_event_user_disabled_onboarding
9009,onelogin_event_user_enabled_offboarding
9010,onelogin_event_user_disabled_offboarding
9011,onelogin_event_user_initiated_offboarding
9012,onelogin_event_user_initiated_onboarding
9013,onelogin_event_user_completed_workflow
9014,onelogin_event_app_rules_list_success
9015,onelogin_event_app_rules_list_failed
9016,onelogin_event_app_rules_create_success
9017,onelogin_event_app_rules_create_failed
9018,onelogin_event_app_rules_update_success
9019,onelogin_event_app_rules_update_failed
9020,onelogin_event_app_rules_get_success
9021,onelogin_event_app_rules_get_failed
9022,onelogin_event_app_rules_dryrun_success
9023,onelogin_event_app_rules_dryrun_failed
9024,onelogin_event_app_rules_delete_success
9025,onelogin_event_app_rules_delete_failed
9026,onelogin_event_app_rules_sort_success
9027,onelogin_event_app_rules_sort_failed
9028,onelogin_event_app_rules_apply_success
9029,onelogin_event_app_rules_apply_failed
