id,value
904,Onelogin desktop login success
905,Onelogin desktop login failure
906,Onelogin desktop user failed onelogin login
907,Directory export success
911,Onelogin desktop revoke cert for user
912,Onelogin desktop revoke cert for device
931,Adaptive login enabled
932,Adaptive login disabled
950,Ol otp push reject
1001,User login challenge
1002,User login challenge failed
1010,User reauth success
1100,Temp otp token generated
1101,Temp otp token revoked
1200,Delegated app privilege denied
1201,Delegated user privilege denied
1244,User added phone number
1245,User updated phone number
1300,Api app created
1301,Api app create failed
1302,Api app updated
1303,Api app update failed
1304,Api app destroyed
1305,Api app destroy failed
1400,User verified otp device
1401,Api auth app create failed
1402,Api auth app updated
1403,Api auth app update failed
1404,Api auth app destroyed
1405,Api auth app destroy failed
1406,Api auth scope created
1407,Api auth scope create failed
1408,Api auth scope updated
1409,Api auth scope update failed
1410,Api auth scope destroyed
1411,Api auth scope destroy failed
1412,Api auth claim created
1413,Api auth claim create failed
1414,Api auth claim updated
1415,Api auth claim update failed
1416,Api auth claim destroyed
1417,Api auth claim destroy failed
1418,Api auth client created
1419,Api auth client create failed
1420,Api auth client updated
1421,Api auth client update failed
1422,Api auth client destroyed
1423,Api auth client destroy failed
1424,Api auth app created
1500,Sandbox sync started
1501,Sandbox sync failed
1502,Sandbox synced
1503,Sandbox deleted
1504,Sandbox delete failed
1505,Sandbox created
1506,Sandbox creation failed
1507,Sandbox updated
1508,Sandbox update failed
1509,Sandbox deleted by api
1510,Sandbox delete failed by api
1511,Sandbox created by api
1512,Sandbox creation failed by api
1513,Sandbox updated by api
1514,Sandbox update failed by api
1600,Profile devices delete device
1601,Profile devices rename device
1602,Profile devices update default
1603,Profile settings update locale
1604,Profile settings update phone
1605,Profile settings update default tab
1606,Profile settings update profile photo
1607,Profile settings update app auto detect
1608,Profile change password
1609,Profile settings update show tabs
1700,Radius attribute created
1701,Radius attribute updated
1702,Radius attribute deleted
1801,Role created
1802,Role deleted
1900,Api brand created
1901,Api brand create failed
1902,Api brand updated
1903,Api brand update failed
1904,Api brand destroyed
1905,Api brand destroy failed
2000,Hooks list function
2001,Custom smtp error
2002,Smtp settings updated
2003,Hooks create function
2004,Hooks create function failed
2005,Hooks get function
2006,Hooks get function logs
2007,Hooks update function
2008,Hooks update function failed
2009,Hooks delete function
2010,Hooks delete function failed
2011,Hooks list envvar
2012,Hooks create envvar
2013,Hooks create envvar failed
2014,Hooks get envvar
2015,Hooks update envvar
2016,Hooks update envvar failed
2017,Hooks delete envvar
2018,Hooks delete envvar failed
3000,Oidc general fail
3001,Oidc implicit flow success
3002,Oidc implicit flow failed
3003,Oidc get code success
3004,Oidc get code failed
3005,Oidc authorization code success
3006,Oidc authorization code failed
3007,Oidc client credentials success
3008,Oidc client credentials failed
3009,Oidc password success
3010,Oidc password failed
3011,Oidc refresh token success
3012,Oidc refresh token failed
3013,Oidc validate token success
3014,Oidc validate token failed
3015,Oidc revoke token success
3016,Oidc revoke token failed
3017,Oidc user info success
3018,Oidc user info failed
9000,User enabled workflow
9001,User disabled workflow
9002,User initiated workflow
9003,User completed task
9004,User marked task complete
9005,User marked workflow complete
9006,User marked task incomplete
9007,User enabled onboarding
9008,User disabled onboarding
9009,User enabled offboarding
9010,User disabled offboarding
9011,User initiated offboarding
9012,User initiated onboarding
9013,User completed workflow
9014,App rules list success
9015,App rules list failed
9016,App rules create success
9017,App rules create failed
9018,App rules update success
9019,App rules update failed
9020,App rules get success
9021,App rules get failed
9022,App rules dryrun success
9023,App rules dryrun failed
9024,App rules delete success
9025,App rules delete failed
9026,App rules sort success
9027,App rules sort failed
9028,App rules apply success
9029,App rules apply failed
9030,App rules refresh entitlements success
9031,App rules refresh entitlements failed
9032,App rules list conditions success
9033,App rules list conditions failed
9034,App rules list condition operators success
9035,App rules list condition operators failed
9036,App rules list actions success
9037,App rules list actions failed
9038,App rules list action values success
9039,App rules list action values failed
9040,User role management granted failed
9041,User role management revoked failed
9042,App added to role failed
9043,App removed from role failed
9044,User manually added to role failed
9045,User manually removed from role failed
9046,Role create failed
9047,Role delete failed
9048,Role list success
9049,Role list failed
9050,Role get success
9051,Role get failed
9052,Role update success
9053,Role update failed
9054,Role list apps success
9055,Role list apps failed
9056,Role list users success
9057,Role list users failed
9058,Role list administrators success
9059,Role list administrators failed
