"tag","name","url","framework","description"
"id.am","Identify - Asset Management","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/id-am/","NIST CSF","The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy."
"id.be","Identify - Business Environment","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/id-be/","NIST CSF","The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions."
"id.gv","Identify - Governance","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/id-gv/","NIST CSF","The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk."
"id.ra","Identify - Risk Assessment","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/id-ra/","NIST CSF","The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals."
"id.rm","Identify - Risk Management Strategy","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/id-rm/","NIST CSF","The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions."
"id.sc","Identify - Supply Chain Risk Management","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/id-sc/","NIST CSF","The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks."
"pr.ac","Protect - Access Control","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/pr-ac/","NIST CSF"," Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions."
"pr.at","Protect - Awareness and Training","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/pr-at/","NIST CSF","The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurityrelated duties and responsibilities consistent with related policies, procedures, and agreements."
"pr.ds","Protect - Data Security","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/pr-ds/","NIST CSF","Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information."
"pr.ip","Protect - Information Protection Processes and Procedures","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/pr-ip/","NIST CSF","Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets."
"pr.ma","Protect - Maintenance","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/pr-ma/","NIST CSF","Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures."
"pr.pt","Protect - Protective Technology","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/pr-pt/","NIST CSF","Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements."
"de.ae","Detect - Anomalies and Events","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/de-ae/","NIST CSF","Anomalous activity is detected in a timely manner and the potential impact of events is understood."
"de.cm","Detect - Security Continuous Monitoring","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/de-cm/","NIST CSF","The information system and assets are monitored at discrete intervals to identify cybersecurity events and verify the effectiveness of protective measures."
"de.ip","Detect - Detection Processes","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/de-ip/","NIST CSF","Detection processes and procedures are maintained and tested to ensure awareness of anomalous events."
"rs.dp","Respond - Response Planning","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/rs-dp/","NIST CSF","Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents."
"rs.co","Respond - Communications","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/rs-co/","NIST CSF","Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies)."
"rs.rp","Respond - Analysis","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/rs-rp/","NIST CSF","Analysis is conducted to ensure adequate response and support recovery activities."
"rs.mi","Respond - Mitigation","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/rs-mi/","NIST CSF","Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident."
"rs.im","Respond - Improvements","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/rs-im/","NIST CSF","Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities."
"rc.rp","Recover - Recovery Planning","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/rc-rp/","NIST CSF","Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents."
"rc.im","Recover - Improvements","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/rc-im/","NIST CSF","Recovery planning and processes are improved by incorporating lessons learned into future activities."
"rc.co","Recover - Communications","https://csf.tools/reference/nist-cybersecurity-framework/v1-1/id/rc-co/","NIST CSF","Restoration activities are coordinated with internal and external parties (e.g. coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors)."
