"tag","name","url","mitre-tactic","framework","description"
"TA0001","initial-access","https://attack.mitre.org/tactics/TA0001","Initial Access","att&ck","The adversary is trying to get into your network."
"TA0002","execution","https://attack.mitre.org/tactics/TA0002","Execution","att&ck","The adversary is trying to run malicious code."
"TA0003","persistence","https://attack.mitre.org/tactics/TA0003","Persistence","att&ck","The adversary is trying to maintain their foothold."
"TA0004","privilege-escalation","https://attack.mitre.org/tactics/TA0004","Privilege Escalation","att&ck","The adversary is trying to gain higher-level permissions."
"TA0005","defense-evasion","https://attack.mitre.org/tactics/TA0005","Defense Evasion","att&ck","The adversary is trying to avoid being detected."
"TA0006","credential-access","https://attack.mitre.org/tactics/TA0006","Credential Access","att&ck","The adversary is trying to steal account names and passwords."
"TA0007","discovery","https://attack.mitre.org/tactics/TA0007","Discovery","att&ck","The adversary is trying to figure out your environment."
"TA0008","lateral-movement","https://attack.mitre.org/tactics/TA0008","Lateral Movement","att&ck","The adversary is trying to move through your environment."
"TA0009","collection","https://attack.mitre.org/tactics/TA0009","Collection","att&ck","The adversary is trying to gather data of interest to their goal."
"TA0010","exfiltration","https://attack.mitre.org/tactics/TA0010","Exfiltration","att&ck","The adversary is trying to steal data."
"TA0011","command-and-control","https://attack.mitre.org/tactics/TA0011","Command and Control","att&ck","The adversary is trying to communicate with compromised systems to control them."
"TA0040","impact","https://attack.mitre.org/tactics/TA0040","Impact","att&ck","The adversary is trying to manipulate, interrupt, or destroy your systems and data."
"TA0042","resource-development","https://attack.mitre.org/tactics/TA0042","Resource Development","att&ck","The adversary is trying to establish resources they can use to support operations."
"TA0043","reconnaissance","https://attack.mitre.org/tactics/TA0043","Reconnaissance","att&ck","The adversary is trying to gather information they can use to plan future operations."
