"un-ckc-phase-nr","tag","name","framework","description"
"1","reconnaissance","Reconnaissance","cyber-kill-chain","Researching, identifying and selecting targets using active or passive reconnaissance."
"2","weaponization","Weaponization","cyber-kill-chain","Preparatory activities aimed at setting up the infrastructure required for the attack."
"3","delivery","Delivery","cyber-kill-chain","Techniques resulting in the transmission of a weaponized object to the targeted environment."
"4","social-engineering","Social Engineering","cyber-kill-chain","Techniques aimed at the manipulation of people to perform unsafe actions."
"5","exploitation","Exploitation","cyber-kill-chain","Techniques to exploit vulnerabilities in systems that may, amongst others, result in code execution."
"6","persistence","Persistence","cyber-kill-chain","Any access, action or change to a system that gives an attacker persistent presence on the system."
"7","defense-evasion","Defense Evasion","cyber-kill-chain","Techniques an attacker may specifically use for evading detection or avoiding other defenses."
"8","command-and-control","Command and Control","cyber-kill-chain","Techniques that allow attackers to communicate with controlled systems within a target network."
"9","pivoting","Pivoting","cyber-kill-chain","Tunneling traffic through a controlled system to other systems that are not directly accessible."
"10","discovery","Discovery","cyber-kill-chain","Techniques that allow an attacker to gain knowledge about a system and its network environment."
"11","privilege-escalation","Privilege Escalation","cyber-kill-chain","The result of techniques that provide an attacker with higher permissions on a system or network."
"12","execution","Execution","cyber-kill-chain","Techniques that result in execution of attacker-controlled code on a local or remote system."
"13","credential-access","Credential Access","cyber-kill-chain","Techniques resulting in the access of, or control over, system, service or domain credentials."
"14","lateral-movement","Lateral Movement","cyber-kill-chain","Techniques that enable an adversary to horizontally access and control other remote systems."
"15","collection","Collection","cyber-kill-chain","Techniques used to identify and gather data from a target network prior to exfiltration."
"16","exfiltration","Exfiltration","cyber-kill-chain","Techniques that result or aid in an attacker removing data from a target network."
"17","impact","Impact","cyber-kill-chain","Techniques aimed at manipulating, interrupting or destroying the target system or data."
"18","objectives","Objectives","cyber-kill-chain","Socio-technical objectives of an attack that are intended to achieve a strategic goal."
