"use_case",bookmark,completed
"*Nix CPU utilization nearing capacity",no,no
"*Nix host stops reporting data",no,no
"*Nix hosts with NFS connectivity issues",no,no
"*Nix memory utilization nearing capacity",no,no
".NET assemblies being compiled",no,no
"API key authentication",no,no
"ATM withdrawal near threshold",no,no
"ATM withdrawal testing",no,no
"Access to unencrypted resources",no,no
"Activity from expired user identity",no,no
"Algorithmically generated domain names",no,no
"All Windows events on a host",no,no
"All logs and events on a *nix host",no,no
"Analyzing AWS service action errors",no,no
"Analyzing credit limit increase requests",no,no
"Analyzing telecommunications subscriber services",no,no
"Analyzing wire data from databases",no,no
"Anomaly probability calculation with JA3/JA3s hashes",no,no
"Applying Benford's law of distribution to spot fraud",no,no
"Applying Zipf's law in fraud detection",no,no
"Assessing and expanding MITRE ATT&CK coverage in Splunk Enterprise Security",no,no
"Assessing the financial impact of eCommerce checkout errors",no,no
"Auditing with the Splunk App for PCI Compliance",no,no
"Automating Know Your Customer continuous monitoring requirements",no,no
"Automating the investigation of emails for malicious content",no,no
"Azure Active Directory audit events",no,no
"Azure Active Directory users with no access for extended periods",no,no
"Azure critical infrastructure health",no,no
"Azure load balancers with no healthy instances",no,no
"Azure public storage blobs with anonymous access traffic",no,no
"Azure resources with no associated tags",no,no
"Azure security policy review",no,no
"Azure storage blobs made public and by who",no,no
"Badge activity monitoring",no,no
"Badge readers with abnormally high read failures",no,no
"Baseline of user logon times",no,no
"Bcdedit boot recovery modifications",no,no
"Blocked traffic from host",no,no
"Blocked traffic to host",no,no
"CPU utilization of Elastic Compute Cloud (EC2) instances",no,no
"Call failure statistics",no,no
"Capacity utilization runway in Dell Isilon NAS",no,no
"Changes in DNS record type queries",no,no
"Changes made to AWS cloud infrastructure",no,no
"Checking for files created on a system",no,no
"Cluster throughput in Dell Isilon NAS",no,no
"Common AWS resource tags and tag values",no,no
"Complying with the HIPAA Security Rule for ePHI",no,no
"Complying with the Markets in Financial Instruments Directive II",no,no
"Confirmation of a failed browser test step",no,no
"Connections between network devices and an individual machine",no,no
"Countries with the highest and lowest call volumes",no,no
"Creating SLOs and tracking error budgets with SignalFlow",no,no
"Creating a suspect list with cell tower data",no,no
"Creating a timebound picture of network activity",no,no
"Critical AWS Lambda metrics",no,no
"Current AWS Elastic Compute Cloud (EC2) instances",no,no
"Current AWS elastic block store volumes",no,no
"Current AWS elastic load balancer instances",no,no
"Current AWS virtual private cloud infrastructure",no,no
"Current state of Windows services on a host",no,no
"DLL loaded in a specific process",no,no
"DNS queries to randomized subdomains",no,no
"DNS tunneling through randomized subdomains",no,no
"Data validation for API responses",no,no
"De-identifying PII consistently with hashing in Edge Processor",no,no
"Deploying and troubleshooting OpenTelemetry successfully",no,no
"Detect Kubernetes nodes running out of resources or pods that are in a pending phase",no,no
"Detecting ATM fraud",no,no
"Detecting AWS network ACL activity",no,no
"Detecting AWS security hub alerts",no,no
"Detecting AWS suspicious provisioning activities",no,no
"Detecting BlackMatter ransomware",no,no
"Detecting Clop ransomware",no,no
"Detecting DarkSide ransomware",no,no
"Detecting FIN7 attacks",no,no
"Detecting Log4j remote code execution",no,no
"Detecting Netsh attacks",no,no
"Detecting Office 365 attacks",no,no
"Detecting Operational Technology assets communicating with external systems",no,no
"Detecting REvil ransomware infections",no,no
"Detecting Supernova web shell malware",no,no
"Detecting TOR traffic",no,no
